+ ---- + ---------------------- + ---- + ------- + ------- +
| Rank | Combos of 2            | Use  | Usage % |  Win %  |
+ ---- + ---------------------- + ---- + ------- + ------- +
| 1    | Pawniard / Foongus     |    3 |  37.50% |  33.33% |
| 1    | Onix / Mienfoo         |    3 |  37.50% |  33.33% |
| 1    | Gothita / Mienfoo      |    3 |  37.50% |   0.00% |
| 4    | Spritzee / Fletchling  |    2 |  25.00% | 100.00% |
| 4    | Pawniard / Gastly      |    2 |  25.00% | 100.00% |
| 4    | Abra / Foongus         |    2 |  25.00% |  50.00% |
| 4    | Abra / Onix            |    2 |  25.00% |  50.00% |
| 4    | Abra / Pawniard        |    2 |  25.00% |  50.00% |
| 4    | Onix / Foongus         |    2 |  25.00% |  50.00% |
| 4    | Onix / Pawniard        |    2 |  25.00% |  50.00% |
| 4    | Ferroseed / Fletchling |    2 |  25.00% |  50.00% |
| 4    | Mienfoo / Fletchling   |    2 |  25.00% |  50.00% |
| 4    | Mienfoo / Ferroseed    |    2 |  25.00% |  50.00% |
| 4    | Fletchling / Chinchou  |    2 |  25.00% |  50.00% |
| 4    | Omanyte / Timburr      |    2 |  25.00% |  50.00% |
| 4    | Timburr / Foongus      |    2 |  25.00% |  50.00% |
| 4    | Pawniard / Timburr     |    2 |  25.00% |  50.00% |
| 4    | Mienfoo / Foongus      |    2 |  25.00% |   0.00% |
| 4    | Mienfoo / Pawniard     |    2 |  25.00% |   0.00% |
| 4    | Gothita / Snubbull     |    2 |  25.00% |   0.00% |
| 4    | Mienfoo / Snubbull     |    2 |  25.00% |   0.00% |
| 22   | Frillish / Fletchling  |    1 |  12.50% | 100.00% |
| 22   | Onix / Fletchling      |    1 |  12.50% | 100.00% |
| 22   | Ferroseed / Frillish   |    1 |  12.50% | 100.00% |
| 22   | Onix / Frillish        |    1 |  12.50% | 100.00% |
| 22   | Mienfoo / Frillish     |    1 |  12.50% | 100.00% |
| 22   | Spritzee / Frillish    |    1 |  12.50% | 100.00% |
| 22   | Onix / Ferroseed       |    1 |  12.50% | 100.00% |
| 22   | Spritzee / Ferroseed   |    1 |  12.50% | 100.00% |
| 22   | Onix / Spritzee        |    1 |  12.50% | 100.00% |
| 22   | Mienfoo / Spritzee     |    1 |  12.50% | 100.00% |
| 22   | Pawniard / Trubbish    |    1 |  12.50% | 100.00% |
| 22   | Pawniard / Diglett     |    1 |  12.50% | 100.00% |
| 22   | Pawniard / Chinchou    |    1 |  12.50% | 100.00% |
| 22   | Pawniard / Fletchling  |    1 |  12.50% | 100.00% |
| 22   | Trubbish / Gastly      |    1 |  12.50% | 100.00% |
| 22   | Gastly / Diglett       |    1 |  12.50% | 100.00% |
| 22   | Chinchou / Gastly      |    1 |  12.50% | 100.00% |
| 22   | Fletchling / Gastly    |    1 |  12.50% | 100.00% |
| 22   | Trubbish / Diglett     |    1 |  12.50% | 100.00% |
| 22   | Trubbish / Chinchou    |    1 |  12.50% | 100.00% |
| 22   | Trubbish / Fletchling  |    1 |  12.50% | 100.00% |
| 22   | Chinchou / Diglett     |    1 |  12.50% | 100.00% |
| 22   | Fletchling / Diglett   |    1 |  12.50% | 100.00% |
| 22   | Timburr / Fletchling   |    1 |  12.50% | 100.00% |
| 22   | Porygon / Timburr      |    1 |  12.50% | 100.00% |
| 22   | Stunky / Timburr       |    1 |  12.50% | 100.00% |
| 22   | Spritzee / Timburr     |    1 |  12.50% | 100.00% |
| 22   | Porygon / Fletchling   |    1 |  12.50% | 100.00% |
| 22   | Stunky / Fletchling    |    1 |  12.50% | 100.00% |
| 22   | Omanyte / Fletchling   |    1 |  12.50% | 100.00% |
| 22   | Stunky / Porygon       |    1 |  12.50% | 100.00% |
| 22   | Porygon / Spritzee     |    1 |  12.50% | 100.00% |
| 22   | Omanyte / Porygon      |    1 |  12.50% | 100.00% |
| 22   | Stunky / Spritzee      |    1 |  12.50% | 100.00% |
| 22   | Omanyte / Stunky       |    1 |  12.50% | 100.00% |
| 22   | Omanyte / Spritzee     |    1 |  12.50% | 100.00% |
| 22   | Gastly / Foongus       |    1 |  12.50% | 100.00% |
| 22   | Timburr / Gastly       |    1 |  12.50% | 100.00% |
| 22   | Onix / Gastly          |    1 |  12.50% | 100.00% |
| 22   | Abra / Gastly          |    1 |  12.50% | 100.00% |
| 22   | Onix / Timburr         |    1 |  12.50% | 100.00% |
| 22   | Abra / Timburr         |    1 |  12.50% | 100.00% |
| 22   | Abra / Mienfoo         |    1 |  12.50% |   0.00% |
| 22   | Abra / Porygon         |    1 |  12.50% |   0.00% |
| 22   | Porygon / Foongus      |    1 |  12.50% |   0.00% |
| 22   | Onix / Porygon         |    1 |  12.50% |   0.00% |
| 22   | Mienfoo / Porygon      |    1 |  12.50% |   0.00% |
| 22   | Porygon / Pawniard     |    1 |  12.50% |   0.00% |
| 22   | Vulpix / Bellsprout    |    1 |  12.50% |   0.00% |
| 22   | Gothita / Vulpix       |    1 |  12.50% |   0.00% |
| 22   | Snubbull / Vulpix      |    1 |  12.50% |   0.00% |
| 22   | Mienfoo / Vulpix       |    1 |  12.50% |   0.00% |
| 22   | Onix / Vulpix          |    1 |  12.50% |   0.00% |
| 22   | Gothita / Bellsprout   |    1 |  12.50% |   0.00% |
| 22   | Snubbull / Bellsprout  |    1 |  12.50% |   0.00% |
| 22   | Mienfoo / Bellsprout   |    1 |  12.50% |   0.00% |
| 22   | Onix / Bellsprout      |    1 |  12.50% |   0.00% |
| 22   | Onix / Gothita         |    1 |  12.50% |   0.00% |
| 22   | Onix / Snubbull        |    1 |  12.50% |   0.00% |
| 22   | Mienfoo / Timburr      |    1 |  12.50% |   0.00% |
| 22   | Omanyte / Mienfoo      |    1 |  12.50% |   0.00% |
| 22   | Gothita / Timburr      |    1 |  12.50% |   0.00% |
| 22   | Gothita / Foongus      |    1 |  12.50% |   0.00% |
| 22   | Gothita / Pawniard     |    1 |  12.50% |   0.00% |
| 22   | Omanyte / Gothita      |    1 |  12.50% |   0.00% |
| 22   | Omanyte / Foongus      |    1 |  12.50% |   0.00% |
| 22   | Omanyte / Pawniard     |    1 |  12.50% |   0.00% |
| 22   | Snubbull / Fletchling  |    1 |  12.50% |   0.00% |
| 22   | Gothita / Fletchling   |    1 |  12.50% |   0.00% |
| 22   | Mienfoo / Chinchou     |    1 |  12.50% |   0.00% |
| 22   | Snubbull / Ferroseed   |    1 |  12.50% |   0.00% |
| 22   | Ferroseed / Chinchou   |    1 |  12.50% |   0.00% |
| 22   | Gothita / Ferroseed    |    1 |  12.50% |   0.00% |
| 22   | Snubbull / Chinchou    |    1 |  12.50% |   0.00% |
| 22   | Gothita / Chinchou     |    1 |  12.50% |   0.00% |

+ ---- + --------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                       | Use  | Usage % |  Win %  |
+ ---- + --------------------------------- + ---- + ------- + ------- +
| 1    | Abra / Onix / Foongus             |    2 |  25.00% |  50.00% |
| 1    | Abra / Pawniard / Foongus         |    2 |  25.00% |  50.00% |
| 1    | Abra / Onix / Pawniard            |    2 |  25.00% |  50.00% |
| 1    | Onix / Pawniard / Foongus         |    2 |  25.00% |  50.00% |
| 1    | Mienfoo / Ferroseed / Fletchling  |    2 |  25.00% |  50.00% |
| 1    | Pawniard / Timburr / Foongus      |    2 |  25.00% |  50.00% |
| 1    | Mienfoo / Pawniard / Foongus      |    2 |  25.00% |   0.00% |
| 1    | Gothita / Snubbull / Mienfoo      |    2 |  25.00% |   0.00% |
| 9    | Frillish / Ferroseed / Fletchling |    1 |  12.50% | 100.00% |
| 9    | Onix / Frillish / Fletchling      |    1 |  12.50% | 100.00% |
| 9    | Frillish / Fletchling / Mienfoo   |    1 |  12.50% | 100.00% |
| 9    | Frillish / Spritzee / Fletchling  |    1 |  12.50% | 100.00% |
| 9    | Onix / Ferroseed / Fletchling     |    1 |  12.50% | 100.00% |
| 9    | Spritzee / Ferroseed / Fletchling |    1 |  12.50% | 100.00% |
| 9    | Onix / Fletchling / Mienfoo       |    1 |  12.50% | 100.00% |
| 9    | Onix / Spritzee / Fletchling      |    1 |  12.50% | 100.00% |
| 9    | Mienfoo / Spritzee / Fletchling   |    1 |  12.50% | 100.00% |
| 9    | Onix / Ferroseed / Frillish       |    1 |  12.50% | 100.00% |
| 9    | Mienfoo / Ferroseed / Frillish    |    1 |  12.50% | 100.00% |
| 9    | Spritzee / Ferroseed / Frillish   |    1 |  12.50% | 100.00% |
| 9    | Onix / Frillish / Mienfoo         |    1 |  12.50% | 100.00% |
| 9    | Onix / Spritzee / Frillish        |    1 |  12.50% | 100.00% |
| 9    | Mienfoo / Spritzee / Frillish     |    1 |  12.50% | 100.00% |
| 9    | Onix / Ferroseed / Mienfoo        |    1 |  12.50% | 100.00% |
| 9    | Onix / Spritzee / Ferroseed       |    1 |  12.50% | 100.00% |
| 9    | Mienfoo / Spritzee / Ferroseed    |    1 |  12.50% | 100.00% |
| 9    | Onix / Spritzee / Mienfoo         |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Trubbish / Gastly      |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Gastly / Diglett       |    1 |  12.50% | 100.00% |
| 9    | Chinchou / Pawniard / Gastly      |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Gastly / Fletchling    |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Trubbish / Diglett     |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Trubbish / Chinchou    |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Trubbish / Fletchling  |    1 |  12.50% | 100.00% |
| 9    | Chinchou / Pawniard / Diglett     |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Diglett / Fletchling   |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Chinchou / Fletchling  |    1 |  12.50% | 100.00% |
| 9    | Trubbish / Gastly / Diglett       |    1 |  12.50% | 100.00% |
| 9    | Chinchou / Trubbish / Gastly      |    1 |  12.50% | 100.00% |
| 9    | Fletchling / Trubbish / Gastly    |    1 |  12.50% | 100.00% |
| 9    | Chinchou / Gastly / Diglett       |    1 |  12.50% | 100.00% |
| 9    | Fletchling / Gastly / Diglett     |    1 |  12.50% | 100.00% |
| 9    | Chinchou / Fletchling / Gastly    |    1 |  12.50% | 100.00% |
| 9    | Chinchou / Trubbish / Diglett     |    1 |  12.50% | 100.00% |
| 9    | Fletchling / Trubbish / Diglett   |    1 |  12.50% | 100.00% |
| 9    | Fletchling / Trubbish / Chinchou  |    1 |  12.50% | 100.00% |
| 9    | Chinchou / Fletchling / Diglett   |    1 |  12.50% | 100.00% |
| 9    | Porygon / Timburr / Fletchling    |    1 |  12.50% | 100.00% |
| 9    | Stunky / Timburr / Fletchling     |    1 |  12.50% | 100.00% |
| 9    | Spritzee / Timburr / Fletchling   |    1 |  12.50% | 100.00% |
| 9    | Omanyte / Timburr / Fletchling    |    1 |  12.50% | 100.00% |
| 9    | Stunky / Porygon / Timburr        |    1 |  12.50% | 100.00% |
| 9    | Porygon / Timburr / Spritzee      |    1 |  12.50% | 100.00% |
| 9    | Omanyte / Porygon / Timburr       |    1 |  12.50% | 100.00% |
| 9    | Stunky / Spritzee / Timburr       |    1 |  12.50% | 100.00% |
| 9    | Omanyte / Stunky / Timburr        |    1 |  12.50% | 100.00% |
| 9    | Omanyte / Spritzee / Timburr      |    1 |  12.50% | 100.00% |
| 9    | Stunky / Porygon / Fletchling     |    1 |  12.50% | 100.00% |
| 9    | Spritzee / Porygon / Fletchling   |    1 |  12.50% | 100.00% |
| 9    | Omanyte / Porygon / Fletchling    |    1 |  12.50% | 100.00% |
| 9    | Stunky / Spritzee / Fletchling    |    1 |  12.50% | 100.00% |
| 9    | Omanyte / Stunky / Fletchling     |    1 |  12.50% | 100.00% |
| 9    | Omanyte / Spritzee / Fletchling   |    1 |  12.50% | 100.00% |
| 9    | Stunky / Porygon / Spritzee       |    1 |  12.50% | 100.00% |
| 9    | Omanyte / Stunky / Porygon        |    1 |  12.50% | 100.00% |
| 9    | Omanyte / Porygon / Spritzee      |    1 |  12.50% | 100.00% |
| 9    | Omanyte / Stunky / Spritzee       |    1 |  12.50% | 100.00% |
| 9    | Timburr / Gastly / Foongus        |    1 |  12.50% | 100.00% |
| 9    | Onix / Gastly / Foongus           |    1 |  12.50% | 100.00% |
| 9    | Abra / Gastly / Foongus           |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Gastly / Foongus       |    1 |  12.50% | 100.00% |
| 9    | Onix / Timburr / Gastly           |    1 |  12.50% | 100.00% |
| 9    | Abra / Timburr / Gastly           |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Timburr / Gastly       |    1 |  12.50% | 100.00% |
| 9    | Abra / Onix / Gastly              |    1 |  12.50% | 100.00% |
| 9    | Onix / Pawniard / Gastly          |    1 |  12.50% | 100.00% |
| 9    | Abra / Pawniard / Gastly          |    1 |  12.50% | 100.00% |
| 9    | Onix / Timburr / Foongus          |    1 |  12.50% | 100.00% |
| 9    | Abra / Timburr / Foongus          |    1 |  12.50% | 100.00% |
| 9    | Abra / Onix / Timburr             |    1 |  12.50% | 100.00% |
| 9    | Pawniard / Onix / Timburr         |    1 |  12.50% | 100.00% |
| 9    | Abra / Pawniard / Timburr         |    1 |  12.50% | 100.00% |
| 9    | Abra / Mienfoo / Foongus          |    1 |  12.50% |   0.00% |
| 9    | Abra / Porygon / Foongus          |    1 |  12.50% |   0.00% |
| 9    | Abra / Onix / Mienfoo             |    1 |  12.50% |   0.00% |
| 9    | Abra / Onix / Porygon             |    1 |  12.50% |   0.00% |
| 9    | Abra / Mienfoo / Porygon          |    1 |  12.50% |   0.00% |
| 9    | Abra / Mienfoo / Pawniard         |    1 |  12.50% |   0.00% |
| 9    | Abra / Porygon / Pawniard         |    1 |  12.50% |   0.00% |
| 9    | Onix / Foongus / Mienfoo          |    1 |  12.50% |   0.00% |
| 9    | Onix / Porygon / Foongus          |    1 |  12.50% |   0.00% |
| 9    | Mienfoo / Porygon / Foongus       |    1 |  12.50% |   0.00% |
| 9    | Porygon / Pawniard / Foongus      |    1 |  12.50% |   0.00% |
| 9    | Onix / Porygon / Mienfoo          |    1 |  12.50% |   0.00% |
| 9    | Onix / Pawniard / Mienfoo         |    1 |  12.50% |   0.00% |
| 9    | Onix / Porygon / Pawniard         |    1 |  12.50% |   0.00% |
| 9    | Mienfoo / Porygon / Pawniard      |    1 |  12.50% |   0.00% |
| 9    | Gothita / Vulpix / Bellsprout     |    1 |  12.50% |   0.00% |
| 9    | Snubbull / Vulpix / Bellsprout    |    1 |  12.50% |   0.00% |
| 9    | Mienfoo / Vulpix / Bellsprout     |    1 |  12.50% |   0.00% |
| 9    | Onix / Vulpix / Bellsprout        |    1 |  12.50% |   0.00% |
| 9    | Snubbull / Gothita / Vulpix       |    1 |  12.50% |   0.00% |
| 9    | Gothita / Vulpix / Mienfoo        |    1 |  12.50% |   0.00% |
| 9    | Onix / Gothita / Vulpix           |    1 |  12.50% |   0.00% |
| 9    | Snubbull / Vulpix / Mienfoo       |    1 |  12.50% |   0.00% |
| 9    | Onix / Snubbull / Vulpix          |    1 |  12.50% |   0.00% |
| 9    | Onix / Mienfoo / Vulpix           |    1 |  12.50% |   0.00% |
| 9    | Gothita / Snubbull / Bellsprout   |    1 |  12.50% |   0.00% |
| 9    | Gothita / Bellsprout / Mienfoo    |    1 |  12.50% |   0.00% |
| 9    | Onix / Gothita / Bellsprout       |    1 |  12.50% |   0.00% |
| 9    | Mienfoo / Snubbull / Bellsprout   |    1 |  12.50% |   0.00% |
| 9    | Onix / Snubbull / Bellsprout      |    1 |  12.50% |   0.00% |
| 9    | Onix / Mienfoo / Bellsprout       |    1 |  12.50% |   0.00% |
| 9    | Onix / Gothita / Snubbull         |    1 |  12.50% |   0.00% |
| 9    | Onix / Gothita / Mienfoo          |    1 |  12.50% |   0.00% |
| 9    | Onix / Mienfoo / Snubbull         |    1 |  12.50% |   0.00% |
| 9    | Mienfoo / Timburr / Gothita       |    1 |  12.50% |   0.00% |
| 9    | Mienfoo / Timburr / Foongus       |    1 |  12.50% |   0.00% |
| 9    | Pawniard / Mienfoo / Timburr      |    1 |  12.50% |   0.00% |
| 9    | Omanyte / Mienfoo / Timburr       |    1 |  12.50% |   0.00% |
| 9    | Mienfoo / Foongus / Gothita       |    1 |  12.50% |   0.00% |
| 9    | Mienfoo / Pawniard / Gothita      |    1 |  12.50% |   0.00% |
