+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Mienfoo            |    5 |  62.50% |  20.00% |
| 2    | Fletchling         |    4 |  50.00% |  75.00% |
| 2    | Onix               |    4 |  50.00% |  50.00% |
| 2    | Pawniard           |    4 |  50.00% |  50.00% |
| 5    | Timburr            |    3 |  37.50% |  66.67% |
| 5    | Foongus            |    3 |  37.50% |  33.33% |
| 5    | Gothita            |    3 |  37.50% |   0.00% |
| 8    | Spritzee           |    2 |  25.00% | 100.00% |
| 8    | Gastly             |    2 |  25.00% | 100.00% |
| 8    | Abra               |    2 |  25.00% |  50.00% |
| 8    | Porygon            |    2 |  25.00% |  50.00% |
| 8    | Ferroseed          |    2 |  25.00% |  50.00% |
| 8    | Chinchou           |    2 |  25.00% |  50.00% |
| 8    | Omanyte            |    2 |  25.00% |  50.00% |
| 8    | Snubbull           |    2 |  25.00% |   0.00% |
| 16   | Frillish           |    1 |  12.50% | 100.00% |
| 16   | Trubbish           |    1 |  12.50% | 100.00% |
| 16   | Diglett            |    1 |  12.50% | 100.00% |
| 16   | Stunky             |    1 |  12.50% | 100.00% |
| 16   | Vulpix             |    1 |  12.50% |   0.00% |
| 16   | Bellsprout         |    1 |  12.50% |   0.00% |
