+ ---- + ---------------------- + ---- + ------- + ------- +
| Rank | Combos of 2            | Use  | Usage % |  Win %  |
+ ---- + ---------------------- + ---- + ------- + ------- +
| 1    | Skuntank / Mesprit     |    3 |  37.50% |  66.67% |
| 1    | Hariyama / Mesprit     |    3 |  37.50% |  66.67% |
| 3    | Skuntank / Hariyama    |    2 |  25.00% | 100.00% |
| 3    | Rotom / Hariyama       |    2 |  25.00% | 100.00% |
| 3    | Skuntank / Archeops    |    2 |  25.00% | 100.00% |
| 3    | Skuntank / Hitmonchan  |    2 |  25.00% |  50.00% |
| 3    | Aurorus / Lanturn      |    2 |  25.00% |   0.00% |
| 3    | Mesprit / Lanturn      |    2 |  25.00% |   0.00% |
| 3    | Xatu / Pyroar          |    2 |  25.00% |   0.00% |
| 10   | Skuntank / Barbaracle  |    1 |  12.50% | 100.00% |
| 10   | Barbaracle / Hariyama  |    1 |  12.50% | 100.00% |
| 10   | Barbaracle / Torterra  |    1 |  12.50% | 100.00% |
| 10   | Mantine / Barbaracle   |    1 |  12.50% | 100.00% |
| 10   | Barbaracle / Mesprit   |    1 |  12.50% | 100.00% |
| 10   | Skuntank / Torterra    |    1 |  12.50% | 100.00% |
| 10   | Skuntank / Mantine     |    1 |  12.50% | 100.00% |
| 10   | Hariyama / Torterra    |    1 |  12.50% | 100.00% |
| 10   | Mantine / Hariyama     |    1 |  12.50% | 100.00% |
| 10   | Mantine / Torterra     |    1 |  12.50% | 100.00% |
| 10   | Mesprit / Torterra     |    1 |  12.50% | 100.00% |
| 10   | Mantine / Mesprit      |    1 |  12.50% | 100.00% |
| 10   | Hariyama / Gastrodon   |    1 |  12.50% | 100.00% |
| 10   | Archeops / Hariyama    |    1 |  12.50% | 100.00% |
| 10   | Skuntank / Gastrodon   |    1 |  12.50% | 100.00% |
| 10   | Skuntank / Rotom       |    1 |  12.50% | 100.00% |
| 10   | Mesprit / Gastrodon    |    1 |  12.50% | 100.00% |
| 10   | Rotom / Mesprit        |    1 |  12.50% | 100.00% |
| 10   | Archeops / Mesprit     |    1 |  12.50% | 100.00% |
| 10   | Rotom / Gastrodon      |    1 |  12.50% | 100.00% |
| 10   | Archeops / Gastrodon   |    1 |  12.50% | 100.00% |
| 10   | Archeops / Rotom       |    1 |  12.50% | 100.00% |
| 10   | Musharna / Piloswine   |    1 |  12.50% | 100.00% |
| 10   | Musharna / Archeops    |    1 |  12.50% | 100.00% |
| 10   | Musharna / Roselia     |    1 |  12.50% | 100.00% |
| 10   | Musharna / Hitmonchan  |    1 |  12.50% | 100.00% |
| 10   | Musharna / Skuntank    |    1 |  12.50% | 100.00% |
| 10   | Piloswine / Archeops   |    1 |  12.50% | 100.00% |
| 10   | Piloswine / Roselia    |    1 |  12.50% | 100.00% |
| 10   | Piloswine / Hitmonchan |    1 |  12.50% | 100.00% |
| 10   | Piloswine / Skuntank   |    1 |  12.50% | 100.00% |
| 10   | Archeops / Roselia     |    1 |  12.50% | 100.00% |
| 10   | Archeops / Hitmonchan  |    1 |  12.50% | 100.00% |
| 10   | Hitmonchan / Roselia   |    1 |  12.50% | 100.00% |
| 10   | Skuntank / Roselia     |    1 |  12.50% | 100.00% |
| 10   | Hariyama / Malamar     |    1 |  12.50% | 100.00% |
| 10   | Hariyama / Pelipper    |    1 |  12.50% | 100.00% |
| 10   | Steelix / Hariyama     |    1 |  12.50% | 100.00% |
| 10   | Tangela / Hariyama     |    1 |  12.50% | 100.00% |
| 10   | Pelipper / Malamar     |    1 |  12.50% | 100.00% |
