+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Skuntank           |    4 |  50.00% |  75.00% |
| 1    | Hariyama           |    4 |  50.00% |  75.00% |
| 1    | Mesprit            |    4 |  50.00% |  50.00% |
| 4    | Lanturn            |    3 |  37.50% |   0.00% |
| 5    | Rotom              |    2 |  25.00% | 100.00% |
| 5    | Archeops           |    2 |  25.00% | 100.00% |
| 5    | Hitmonchan         |    2 |  25.00% |  50.00% |
| 5    | Barbaracle         |    2 |  25.00% |  50.00% |
| 5    | Piloswine          |    2 |  25.00% |  50.00% |
| 5    | Aurorus            |    2 |  25.00% |   0.00% |
| 5    | Pyroar             |    2 |  25.00% |   0.00% |
| 5    | Xatu               |    2 |  25.00% |   0.00% |
| 13   | Torterra           |    1 |  12.50% | 100.00% |
| 13   | Mantine            |    1 |  12.50% | 100.00% |
| 13   | Gastrodon          |    1 |  12.50% | 100.00% |
| 13   | Musharna           |    1 |  12.50% | 100.00% |
| 13   | Roselia            |    1 |  12.50% | 100.00% |
| 13   | Malamar            |    1 |  12.50% | 100.00% |
| 13   | Pelipper           |    1 |  12.50% | 100.00% |
| 13   | Steelix            |    1 |  12.50% | 100.00% |
| 13   | Tangela            |    1 |  12.50% | 100.00% |
| 13   | Audino             |    1 |  12.50% |   0.00% |
| 13   | Liepard            |    1 |  12.50% |   0.00% |
| 13   | Vileplume          |    1 |  12.50% |   0.00% |
| 13   | Cryogonal          |    1 |  12.50% |   0.00% |
| 13   | Lilligant          |    1 |  12.50% |   0.00% |
| 13   | Clefairy           |    1 |  12.50% |   0.00% |
| 13   | Weezing            |    1 |  12.50% |   0.00% |
| 13   | Golurk             |    1 |  12.50% |   0.00% |
