+ ---- + ------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                     | Use  | Usage % |  Win %  |
+ ---- + ------------------------------- + ---- + ------- + ------- +
| 1    | Excadrill / Garchomp            |    8 |  16.00% |  75.00% |
| 1    | Garchomp / Serperior            |    8 |  16.00% |  62.50% |
| 1    | Garchomp / Thundurus            |    8 |  16.00% |  62.50% |
| 1    | Excadrill / Serperior           |    8 |  16.00% |  50.00% |
| 5    | Thundurus / Serperior           |    7 |  14.00% |  42.86% |
| 6    | Garchomp / Tornadus-Therian     |    6 |  12.00% |  83.33% |
| 6    | Tyranitar / Excadrill           |    6 |  12.00% |  66.67% |
| 6    | Excadrill / Keldeo              |    6 |  12.00% |  50.00% |
| 6    | Excadrill / Zapdos              |    6 |  12.00% |  33.33% |
| 6    | Manaphy / Thundurus             |    6 |  12.00% |  33.33% |
| 11   | Latias / Garchomp               |    5 |  10.00% |  80.00% |
| 11   | Excadrill / Thundurus           |    5 |  10.00% |  60.00% |
| 11   | Zapdos / Keldeo                 |    5 |  10.00% |  40.00% |
| 11   | Latias / Serperior              |    5 |  10.00% |  40.00% |
| 11   | Latias / Landorus-Therian       |    5 |  10.00% |  40.00% |
| 11   | Landorus-Therian / Serperior    |    5 |  10.00% |  40.00% |
| 11   | Manaphy / Serperior             |    5 |  10.00% |  40.00% |
| 18   | Cofagrigus / Clefable           |    4 |   8.00% |  75.00% |
| 18   | Excadrill / Mew                 |    4 |   8.00% |  75.00% |
| 18   | Tyranitar / Serperior           |    4 |   8.00% |  75.00% |
| 18   | Latias / Clefable               |    4 |   8.00% |  75.00% |
| 18   | Excadrill / Tornadus-Therian    |    4 |   8.00% |  50.00% |
| 18   | Garchomp / Clefable             |    4 |   8.00% |  50.00% |
| 18   | Hippowdon / Clefable            |    4 |   8.00% |  50.00% |
| 18   | Garchomp / Metagross            |    4 |   8.00% |  50.00% |
| 18   | Mew / Thundurus                 |    4 |   8.00% |  50.00% |
| 18   | Thundurus / Bisharp             |    4 |   8.00% |  50.00% |
| 18   | Latias / Kyurem-Black           |    4 |   8.00% |  50.00% |
| 18   | Heatran / Garchomp              |    4 |   8.00% |  50.00% |
| 18   | Excadrill / Manaphy             |    4 |   8.00% |  50.00% |
| 18   | Mew / Manaphy                   |    4 |   8.00% |  50.00% |
