+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Mew                     |    6 |  12.00% |  66.67% |
| 2    | Serperior               |    5 |  10.00% |  80.00% |
| 3    | Latias                  |    3 |   6.00% | 100.00% |
| 3    | Cofagrigus              |    3 |   6.00% |  66.67% |
| 5    | Garchomp                |    2 |   4.00% | 100.00% |
| 5    | Rotom-Wash              |    2 |   4.00% | 100.00% |
| 5    | Thundurus               |    2 |   4.00% |  50.00% |
| 5    | Zapdos                  |    2 |   4.00% |  50.00% |
| 5    | Hippowdon               |    2 |   4.00% |   0.00% |
| 5    | Landorus-Therian        |    2 |   4.00% |   0.00% |
| 5    | Keldeo                  |    2 |   4.00% |   0.00% |
| 5    | Weavile                 |    2 |   4.00% |   0.00% |
| 13   | Clefable                |    1 |   2.00% | 100.00% |
| 13   | Azumarill               |    1 |   2.00% | 100.00% |
| 13   | Tornadus-Therian        |    1 |   2.00% | 100.00% |
| 13   | Tyranitar               |    1 |   2.00% | 100.00% |
| 13   | Heatran                 |    1 |   2.00% | 100.00% |
| 13   | Chansey                 |    1 |   2.00% | 100.00% |
| 13   | Dragonite               |    1 |   2.00% |   0.00% |
| 13   | Diancie                 |    1 |   2.00% |   0.00% |
| 13   | Victini                 |    1 |   2.00% |   0.00% |
| 13   | Alakazam                |    1 |   2.00% |   0.00% |
| 13   | Kyurem-Black            |    1 |   2.00% |   0.00% |
| 13   | Lopunny                 |    1 |   2.00% |   0.00% |
| 13   | Reuniclus               |    1 |   2.00% |   0.00% |
| 13   | Gliscor                 |    1 |   2.00% |   0.00% |
| 13   | Manaphy                 |    1 |   2.00% |   0.00% |
| 13   | Volcanion               |    1 |   2.00% |   0.00% |
| 13   | Gardevoir               |    1 |   2.00% |   0.00% |
