+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Garchomp           |   20 |  40.00% |  60.00% |
| 2    | Excadrill          |   19 |  38.00% |  52.63% |
| 3    | Serperior          |   18 |  36.00% |  50.00% |
| 4    | Latias             |   15 |  30.00% |  60.00% |
| 5    | Clefable           |   13 |  26.00% |  46.15% |
| 6    | Thundurus          |   11 |  22.00% |  54.55% |
| 7    | Keldeo             |    9 |  18.00% |  44.44% |
| 7    | Weavile            |    9 |  18.00% |  33.33% |
| 9    | Mew                |    8 |  16.00% |  62.50% |
| 9    | Zapdos             |    8 |  16.00% |  37.50% |
| 9    | Scizor             |    8 |  16.00% |  37.50% |
| 9    | Manaphy            |    8 |  16.00% |  37.50% |
| 9    | Landorus-Therian   |    8 |  16.00% |  37.50% |
| 14   | Tornadus-Therian   |    7 |  14.00% |  71.43% |
| 14   | Heatran            |    7 |  14.00% |  42.86% |
| 14   | Volcanion          |    7 |  14.00% |  14.29% |
| 17   | Hippowdon          |    6 |  12.00% |  66.67% |
| 17   | Tyranitar          |    6 |  12.00% |  66.67% |
| 17   | Bisharp            |    6 |  12.00% |  50.00% |
| 17   | Chansey            |    6 |  12.00% |  50.00% |
| 21   | Rotom-Wash         |    5 |  10.00% |  80.00% |
| 21   | Cofagrigus         |    5 |  10.00% |  60.00% |
| 21   | Talonflame         |    5 |  10.00% |  60.00% |
| 21   | Metagross          |    5 |  10.00% |  60.00% |
| 21   | Slowbro            |    5 |  10.00% |  60.00% |
| 21   | Magnezone          |    5 |  10.00% |  40.00% |
| 21   | Kyurem-Black       |    5 |  10.00% |  40.00% |
| 21   | Skarmory           |    5 |  10.00% |  40.00% |
| 21   | Lopunny            |    5 |  10.00% |  40.00% |
| 30   | Ferrothorn         |    4 |   8.00% |  75.00% |
| 30   | Diancie            |    4 |   8.00% |  50.00% |
| 30   | Gyarados           |    4 |   8.00% |  50.00% |
| 30   | Volcarona          |    4 |   8.00% |  50.00% |
| 34   | Alakazam           |    3 |   6.00% |  66.67% |
| 34   | Pinsir             |    3 |   6.00% |  66.67% |
| 34   | Charizard          |    3 |   6.00% |  66.67% |
| 34   | Gliscor            |    3 |   6.00% |  33.33% |
| 38   | Azumarill          |    2 |   4.00% | 100.00% |
| 38   | Dragonite          |    2 |   4.00% |  50.00% |
| 38   | Medicham           |    2 |   4.00% |  50.00% |
| 38   | Hydreigon          |    2 |   4.00% |  50.00% |
| 38   | Reuniclus          |    2 |   4.00% |  50.00% |
| 38   | Gastrodon          |    2 |   4.00% |  50.00% |
| 38   | Amoonguss          |    2 |   4.00% |  50.00% |
| 38   | Venusaur           |    2 |   4.00% |  50.00% |
| 38   | Victini            |    2 |   4.00% |   0.00% |
| 47   | Cresselia          |    1 |   2.00% | 100.00% |
| 47   | Gengar             |    1 |   2.00% | 100.00% |
| 47   | Sceptile           |    1 |   2.00% |   0.00% |
| 47   | Latios             |    1 |   2.00% |   0.00% |
| 47   | Seismitoad         |    1 |   2.00% |   0.00% |
| 47   | Gallade            |    1 |   2.00% |   0.00% |
| 47   | Altaria            |    1 |   2.00% |   0.00% |
| 47   | Quagsire           |    1 |   2.00% |   0.00% |
| 47   | Dragalge           |    1 |   2.00% |   0.00% |
| 47   | Gardevoir          |    1 |   2.00% |   0.00% |
