+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Combos of 2             | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Floatzel / Tangela      |    2 |  25.00% |  50.00% |
| 2    | Electrode / Leafeon     |    1 |  12.50% | 100.00% |
| 2    | Glaceon / Leafeon       |    1 |  12.50% | 100.00% |
| 2    | Golem / Leafeon         |    1 |  12.50% | 100.00% |
| 2    | Pawniard / Leafeon      |    1 |  12.50% | 100.00% |
| 2    | Pelipper / Leafeon      |    1 |  12.50% | 100.00% |
| 2    | Glaceon / Electrode     |    1 |  12.50% | 100.00% |
| 2    | Golem / Electrode       |    1 |  12.50% | 100.00% |
| 2    | Pawniard / Electrode    |    1 |  12.50% | 100.00% |
| 2    | Electrode / Pelipper    |    1 |  12.50% | 100.00% |
| 2    | Glaceon / Golem         |    1 |  12.50% | 100.00% |
| 2    | Glaceon / Pawniard      |    1 |  12.50% | 100.00% |
| 2    | Glaceon / Pelipper      |    1 |  12.50% | 100.00% |
| 2    | Golem / Pawniard        |    1 |  12.50% | 100.00% |
| 2    | Golem / Pelipper        |    1 |  12.50% | 100.00% |
| 2    | Pawniard / Pelipper     |    1 |  12.50% | 100.00% |
| 2    | Golem / Kadabra         |    1 |  12.50% | 100.00% |
| 2    | Mawile / Kadabra        |    1 |  12.50% | 100.00% |
| 2    | Altaria / Kadabra       |    1 |  12.50% | 100.00% |
| 2    | Floatzel / Kadabra      |    1 |  12.50% | 100.00% |
| 2    | Rotom-Frost / Kadabra   |    1 |  12.50% | 100.00% |
| 2    | Golem / Mawile          |    1 |  12.50% | 100.00% |
| 2    | Golem / Altaria         |    1 |  12.50% | 100.00% |
| 2    | Floatzel / Golem        |    1 |  12.50% | 100.00% |
| 2    | Golem / Rotom-Frost     |    1 |  12.50% | 100.00% |
| 2    | Altaria / Mawile        |    1 |  12.50% | 100.00% |
| 2    | Floatzel / Mawile       |    1 |  12.50% | 100.00% |
| 2    | Rotom-Frost / Mawile    |    1 |  12.50% | 100.00% |
| 2    | Floatzel / Altaria      |    1 |  12.50% | 100.00% |
| 2    | Rotom-Frost / Altaria   |    1 |  12.50% | 100.00% |
