+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Rotom-Frost        |    3 |  37.50% |  66.67% |
| 1    | Floatzel           |    3 |  37.50% |  66.67% |
| 1    | Stunfisk           |    3 |  37.50% |   0.00% |
| 4    | Golem              |    2 |  25.00% | 100.00% |
| 4    | Pawniard           |    2 |  25.00% |  50.00% |
| 4    | Leafeon            |    2 |  25.00% |  50.00% |
| 4    | Tangela            |    2 |  25.00% |  50.00% |
| 4    | Bouffalant         |    2 |  25.00% |   0.00% |
| 9    | Electrode          |    1 |  12.50% | 100.00% |
| 9    | Glaceon            |    1 |  12.50% | 100.00% |
| 9    | Pelipper           |    1 |  12.50% | 100.00% |
| 9    | Kadabra            |    1 |  12.50% | 100.00% |
| 9    | Mawile             |    1 |  12.50% | 100.00% |
| 9    | Altaria            |    1 |  12.50% | 100.00% |
| 9    | Chatot             |    1 |  12.50% | 100.00% |
| 9    | Combusken          |    1 |  12.50% | 100.00% |
| 9    | Bronzor            |    1 |  12.50% | 100.00% |
| 9    | Arbok              |    1 |  12.50% | 100.00% |
| 9    | Vibrava            |    1 |  12.50% | 100.00% |
| 9    | Drifblim           |    1 |  12.50% | 100.00% |
| 9    | Ursaring           |    1 |  12.50% | 100.00% |
| 9    | Camerupt           |    1 |  12.50% | 100.00% |
| 9    | Rampardos          |    1 |  12.50% | 100.00% |
| 9    | Lumineon           |    1 |  12.50% |   0.00% |
| 9    | Muk                |    1 |  12.50% |   0.00% |
| 9    | Simisear           |    1 |  12.50% |   0.00% |
| 9    | Rotom-Fan          |    1 |  12.50% |   0.00% |
| 9    | Monferno           |    1 |  12.50% |   0.00% |
| 9    | Armaldo            |    1 |  12.50% |   0.00% |
| 9    | Gorebyss           |    1 |  12.50% |   0.00% |
| 9    | Dodrio             |    1 |  12.50% |   0.00% |
| 9    | Frogadier          |    1 |  12.50% |   0.00% |
| 9    | Cryogonal          |    1 |  12.50% |   0.00% |
| 9    | Misdreavus         |    1 |  12.50% |   0.00% |
| 9    | Beheeyem           |    1 |  12.50% |   0.00% |
| 9    | Chinchou           |    1 |  12.50% |   0.00% |
| 9    | Solrock            |    1 |  12.50% |   0.00% |
