+ ---- + ---------------------- + ---- + ------- + ------- +
| Rank | Combos of 2            | Use  | Usage % |  Win %  |
+ ---- + ---------------------- + ---- + ------- + ------- +
| 1    | Flygon / Venusaur      |    4 |  66.67% |  75.00% |
| 2    | Flygon / Sneasel       |    3 |  50.00% |  33.33% |
| 3    | Steelix / Flygon       |    2 |  33.33% | 100.00% |
| 3    | Steelix / Venusaur     |    2 |  33.33% | 100.00% |
| 3    | Venusaur / Sneasel     |    2 |  33.33% |  50.00% |
| 3    | Flygon / Aromatisse    |    2 |  33.33% |  50.00% |
| 3    | Registeel / Sneasel    |    2 |  33.33% |   0.00% |
| 3    | Venusaur / Slowking    |    2 |  33.33% |   0.00% |
| 3    | Registeel / Slowking   |    2 |  33.33% |   0.00% |
| 3    | Registeel / Venusaur   |    2 |  33.33% |   0.00% |
| 3    | Flygon / Registeel     |    2 |  33.33% |   0.00% |
| 12   | Flygon / Magneton      |    1 |  16.67% | 100.00% |
| 12   | Flygon / Alomomola     |    1 |  16.67% | 100.00% |
| 12   | Diancie / Flygon       |    1 |  16.67% | 100.00% |
| 12   | Flygon / Druddigon     |    1 |  16.67% | 100.00% |
| 12   | Alomomola / Magneton   |    1 |  16.67% | 100.00% |
| 12   | Diancie / Magneton     |    1 |  16.67% | 100.00% |
| 12   | Druddigon / Magneton   |    1 |  16.67% | 100.00% |
| 12   | Venusaur / Magneton    |    1 |  16.67% | 100.00% |
| 12   | Diancie / Alomomola    |    1 |  16.67% | 100.00% |
| 12   | Alomomola / Druddigon  |    1 |  16.67% | 100.00% |
| 12   | Alomomola / Venusaur   |    1 |  16.67% | 100.00% |
| 12   | Diancie / Druddigon    |    1 |  16.67% | 100.00% |
| 12   | Diancie / Venusaur     |    1 |  16.67% | 100.00% |
| 12   | Druddigon / Venusaur   |    1 |  16.67% | 100.00% |
| 12   | Steelix / Sneasel      |    1 |  16.67% | 100.00% |
| 12   | Sneasel / Aerodactyl   |    1 |  16.67% | 100.00% |
| 12   | Gallade / Sneasel      |    1 |  16.67% | 100.00% |
| 12   | Flygon / Aerodactyl    |    1 |  16.67% | 100.00% |
| 12   | Gallade / Flygon       |    1 |  16.67% | 100.00% |
