+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Venusaur           |    5 |  83.33% |  60.00% |
| 1    | Flygon             |    5 |  83.33% |  60.00% |
| 3    | Sneasel            |    3 |  50.00% |  33.33% |
| 3    | Registeel          |    3 |  50.00% |   0.00% |
| 5    | Steelix            |    2 |  33.33% | 100.00% |
| 5    | Aromatisse         |    2 |  33.33% |  50.00% |
| 5    | Slowking           |    2 |  33.33% |   0.00% |
| 8    | Magneton           |    1 |  16.67% | 100.00% |
| 8    | Alomomola          |    1 |  16.67% | 100.00% |
| 8    | Diancie            |    1 |  16.67% | 100.00% |
| 8    | Druddigon          |    1 |  16.67% | 100.00% |
| 8    | Aerodactyl         |    1 |  16.67% | 100.00% |
| 8    | Gallade            |    1 |  16.67% | 100.00% |
| 8    | Meloetta           |    1 |  16.67% | 100.00% |
| 8    | Lanturn            |    1 |  16.67% | 100.00% |
| 8    | Sawk               |    1 |  16.67% |   0.00% |
| 8    | Camerupt           |    1 |  16.67% |   0.00% |
| 8    | Virizion           |    1 |  16.67% |   0.00% |
| 8    | Jolteon            |    1 |  16.67% |   0.00% |
| 8    | Glalie             |    1 |  16.67% |   0.00% |
| 8    | Xatu               |    1 |  16.67% |   0.00% |
