+ ---- + ------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2                    | Use  | Usage % |  Win %  |
+ ---- + ------------------------------ + ---- + ------- + ------- +
| 1    | Arceus-* / Groudon             |    6 |  75.00% |  66.67% |
| 2    | Arceus-* / Yveltal             |    3 |  37.50% |  66.67% |
| 2    | Groudon / Yveltal              |    3 |  37.50% |  66.67% |
| 2    | Arceus-* / Darkrai             |    3 |  37.50% |  33.33% |
| 2    | Groudon / Darkrai              |    3 |  37.50% |  33.33% |
| 2    | Arceus-* / Ferrothorn          |    3 |  37.50% |  33.33% |
| 2    | Arceus-* / Salamence           |    3 |  37.50% |  33.33% |
| 2    | Arceus-* / Xerneas-*           |    3 |  37.50% |   0.00% |
| 9    | Arceus-* / Cloyster            |    2 |  25.00% | 100.00% |
| 9    | Cloyster / Yveltal             |    2 |  25.00% | 100.00% |
| 9    | Groudon / Cloyster             |    2 |  25.00% | 100.00% |
| 9    | Groudon / Diancie              |    2 |  25.00% | 100.00% |
| 9    | Arceus-* / Diancie             |    2 |  25.00% | 100.00% |
| 9    | Arceus-* / Giratina-Origin     |    2 |  25.00% |  50.00% |
| 9    | Giratina-Origin / Groudon      |    2 |  25.00% |  50.00% |
| 9    | Giratina-Origin / Darkrai      |    2 |  25.00% |  50.00% |
| 9    | Ferrothorn / Ditto             |    2 |  25.00% |  50.00% |
| 9    | Arceus-* / Ditto               |    2 |  25.00% |  50.00% |
| 9    | Groudon / Salamence            |    2 |  25.00% |  50.00% |
| 9    | Darkrai / Salamence            |    2 |  25.00% |  50.00% |
| 9    | Groudon / Deoxys-Attack        |    2 |  25.00% |  50.00% |
| 9    | Arceus-* / Deoxys-Attack       |    2 |  25.00% |  50.00% |
| 9    | Groudon / Xerneas-*            |    2 |  25.00% |   0.00% |
| 9    | Darkrai / Xerneas-*            |    2 |  25.00% |   0.00% |
| 9    | Xerneas-* / Salamence          |    2 |  25.00% |   0.00% |
| 9    | Arceus-Ground / Ferrothorn     |    2 |  25.00% |   0.00% |
| 27   | Arceus-* / Kyogre              |    1 |  12.50% | 100.00% |
| 27   | Arceus-* / Mewtwo              |    1 |  12.50% | 100.00% |
| 27   | Cloyster / Kyogre              |    1 |  12.50% | 100.00% |
| 27   | Cloyster / Mewtwo              |    1 |  12.50% | 100.00% |
| 27   | Cloyster / Arceus-Ground       |    1 |  12.50% | 100.00% |
| 27   | Yveltal / Kyogre               |    1 |  12.50% | 100.00% |
| 27   | Groudon / Kyogre               |    1 |  12.50% | 100.00% |
| 27   | Mewtwo / Kyogre                |    1 |  12.50% | 100.00% |
| 27   | Arceus-Ground / Kyogre         |    1 |  12.50% | 100.00% |
| 27   | Mewtwo / Yveltal               |    1 |  12.50% | 100.00% |
| 27   | Arceus-Ground / Yveltal        |    1 |  12.50% | 100.00% |
| 27   | Groudon / Mewtwo               |    1 |  12.50% | 100.00% |
| 27   | Groudon / Arceus-Ground        |    1 |  12.50% | 100.00% |
| 27   | Arceus-Ground / Mewtwo         |    1 |  12.50% | 100.00% |
| 27   | Groudon / Ferrothorn           |    1 |  12.50% | 100.00% |
| 27   | Groudon / Ho-Oh                |    1 |  12.50% | 100.00% |
| 27   | Groudon / Ditto                |    1 |  12.50% | 100.00% |
| 27   | Diancie / Ferrothorn           |    1 |  12.50% | 100.00% |
| 27   | Ho-Oh / Ferrothorn             |    1 |  12.50% | 100.00% |
| 27   | Diancie / Ho-Oh                |    1 |  12.50% | 100.00% |
| 27   | Diancie / Ditto                |    1 |  12.50% | 100.00% |
| 27   | Arceus-* / Ho-Oh               |    1 |  12.50% | 100.00% |
| 27   | Ho-Oh / Ditto                  |    1 |  12.50% | 100.00% |
| 27   | Groudon / Klefki               |    1 |  12.50% | 100.00% |
| 27   | Darkrai / Klefki               |    1 |  12.50% | 100.00% |
| 27   | Klefki / Salamence             |    1 |  12.50% | 100.00% |
| 27   | Giratina-Origin / Klefki       |    1 |  12.50% | 100.00% |
| 27   | Arceus-* / Klefki              |    1 |  12.50% | 100.00% |
| 27   | Giratina-Origin / Salamence    |    1 |  12.50% | 100.00% |
| 27   | Diancie / Deoxys-Attack        |    1 |  12.50% | 100.00% |
| 27   | Diancie / Cloyster             |    1 |  12.50% | 100.00% |
| 27   | Diancie / Yveltal              |    1 |  12.50% | 100.00% |
| 27   | Diancie / Arceus-Ghost         |    1 |  12.50% | 100.00% |
| 27   | Cloyster / Deoxys-Attack       |    1 |  12.50% | 100.00% |
| 27   | Deoxys-Attack / Yveltal        |    1 |  12.50% | 100.00% |
| 27   | Arceus-Ghost / Deoxys-Attack   |    1 |  12.50% | 100.00% |
| 27   | Arceus-Ghost / Cloyster        |    1 |  12.50% | 100.00% |
| 27   | Groudon / Arceus-Ghost         |    1 |  12.50% | 100.00% |
| 27   | Arceus-Ghost / Yveltal         |    1 |  12.50% | 100.00% |
| 27   | Giratina-Origin / Xerneas-*    |    1 |  12.50% |   0.00% |
| 27   | Xerneas-* / Yveltal            |    1 |  12.50% |   0.00% |
| 27   | Arceus-Steel / Xerneas-*       |    1 |  12.50% |   0.00% |
| 27   | Groudon / Arceus-Steel         |    1 |  12.50% |   0.00% |
| 27   | Giratina-Origin / Yveltal      |    1 |  12.50% |   0.00% |
| 27   | Giratina-Origin / Arceus-Steel |    1 |  12.50% |   0.00% |
| 27   | Darkrai / Yveltal              |    1 |  12.50% |   0.00% |
| 27   | Arceus-Steel / Yveltal         |    1 |  12.50% |   0.00% |
| 27   | Arceus-Steel / Darkrai         |    1 |  12.50% |   0.00% |
| 27   | Arceus-* / Gothitelle          |    1 |  12.50% |   0.00% |
| 27   | Gothitelle / Ditto             |    1 |  12.50% |   0.00% |
