+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| -    | Arceus-*           |    8 | 100.00% |  50.00% |
| 1    | Groudon            |    6 |  75.00% |  66.67% |
| 2    | Yveltal            |    3 |  37.50% |  66.67% |
| 2    | Arceus-Ground      |    3 |  37.50% |  33.33% |
| 2    | Darkrai            |    3 |  37.50% |  33.33% |
| 2    | Ferrothorn         |    3 |  37.50% |  33.33% |
| 2    | Salamence          |    3 |  37.50% |  33.33% |
| 2    | Xerneas-*          |    3 |  37.50% |   0.00% |
| 8    | Cloyster           |    2 |  25.00% | 100.00% |
| 8    | Diancie            |    2 |  25.00% | 100.00% |
| 8    | Giratina-Origin    |    2 |  25.00% |  50.00% |
| 8    | Ditto              |    2 |  25.00% |  50.00% |
| 8    | Deoxys-Attack      |    2 |  25.00% |  50.00% |
| 13   | Kyogre             |    1 |  12.50% | 100.00% |
| 13   | Mewtwo             |    1 |  12.50% | 100.00% |
| 13   | Ho-Oh              |    1 |  12.50% | 100.00% |
| 13   | Klefki             |    1 |  12.50% | 100.00% |
| 13   | Arceus-Ghost       |    1 |  12.50% | 100.00% |
| 13   | Arceus-Steel       |    1 |  12.50% |   0.00% |
| 13   | Gothitelle         |    1 |  12.50% |   0.00% |
| 13   | Giratina           |    1 |  12.50% |   0.00% |
| 13   | Blissey            |    1 |  12.50% |   0.00% |
| 13   | Sableye            |    1 |  12.50% |   0.00% |
| 13   | Lugia              |    1 |  12.50% |   0.00% |
| 13   | Arceus-Fairy       |    1 |  12.50% |   0.00% |
