+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Combos of 2             | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Doublade / Aerodactyl   |    3 |  37.50% |  66.67% |
| 1    | Crobat / Empoleon       |    3 |  37.50% |  33.33% |
| 3    | Mandibuzz / Aerodactyl  |    2 |  25.00% |  50.00% |
| 3    | Gardevoir / Seismitoad  |    2 |  25.00% |  50.00% |
| 3    | Doublade / Mandibuzz    |    2 |  25.00% |  50.00% |
| 3    | Crobat / Swampert       |    2 |  25.00% |  50.00% |
| 3    | Mienshao / Empoleon     |    2 |  25.00% |   0.00% |
| 3    | Crobat / Mienshao       |    2 |  25.00% |   0.00% |
| 9    | Mandibuzz / Nidoqueen   |    1 |  12.50% | 100.00% |
| 9    | Suicune / Mandibuzz     |    1 |  12.50% | 100.00% |
| 9    | Blissey / Mandibuzz     |    1 |  12.50% | 100.00% |
| 9    | Doublade / Nidoqueen    |    1 |  12.50% | 100.00% |
| 9    | Suicune / Nidoqueen     |    1 |  12.50% | 100.00% |
| 9    | Blissey / Nidoqueen     |    1 |  12.50% | 100.00% |
| 9    | Aerodactyl / Nidoqueen  |    1 |  12.50% | 100.00% |
| 9    | Doublade / Suicune      |    1 |  12.50% | 100.00% |
| 9    | Doublade / Blissey      |    1 |  12.50% | 100.00% |
| 9    | Blissey / Suicune       |    1 |  12.50% | 100.00% |
| 9    | Suicune / Aerodactyl    |    1 |  12.50% | 100.00% |
| 9    | Blissey / Aerodactyl    |    1 |  12.50% | 100.00% |
| 9    | Heracross / Empoleon    |    1 |  12.50% | 100.00% |
| 9    | Snorlax / Empoleon      |    1 |  12.50% | 100.00% |
| 9    | Tangela / Empoleon      |    1 |  12.50% | 100.00% |
| 9    | Swampert / Empoleon     |    1 |  12.50% | 100.00% |
| 9    | Heracross / Snorlax     |    1 |  12.50% | 100.00% |
| 9    | Crobat / Heracross      |    1 |  12.50% | 100.00% |
| 9    | Heracross / Tangela     |    1 |  12.50% | 100.00% |
| 9    | Heracross / Swampert    |    1 |  12.50% | 100.00% |
| 9    | Crobat / Snorlax        |    1 |  12.50% | 100.00% |
| 9    | Tangela / Snorlax       |    1 |  12.50% | 100.00% |
| 9    | Swampert / Snorlax      |    1 |  12.50% | 100.00% |
| 9    | Crobat / Tangela        |    1 |  12.50% | 100.00% |
| 9    | Tangela / Swampert      |    1 |  12.50% | 100.00% |
| 9    | Shaymin / Swampert      |    1 |  12.50% | 100.00% |
| 9    | Swampert / Lucario      |    1 |  12.50% | 100.00% |
| 9    | Swampert / Tornadus     |    1 |  12.50% | 100.00% |
| 9    | Doublade / Swampert     |    1 |  12.50% | 100.00% |
| 9    | Swampert / Aerodactyl   |    1 |  12.50% | 100.00% |
| 9    | Shaymin / Lucario       |    1 |  12.50% | 100.00% |
| 9    | Shaymin / Tornadus      |    1 |  12.50% | 100.00% |
| 9    | Doublade / Shaymin      |    1 |  12.50% | 100.00% |
| 9    | Shaymin / Aerodactyl    |    1 |  12.50% | 100.00% |
| 9    | Lucario / Tornadus      |    1 |  12.50% | 100.00% |
| 9    | Doublade / Lucario      |    1 |  12.50% | 100.00% |
| 9    | Lucario / Aerodactyl    |    1 |  12.50% | 100.00% |
| 9    | Doublade / Tornadus     |    1 |  12.50% | 100.00% |
| 9    | Aerodactyl / Tornadus   |    1 |  12.50% | 100.00% |
| 9    | Hydreigon / Metagross   |    1 |  12.50% | 100.00% |
| 9    | Gardevoir / Metagross   |    1 |  12.50% | 100.00% |
| 9    | Toxicroak / Metagross   |    1 |  12.50% | 100.00% |
| 9    | Klefki / Metagross      |    1 |  12.50% | 100.00% |
| 9    | Metagross / Seismitoad  |    1 |  12.50% | 100.00% |
| 9    | Gardevoir / Hydreigon   |    1 |  12.50% | 100.00% |
| 9    | Toxicroak / Hydreigon   |    1 |  12.50% | 100.00% |
| 9    | Hydreigon / Klefki      |    1 |  12.50% | 100.00% |
| 9    | Hydreigon / Seismitoad  |    1 |  12.50% | 100.00% |
| 9    | Gardevoir / Toxicroak   |    1 |  12.50% | 100.00% |
| 9    | Gardevoir / Klefki      |    1 |  12.50% | 100.00% |
| 9    | Toxicroak / Klefki      |    1 |  12.50% | 100.00% |
| 9    | Toxicroak / Seismitoad  |    1 |  12.50% | 100.00% |
| 9    | Klefki / Seismitoad     |    1 |  12.50% | 100.00% |
| 9    | Snorlax / Aerodactyl    |    1 |  12.50% |   0.00% |
| 9    | Snorlax / Seismitoad    |    1 |  12.50% |   0.00% |
| 9    | Snorlax / Mandibuzz     |    1 |  12.50% |   0.00% |
| 9    | Gardevoir / Snorlax     |    1 |  12.50% |   0.00% |
| 9    | Doublade / Snorlax      |    1 |  12.50% |   0.00% |
| 9    | Seismitoad / Aerodactyl |    1 |  12.50% |   0.00% |
| 9    | Gardevoir / Aerodactyl  |    1 |  12.50% |   0.00% |
| 9    | Mandibuzz / Seismitoad  |    1 |  12.50% |   0.00% |
