+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Crobat             |    4 |  50.00% |  25.00% |
| 2    | Aerodactyl         |    3 |  37.50% |  66.67% |
| 2    | Doublade           |    3 |  37.50% |  66.67% |
| 2    | Swampert           |    3 |  37.50% |  66.67% |
| 2    | Empoleon           |    3 |  37.50% |  33.33% |
| 6    | Snorlax            |    2 |  25.00% |  50.00% |
| 6    | Seismitoad         |    2 |  25.00% |  50.00% |
| 6    | Mandibuzz          |    2 |  25.00% |  50.00% |
| 6    | Gardevoir          |    2 |  25.00% |  50.00% |
| 6    | Mienshao           |    2 |  25.00% |   0.00% |
| 11   | Nidoqueen          |    1 |  12.50% | 100.00% |
| 11   | Suicune            |    1 |  12.50% | 100.00% |
| 11   | Blissey            |    1 |  12.50% | 100.00% |
| 11   | Heracross          |    1 |  12.50% | 100.00% |
| 11   | Tangela            |    1 |  12.50% | 100.00% |
| 11   | Shaymin            |    1 |  12.50% | 100.00% |
| 11   | Lucario            |    1 |  12.50% | 100.00% |
| 11   | Tornadus           |    1 |  12.50% | 100.00% |
| 11   | Metagross          |    1 |  12.50% | 100.00% |
| 11   | Hydreigon          |    1 |  12.50% | 100.00% |
| 11   | Toxicroak          |    1 |  12.50% | 100.00% |
| 11   | Klefki             |    1 |  12.50% | 100.00% |
| 11   | Kyurem             |    1 |  12.50% |   0.00% |
| 11   | Roserade           |    1 |  12.50% |   0.00% |
| 11   | Gligar             |    1 |  12.50% |   0.00% |
| 11   | Infernape          |    1 |  12.50% |   0.00% |
| 11   | Slowking           |    1 |  12.50% |   0.00% |
| 11   | Absol              |    1 |  12.50% |   0.00% |
| 11   | Rotom-Mow          |    1 |  12.50% |   0.00% |
| 11   | Houndoom           |    1 |  12.50% |   0.00% |
| 11   | Celebi             |    1 |  12.50% |   0.00% |
| 11   | Rhyperior          |    1 |  12.50% |   0.00% |
