+ ---- + --------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                 | Use  | Usage % |  Win %  |
+ ---- + --------------------------- + ---- + ------- + ------- +
| 1    | Centaghoul / Lyvamp         |    3 |  50.00% |  66.67% |
| 2    | Hearthind / Formaldehydra   |    2 |  33.33% | 100.00% |
| 2    | Centaghoul / Noirwark       |    2 |  33.33% |  50.00% |
| 2    | Centaghoul / Strumorthio    |    2 |  33.33% |  50.00% |
| 2    | Strumorthio / Lyvamp        |    2 |  33.33% |  50.00% |
| 2    | Centaghoul / Shinobomi      |    2 |  33.33% |  50.00% |
| 2    | Strumorthio / Siltworm      |    2 |  33.33% |  50.00% |
| 2    | Centaghoul / Zhuguo         |    2 |  33.33% |   0.00% |
| 9    | Hearthind / Lianzhao        |    1 |  16.67% | 100.00% |
| 9    | Lianzhao / Formaldehydra    |    1 |  16.67% | 100.00% |
| 9    | Centaghoul / Lianzhao       |    1 |  16.67% | 100.00% |
| 9    | Lyvamp / Lianzhao           |    1 |  16.67% | 100.00% |
| 9    | Lianzhao / Noirwark         |    1 |  16.67% | 100.00% |
| 9    | Centaghoul / Hearthind      |    1 |  16.67% | 100.00% |
| 9    | Hearthind / Lyvamp          |    1 |  16.67% | 100.00% |
| 9    | Hearthind / Noirwark        |    1 |  16.67% | 100.00% |
| 9    | Centaghoul / Formaldehydra  |    1 |  16.67% | 100.00% |
| 9    | Lyvamp / Formaldehydra      |    1 |  16.67% | 100.00% |
| 9    | Noirwark / Formaldehydra    |    1 |  16.67% | 100.00% |
| 9    | Lyvamp / Noirwark           |    1 |  16.67% | 100.00% |
| 9    | Combustoad / Strumorthio    |    1 |  16.67% | 100.00% |
| 9    | Combustoad / Shinobomi      |    1 |  16.67% | 100.00% |
| 9    | Combustoad / Lyvamp         |    1 |  16.67% | 100.00% |
| 9    | Combustoad / Centaghoul     |    1 |  16.67% | 100.00% |
| 9    | Combustoad / Koiryu         |    1 |  16.67% | 100.00% |
| 9    | Strumorthio / Shinobomi     |    1 |  16.67% | 100.00% |
| 9    | Koiryu / Strumorthio        |    1 |  16.67% | 100.00% |
| 9    | Lyvamp / Shinobomi          |    1 |  16.67% | 100.00% |
| 9    | Koiryu / Shinobomi          |    1 |  16.67% | 100.00% |
| 9    | Koiryu / Lyvamp             |    1 |  16.67% | 100.00% |
| 9    | Centaghoul / Koiryu         |    1 |  16.67% | 100.00% |
| 9    | Strumorthio / Whalestro     |    1 |  16.67% | 100.00% |
| 9    | Strumorthio / Formaldehydra |    1 |  16.67% | 100.00% |
| 9    | Oreamoss / Strumorthio      |    1 |  16.67% | 100.00% |
| 9    | Hearthind / Strumorthio     |    1 |  16.67% | 100.00% |
| 9    | Siltworm / Whalestro        |    1 |  16.67% | 100.00% |
| 9    | Whalestro / Formaldehydra   |    1 |  16.67% | 100.00% |
| 9    | Oreamoss / Whalestro        |    1 |  16.67% | 100.00% |
| 9    | Hearthind / Whalestro       |    1 |  16.67% | 100.00% |
| 9    | Siltworm / Formaldehydra    |    1 |  16.67% | 100.00% |
| 9    | Oreamoss / Siltworm         |    1 |  16.67% | 100.00% |
| 9    | Hearthind / Siltworm        |    1 |  16.67% | 100.00% |
| 9    | Oreamoss / Formaldehydra    |    1 |  16.67% | 100.00% |
| 9    | Oreamoss / Hearthind        |    1 |  16.67% | 100.00% |
| 9    | Strumorthio / Taranferno    |    1 |  16.67% |   0.00% |
| 9    | Strumorthio / Zhuguo        |    1 |  16.67% |   0.00% |
| 9    | Strumorthio / Hyakutari     |    1 |  16.67% |   0.00% |
| 9    | Centaghoul / Taranferno     |    1 |  16.67% |   0.00% |
| 9    | Zhuguo / Taranferno         |    1 |  16.67% |   0.00% |
| 9    | Lyvamp / Taranferno         |    1 |  16.67% |   0.00% |
| 9    | Taranferno / Hyakutari      |    1 |  16.67% |   0.00% |
| 9    | Centaghoul / Hyakutari      |    1 |  16.67% |   0.00% |
| 9    | Zhuguo / Lyvamp             |    1 |  16.67% |   0.00% |
| 9    | Zhuguo / Hyakutari          |    1 |  16.67% |   0.00% |
| 9    | Lyvamp / Hyakutari          |    1 |  16.67% |   0.00% |
| 9    | Lianzhao / Metarachne       |    1 |  16.67% |   0.00% |
| 9    | Kaovern / Metarachne        |    1 |  16.67% |   0.00% |
| 9    | Sascratch / Metarachne      |    1 |  16.67% |   0.00% |
| 9    | Strumorthio / Metarachne    |    1 |  16.67% |   0.00% |
| 9    | Siltworm / Metarachne       |    1 |  16.67% |   0.00% |
| 9    | Kaovern / Lianzhao          |    1 |  16.67% |   0.00% |
| 9    | Lianzhao / Sascratch        |    1 |  16.67% |   0.00% |
| 9    | Strumorthio / Lianzhao      |    1 |  16.67% |   0.00% |
| 9    | Siltworm / Lianzhao         |    1 |  16.67% |   0.00% |
| 9    | Kaovern / Sascratch         |    1 |  16.67% |   0.00% |
| 9    | Strumorthio / Kaovern       |    1 |  16.67% |   0.00% |
| 9    | Siltworm / Kaovern          |    1 |  16.67% |   0.00% |
| 9    | Strumorthio / Sascratch     |    1 |  16.67% |   0.00% |
| 9    | Siltworm / Sascratch        |    1 |  16.67% |   0.00% |
| 9    | Zhuguo / Guttergar          |    1 |  16.67% |   0.00% |
| 9    | Zhuguo / Shinobomi          |    1 |  16.67% |   0.00% |
| 9    | Zhuguo / Turvarpega         |    1 |  16.67% |   0.00% |
| 9    | Zhuguo / Noirwark           |    1 |  16.67% |   0.00% |
| 9    | Guttergar / Shinobomi       |    1 |  16.67% |   0.00% |
| 9    | Guttergar / Turvarpega      |    1 |  16.67% |   0.00% |
| 9    | Guttergar / Noirwark        |    1 |  16.67% |   0.00% |
| 9    | Centaghoul / Guttergar      |    1 |  16.67% |   0.00% |
| 9    | Turvarpega / Shinobomi      |    1 |  16.67% |   0.00% |
| 9    | Noirwark / Shinobomi        |    1 |  16.67% |   0.00% |
| 9    | Turvarpega / Noirwark       |    1 |  16.67% |   0.00% |
| 9    | Centaghoul / Turvarpega     |    1 |  16.67% |   0.00% |

+ ---- + --------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                             | Use  | Usage % |  Win %  |
+ ---- + --------------------------------------- + ---- + ------- + ------- +
| 1    | Centaghoul / Strumorthio / Lyvamp       |    2 |  33.33% |  50.00% |
| 2    | Hearthind / Lianzhao / Formaldehydra    |    1 |  16.67% | 100.00% |
| 2    | Centaghoul / Hearthind / Lianzhao       |    1 |  16.67% | 100.00% |
| 2    | Hearthind / Lianzhao / Lyvamp           |    1 |  16.67% | 100.00% |
| 2    | Hearthind / Lianzhao / Noirwark         |    1 |  16.67% | 100.00% |
| 2    | Centaghoul / Lianzhao / Formaldehydra   |    1 |  16.67% | 100.00% |
| 2    | Lyvamp / Lianzhao / Formaldehydra       |    1 |  16.67% | 100.00% |
| 2    | Noirwark / Lianzhao / Formaldehydra     |    1 |  16.67% | 100.00% |
| 2    | Centaghoul / Lyvamp / Lianzhao          |    1 |  16.67% | 100.00% |
