+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Centaghoul         |    4 |  66.67% |  50.00% |
| 1    | Strumorthio        |    4 |  66.67% |  50.00% |
| 3    | Lyvamp             |    3 |  50.00% |  66.67% |
| 4    | Hearthind          |    2 |  33.33% | 100.00% |
| 4    | Formaldehydra      |    2 |  33.33% | 100.00% |
| 4    | Lianzhao           |    2 |  33.33% |  50.00% |
| 4    | Noirwark           |    2 |  33.33% |  50.00% |
| 4    | Shinobomi          |    2 |  33.33% |  50.00% |
| 4    | Siltworm           |    2 |  33.33% |  50.00% |
| 4    | Zhuguo             |    2 |  33.33% |   0.00% |
| 11   | Combustoad         |    1 |  16.67% | 100.00% |
| 11   | Koiryu             |    1 |  16.67% | 100.00% |
| 11   | Whalestro          |    1 |  16.67% | 100.00% |
| 11   | Oreamoss           |    1 |  16.67% | 100.00% |
| 11   | Taranferno         |    1 |  16.67% |   0.00% |
| 11   | Hyakutari          |    1 |  16.67% |   0.00% |
| 11   | Metarachne         |    1 |  16.67% |   0.00% |
| 11   | Kaovern            |    1 |  16.67% |   0.00% |
| 11   | Sascratch          |    1 |  16.67% |   0.00% |
| 11   | Guttergar          |    1 |  16.67% |   0.00% |
| 11   | Turvarpega         |    1 |  16.67% |   0.00% |
