+ ---- + ----------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                         | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------- + ---- + ------- + ------- +
| 1    | Vikadrago / Iron Tornado            |    2 |  33.33% |   0.00% |
| 1    | Vikadrago / Rotoghold               |    2 |  33.33% |   0.00% |
| 1    | Iron Tornado / Rotoghold            |    2 |  33.33% |   0.00% |
| 4    | Lelecuno-Galar / Cresserace         |    1 |  16.67% | 100.00% |
| 4    | Cresserace / Sol Valiant            |    1 |  16.67% | 100.00% |
| 4    | Bouffa-Lu / Cresserace              |    1 |  16.67% | 100.00% |
| 4    | Cresserace / Rotoghold              |    1 |  16.67% | 100.00% |
| 4    | Cresserace / Tentazor               |    1 |  16.67% | 100.00% |
| 4    | Lelecuno-Galar / Sol Valiant        |    1 |  16.67% | 100.00% |
| 4    | Bouffa-Lu / Lelecuno-Galar          |    1 |  16.67% | 100.00% |
| 4    | Lelecuno-Galar / Rotoghold          |    1 |  16.67% | 100.00% |
| 4    | Lelecuno-Galar / Tentazor           |    1 |  16.67% | 100.00% |
| 4    | Bouffa-Lu / Sol Valiant             |    1 |  16.67% | 100.00% |
| 4    | Sol Valiant / Rotoghold             |    1 |  16.67% | 100.00% |
| 4    | Tentazor / Sol Valiant              |    1 |  16.67% | 100.00% |
| 4    | Bouffa-Lu / Rotoghold               |    1 |  16.67% | 100.00% |
| 4    | Bouffa-Lu / Tentazor                |    1 |  16.67% | 100.00% |
| 4    | Tentazor / Rotoghold                |    1 |  16.67% | 100.00% |
| 4    | Vikadrago / Baxgeist-Large          |    1 |  16.67% | 100.00% |
| 4    | Vikadrago / Revarantis              |    1 |  16.67% | 100.00% |
| 4    | Amphamence / Vikadrago              |    1 |  16.67% | 100.00% |
| 4    | Vikadrago / Iron Dirge              |    1 |  16.67% | 100.00% |
| 4    | Vikadrago / Sol Valiant             |    1 |  16.67% | 100.00% |
| 4    | Baxgeist-Large / Revarantis         |    1 |  16.67% | 100.00% |
| 4    | Amphamence / Baxgeist-Large         |    1 |  16.67% | 100.00% |
| 4    | Iron Dirge / Baxgeist-Large         |    1 |  16.67% | 100.00% |
| 4    | Baxgeist-Large / Sol Valiant        |    1 |  16.67% | 100.00% |
| 4    | Amphamence / Revarantis             |    1 |  16.67% | 100.00% |
| 4    | Iron Dirge / Revarantis             |    1 |  16.67% | 100.00% |
| 4    | Sol Valiant / Revarantis            |    1 |  16.67% | 100.00% |
| 4    | Amphamence / Iron Dirge             |    1 |  16.67% | 100.00% |
| 4    | Amphamence / Sol Valiant            |    1 |  16.67% | 100.00% |
| 4    | Iron Dirge / Sol Valiant            |    1 |  16.67% | 100.00% |
| 4    | Floatzera / Crygargonal             |    1 |  16.67% | 100.00% |
| 4    | Crygargonal / Kabupult              |    1 |  16.67% | 100.00% |
| 4    | Overgyara / Crygargonal             |    1 |  16.67% | 100.00% |
| 4    | Crygargonal / Dragocoal             |    1 |  16.67% | 100.00% |
| 4    | Crygargonal / Iron Mimic            |    1 |  16.67% | 100.00% |
| 4    | Floatzera / Kabupult                |    1 |  16.67% | 100.00% |
| 4    | Floatzera / Overgyara               |    1 |  16.67% | 100.00% |
| 4    | Floatzera / Dragocoal               |    1 |  16.67% | 100.00% |
| 4    | Floatzera / Iron Mimic              |    1 |  16.67% | 100.00% |
| 4    | Overgyara / Kabupult                |    1 |  16.67% | 100.00% |
| 4    | Dragocoal / Kabupult                |    1 |  16.67% | 100.00% |
| 4    | Iron Mimic / Kabupult               |    1 |  16.67% | 100.00% |
| 4    | Overgyara / Dragocoal               |    1 |  16.67% | 100.00% |
| 4    | Overgyara / Iron Mimic              |    1 |  16.67% | 100.00% |
| 4    | Dragocoal / Iron Mimic              |    1 |  16.67% | 100.00% |
| 4    | Overgyara / Vikadrago               |    1 |  16.67% |   0.00% |
| 4    | Vikadrago / Icekrai                 |    1 |  16.67% |   0.00% |
| 4    | Vikadrago / Necrotrik-Dawn-Wings    |    1 |  16.67% |   0.00% |
| 4    | Overgyara / Iron Tornado            |    1 |  16.67% |   0.00% |
| 4    | Overgyara / Rotoghold               |    1 |  16.67% |   0.00% |
| 4    | Overgyara / Icekrai                 |    1 |  16.67% |   0.00% |
| 4    | Overgyara / Necrotrik-Dawn-Wings    |    1 |  16.67% |   0.00% |
| 4    | Iron Tornado / Icekrai              |    1 |  16.67% |   0.00% |
| 4    | Necrotrik-Dawn-Wings / Iron Tornado |    1 |  16.67% |   0.00% |
| 4    | Icekrai / Rotoghold                 |    1 |  16.67% |   0.00% |
| 4    | Necrotrik-Dawn-Wings / Rotoghold    |    1 |  16.67% |   0.00% |
| 4    | Necrotrik-Dawn-Wings / Icekrai      |    1 |  16.67% |   0.00% |
| 4    | Slither King / Deliraidon           |    1 |  16.67% |   0.00% |
| 4    | Deliraidon / Aero Wake              |    1 |  16.67% |   0.00% |
| 4    | Florgerouge / Deliraidon            |    1 |  16.67% |   0.00% |
| 4    | Stargrowth / Deliraidon             |    1 |  16.67% |   0.00% |
| 4    | Deliraidon / Sol Valiant            |    1 |  16.67% |   0.00% |
| 4    | Slither King / Aero Wake            |    1 |  16.67% |   0.00% |
| 4    | Florgerouge / Slither King          |    1 |  16.67% |   0.00% |
| 4    | Slither King / Stargrowth           |    1 |  16.67% |   0.00% |
| 4    | Slither King / Sol Valiant          |    1 |  16.67% |   0.00% |
| 4    | Florgerouge / Aero Wake             |    1 |  16.67% |   0.00% |
| 4    | Stargrowth / Aero Wake              |    1 |  16.67% |   0.00% |
| 4    | Aero Wake / Sol Valiant             |    1 |  16.67% |   0.00% |
| 4    | Florgerouge / Stargrowth            |    1 |  16.67% |   0.00% |
