+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Sol Valiant        |    3 |  50.00% |  66.67% |
| 1    | Rotoghold          |    3 |  50.00% |  33.33% |
| 1    | Vikadrago          |    3 |  50.00% |  33.33% |
| 4    | Overgyara          |    2 |  33.33% |  50.00% |
| 4    | Iron Tornado       |    2 |  33.33% |   0.00% |
| 6    | Cresserace         |    1 |  16.67% | 100.00% |
| 6    | Lelecuno-Galar     |    1 |  16.67% | 100.00% |
| 6    | Bouffa-Lu          |    1 |  16.67% | 100.00% |
| 6    | Tentazor           |    1 |  16.67% | 100.00% |
| 6    | Baxgeist-Large     |    1 |  16.67% | 100.00% |
| 6    | Revarantis         |    1 |  16.67% | 100.00% |
| 6    | Amphamence         |    1 |  16.67% | 100.00% |
| 6    | Iron Dirge         |    1 |  16.67% | 100.00% |
| 6    | Crygargonal        |    1 |  16.67% | 100.00% |
| 6    | Floatzera          |    1 |  16.67% | 100.00% |
| 6    | Kabupult           |    1 |  16.67% | 100.00% |
| 6    | Dragocoal          |    1 |  16.67% | 100.00% |
| 6    | Iron Mimic         |    1 |  16.67% | 100.00% |
| 6    | Icekrai            |    1 |  16.67% |   0.00% |
| 6    | Necrotrik-Dawn-Wings |    1 |  16.67% |   0.00% |
| 6    | Deliraidon         |    1 |  16.67% |   0.00% |
| 6    | Slither King       |    1 |  16.67% |   0.00% |
| 6    | Aero Wake          |    1 |  16.67% |   0.00% |
| 6    | Florgerouge        |    1 |  16.67% |   0.00% |
| 6    | Stargrowth         |    1 |  16.67% |   0.00% |
| 6    | Iron Legion        |    1 |  16.67% |   0.00% |
| 6    | Iron Matcha        |    1 |  16.67% |   0.00% |
| 6    | Varantis           |    1 |  16.67% |   0.00% |
