+ ---- + ----------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                         | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------- + ---- + ------- + ------- +
| 1    | Tyranitar / Landorus-Therian        |    2 |  33.33% |  50.00% |
| 1    | Landorus-Therian / Golisopod        |    2 |  33.33% |  50.00% |
| 3    | Espeon / Aegislash                  |    1 |  16.67% | 100.00% |
| 3    | Landorus-Therian / Espeon           |    1 |  16.67% | 100.00% |
| 3    | Espeon / Golisopod                  |    1 |  16.67% | 100.00% |
| 3    | Tyranitar / Espeon                  |    1 |  16.67% | 100.00% |
| 3    | Meowscarada / Espeon                |    1 |  16.67% | 100.00% |
| 3    | Landorus-Therian / Aegislash        |    1 |  16.67% | 100.00% |
| 3    | Aegislash / Golisopod               |    1 |  16.67% | 100.00% |
| 3    | Tyranitar / Aegislash               |    1 |  16.67% | 100.00% |
| 3    | Meowscarada / Aegislash             |    1 |  16.67% | 100.00% |
| 3    | Meowscarada / Landorus-Therian      |    1 |  16.67% | 100.00% |
| 3    | Tyranitar / Golisopod               |    1 |  16.67% | 100.00% |
| 3    | Meowscarada / Golisopod             |    1 |  16.67% | 100.00% |
| 3    | Meowscarada / Tyranitar             |    1 |  16.67% | 100.00% |
| 3    | Landorus-Therian / Magearna         |    1 |  16.67% | 100.00% |
| 3    | Tapu Fini / Magearna                |    1 |  16.67% | 100.00% |
| 3    | Absol / Magearna                    |    1 |  16.67% | 100.00% |
| 3    | Melmetal / Magearna                 |    1 |  16.67% | 100.00% |
| 3    | Tornadus-Therian / Magearna         |    1 |  16.67% | 100.00% |
| 3    | Landorus-Therian / Tapu Fini        |    1 |  16.67% | 100.00% |
| 3    | Landorus-Therian / Absol            |    1 |  16.67% | 100.00% |
| 3    | Landorus-Therian / Melmetal         |    1 |  16.67% | 100.00% |
| 3    | Landorus-Therian / Tornadus-Therian |    1 |  16.67% | 100.00% |
| 3    | Absol / Tapu Fini                   |    1 |  16.67% | 100.00% |
| 3    | Tapu Fini / Melmetal                |    1 |  16.67% | 100.00% |
| 3    | Tapu Fini / Tornadus-Therian        |    1 |  16.67% | 100.00% |
| 3    | Absol / Melmetal                    |    1 |  16.67% | 100.00% |
| 3    | Absol / Tornadus-Therian            |    1 |  16.67% | 100.00% |
| 3    | Tornadus-Therian / Melmetal         |    1 |  16.67% | 100.00% |
| 3    | Escavalier / Runerigus              |    1 |  16.67% | 100.00% |
| 3    | Escavalier / Sylveon                |    1 |  16.67% | 100.00% |
| 3    | Escavalier / Tapu Koko              |    1 |  16.67% | 100.00% |
| 3    | Escavalier / Lopunny                |    1 |  16.67% | 100.00% |
| 3    | Escavalier / Skarmory               |    1 |  16.67% | 100.00% |
| 3    | Sylveon / Runerigus                 |    1 |  16.67% | 100.00% |
| 3    | Tapu Koko / Runerigus               |    1 |  16.67% | 100.00% |
| 3    | Lopunny / Runerigus                 |    1 |  16.67% | 100.00% |
| 3    | Skarmory / Runerigus                |    1 |  16.67% | 100.00% |
| 3    | Tapu Koko / Sylveon                 |    1 |  16.67% | 100.00% |
| 3    | Lopunny / Sylveon                   |    1 |  16.67% | 100.00% |
| 3    | Skarmory / Sylveon                  |    1 |  16.67% | 100.00% |
| 3    | Tapu Koko / Lopunny                 |    1 |  16.67% | 100.00% |
| 3    | Tapu Koko / Skarmory                |    1 |  16.67% | 100.00% |
| 3    | Lopunny / Skarmory                  |    1 |  16.67% | 100.00% |
| 3    | Raging Bolt / Tapu Bulu             |    1 |  16.67% |   0.00% |
| 3    | Raging Bolt / Landorus-Therian      |    1 |  16.67% |   0.00% |
| 3    | Raging Bolt / Mesprit               |    1 |  16.67% |   0.00% |
| 3    | Raging Bolt / Iron Crown            |    1 |  16.67% |   0.00% |
| 3    | Raging Bolt / Tyranitar             |    1 |  16.67% |   0.00% |
| 3    | Landorus-Therian / Tapu Bulu        |    1 |  16.67% |   0.00% |
| 3    | Mesprit / Tapu Bulu                 |    1 |  16.67% |   0.00% |
| 3    | Iron Crown / Tapu Bulu              |    1 |  16.67% |   0.00% |
| 3    | Tyranitar / Tapu Bulu               |    1 |  16.67% |   0.00% |
| 3    | Landorus-Therian / Mesprit          |    1 |  16.67% |   0.00% |
| 3    | Iron Crown / Landorus-Therian       |    1 |  16.67% |   0.00% |
| 3    | Iron Crown / Mesprit                |    1 |  16.67% |   0.00% |
| 3    | Tyranitar / Mesprit                 |    1 |  16.67% |   0.00% |
| 3    | Iron Crown / Tyranitar              |    1 |  16.67% |   0.00% |
| 3    | Escavalier / Tapu Fini              |    1 |  16.67% |   0.00% |
| 3    | Zapdos / Tapu Fini                  |    1 |  16.67% |   0.00% |
| 3    | Slowking-Galar / Tapu Fini          |    1 |  16.67% |   0.00% |
| 3    | Tapu Fini / Great Tusk              |    1 |  16.67% |   0.00% |
| 3    | Sceptile / Tapu Fini                |    1 |  16.67% |   0.00% |
| 3    | Escavalier / Zapdos                 |    1 |  16.67% |   0.00% |
| 3    | Escavalier / Slowking-Galar         |    1 |  16.67% |   0.00% |
| 3    | Escavalier / Great Tusk             |    1 |  16.67% |   0.00% |
| 3    | Escavalier / Sceptile               |    1 |  16.67% |   0.00% |
| 3    | Slowking-Galar / Zapdos             |    1 |  16.67% |   0.00% |
| 3    | Zapdos / Great Tusk                 |    1 |  16.67% |   0.00% |
| 3    | Zapdos / Sceptile                   |    1 |  16.67% |   0.00% |
| 3    | Slowking-Galar / Great Tusk         |    1 |  16.67% |   0.00% |
| 3    | Slowking-Galar / Sceptile           |    1 |  16.67% |   0.00% |
| 3    | Sceptile / Great Tusk               |    1 |  16.67% |   0.00% |
| 3    | Glaceon / Golisopod                 |    1 |  16.67% |   0.00% |
| 3    | Glaceon / Zamazenta-*               |    1 |  16.67% |   0.00% |
| 3    | Glaceon / Diancie                   |    1 |  16.67% |   0.00% |
| 3    | Glaceon / Landorus-Therian          |    1 |  16.67% |   0.00% |
| 3    | Glaceon / Slowking-Galar            |    1 |  16.67% |   0.00% |
| 3    | Zamazenta-* / Golisopod             |    1 |  16.67% |   0.00% |
| 3    | Diancie / Golisopod                 |    1 |  16.67% |   0.00% |
| 3    | Slowking-Galar / Golisopod          |    1 |  16.67% |   0.00% |
| 3    | Diancie / Zamazenta-*               |    1 |  16.67% |   0.00% |
| 3    | Landorus-Therian / Zamazenta-*      |    1 |  16.67% |   0.00% |
| 3    | Zamazenta-* / Slowking-Galar        |    1 |  16.67% |   0.00% |
| 3    | Landorus-Therian / Diancie          |    1 |  16.67% |   0.00% |
| 3    | Diancie / Slowking-Galar            |    1 |  16.67% |   0.00% |
| 3    | Landorus-Therian / Slowking-Galar   |    1 |  16.67% |   0.00% |

+ ---- + ----------------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                                     | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------------------- + ---- + ------- + ------- +
| 1    | Landorus-Therian / Espeon / Aegislash           |    1 |  16.67% | 100.00% |
| 1    | Espeon / Aegislash / Golisopod                  |    1 |  16.67% | 100.00% |
| 1    | Tyranitar / Espeon / Aegislash                  |    1 |  16.67% | 100.00% |
| 1    | Meowscarada / Espeon / Aegislash                |    1 |  16.67% | 100.00% |
| 1    | Landorus-Therian / Espeon / Golisopod           |    1 |  16.67% | 100.00% |
| 1    | Landorus-Therian / Espeon / Tyranitar           |    1 |  16.67% | 100.00% |
| 1    | Meowscarada / Landorus-Therian / Espeon         |    1 |  16.67% | 100.00% |
| 1    | Tyranitar / Espeon / Golisopod                  |    1 |  16.67% | 100.00% |
| 1    | Meowscarada / Espeon / Golisopod                |    1 |  16.67% | 100.00% |
| 1    | Meowscarada / Tyranitar / Espeon                |    1 |  16.67% | 100.00% |
| 1    | Landorus-Therian / Aegislash / Golisopod        |    1 |  16.67% | 100.00% |
| 1    | Tyranitar / Landorus-Therian / Aegislash        |    1 |  16.67% | 100.00% |
| 1    | Meowscarada / Landorus-Therian / Aegislash      |    1 |  16.67% | 100.00% |
| 1    | Tyranitar / Aegislash / Golisopod               |    1 |  16.67% | 100.00% |
| 1    | Meowscarada / Aegislash / Golisopod             |    1 |  16.67% | 100.00% |
| 1    | Meowscarada / Tyranitar / Aegislash             |    1 |  16.67% | 100.00% |
| 1    | Tyranitar / Landorus-Therian / Golisopod        |    1 |  16.67% | 100.00% |
| 1    | Meowscarada / Landorus-Therian / Golisopod      |    1 |  16.67% | 100.00% |
| 1    | Meowscarada / Tyranitar / Landorus-Therian      |    1 |  16.67% | 100.00% |
| 1    | Meowscarada / Tyranitar / Golisopod             |    1 |  16.67% | 100.00% |
| 1    | Landorus-Therian / Tapu Fini / Magearna         |    1 |  16.67% | 100.00% |
| 1    | Landorus-Therian / Absol / Magearna             |    1 |  16.67% | 100.00% |
| 1    | Landorus-Therian / Melmetal / Magearna          |    1 |  16.67% | 100.00% |
| 1    | Landorus-Therian / Tornadus-Therian / Magearna  |    1 |  16.67% | 100.00% |
| 1    | Absol / Tapu Fini / Magearna                    |    1 |  16.67% | 100.00% |
