+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Landorus-Therian   |    4 |  66.67% |  50.00% |
| 2    | Tyranitar          |    2 |  33.33% |  50.00% |
| 2    | Golisopod          |    2 |  33.33% |  50.00% |
| 2    | Tapu Fini          |    2 |  33.33% |  50.00% |
| 2    | Escavalier         |    2 |  33.33% |  50.00% |
| 2    | Slowking-Galar     |    2 |  33.33% |   0.00% |
| 7    | Espeon             |    1 |  16.67% | 100.00% |
| 7    | Aegislash          |    1 |  16.67% | 100.00% |
| 7    | Meowscarada        |    1 |  16.67% | 100.00% |
| 7    | Magearna           |    1 |  16.67% | 100.00% |
| 7    | Absol              |    1 |  16.67% | 100.00% |
| 7    | Melmetal           |    1 |  16.67% | 100.00% |
| 7    | Tornadus-Therian   |    1 |  16.67% | 100.00% |
| 7    | Runerigus          |    1 |  16.67% | 100.00% |
| 7    | Sylveon            |    1 |  16.67% | 100.00% |
| 7    | Tapu Koko          |    1 |  16.67% | 100.00% |
| 7    | Lopunny            |    1 |  16.67% | 100.00% |
| 7    | Skarmory           |    1 |  16.67% | 100.00% |
| 7    | Raging Bolt        |    1 |  16.67% |   0.00% |
| 7    | Tapu Bulu          |    1 |  16.67% |   0.00% |
| 7    | Mesprit            |    1 |  16.67% |   0.00% |
| 7    | Iron Crown         |    1 |  16.67% |   0.00% |
| 7    | Zapdos             |    1 |  16.67% |   0.00% |
| 7    | Great Tusk         |    1 |  16.67% |   0.00% |
| 7    | Sceptile           |    1 |  16.67% |   0.00% |
| 7    | Glaceon            |    1 |  16.67% |   0.00% |
| 7    | Zamazenta-*        |    1 |  16.67% |   0.00% |
| 7    | Diancie            |    1 |  16.67% |   0.00% |
