+ ---- + ------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                           | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------- + ---- + ------- + ------- +
| 1    | Furumo / Chinchou                     |    2 |  33.33% |  50.00% |
| 1    | Grimace / Metapod                     |    2 |  33.33% |  50.00% |
| 3    | Iron Clown / Charjabug                |    1 |  16.67% | 100.00% |
| 3    | Charjabug / Chinchou                  |    1 |  16.67% | 100.00% |
| 3    | Charjabug / Iron Boulder              |    1 |  16.67% | 100.00% |
| 3    | Charjabug / Silcoon                   |    1 |  16.67% | 100.00% |
| 3    | Furumo / Charjabug                    |    1 |  16.67% | 100.00% |
| 3    | Iron Clown / Chinchou                 |    1 |  16.67% | 100.00% |
| 3    | Iron Clown / Iron Boulder             |    1 |  16.67% | 100.00% |
| 3    | Iron Clown / Silcoon                  |    1 |  16.67% | 100.00% |
| 3    | Furumo / Iron Clown                   |    1 |  16.67% | 100.00% |
| 3    | Chinchou / Iron Boulder               |    1 |  16.67% | 100.00% |
| 3    | Chinchou / Silcoon                    |    1 |  16.67% | 100.00% |
| 3    | Silcoon / Iron Boulder                |    1 |  16.67% | 100.00% |
| 3    | Furumo / Iron Boulder                 |    1 |  16.67% | 100.00% |
| 3    | Furumo / Silcoon                      |    1 |  16.67% | 100.00% |
| 3    | Glaceon / Nihilego                    |    1 |  16.67% | 100.00% |
| 3    | Glaceon / Pidown                      |    1 |  16.67% | 100.00% |
| 3    | Glaceon / Metapod                     |    1 |  16.67% | 100.00% |
| 3    | Glaceon / Moltres                     |    1 |  16.67% | 100.00% |
| 3    | Glaceon / Celesteela                  |    1 |  16.67% | 100.00% |
| 3    | Nihilego / Pidown                     |    1 |  16.67% | 100.00% |
| 3    | Metapod / Nihilego                    |    1 |  16.67% | 100.00% |
| 3    | Nihilego / Moltres                    |    1 |  16.67% | 100.00% |
| 3    | Celesteela / Nihilego                 |    1 |  16.67% | 100.00% |
| 3    | Metapod / Pidown                      |    1 |  16.67% | 100.00% |
| 3    | Pidown / Moltres                      |    1 |  16.67% | 100.00% |
| 3    | Celesteela / Pidown                   |    1 |  16.67% | 100.00% |
| 3    | Metapod / Moltres                     |    1 |  16.67% | 100.00% |
| 3    | Celesteela / Metapod                  |    1 |  16.67% | 100.00% |
| 3    | Celesteela / Moltres                  |    1 |  16.67% | 100.00% |
| 3    | Crabominable / Metapod                |    1 |  16.67% | 100.00% |
| 3    | Crabominable / Zestii                 |    1 |  16.67% | 100.00% |
| 3    | Crabominable / Kingler                |    1 |  16.67% | 100.00% |
| 3    | Crabominable / Grimace                |    1 |  16.67% | 100.00% |
| 3    | Crabominable / Lickilord              |    1 |  16.67% | 100.00% |
| 3    | Zestii / Metapod                      |    1 |  16.67% | 100.00% |
| 3    | Kingler / Metapod                     |    1 |  16.67% | 100.00% |
| 3    | Lickilord / Metapod                   |    1 |  16.67% | 100.00% |
| 3    | Kingler / Zestii                      |    1 |  16.67% | 100.00% |
| 3    | Zestii / Grimace                      |    1 |  16.67% | 100.00% |
| 3    | Zestii / Lickilord                    |    1 |  16.67% | 100.00% |
| 3    | Kingler / Grimace                     |    1 |  16.67% | 100.00% |
| 3    | Kingler / Lickilord                   |    1 |  16.67% | 100.00% |
| 3    | Grimace / Lickilord                   |    1 |  16.67% | 100.00% |
| 3    | Chinchou / Apple's Newest Emoji       |    1 |  16.67% |   0.00% |
| 3    | Silvally / Chinchou                   |    1 |  16.67% |   0.00% |
| 3    | Chinchou / Metapod                    |    1 |  16.67% |   0.00% |
| 3    | Chinchou / Nedontrol                  |    1 |  16.67% |   0.00% |
| 3    | Silvally / Apple's Newest Emoji       |    1 |  16.67% |   0.00% |
| 3    | Apple's Newest Emoji / Metapod        |    1 |  16.67% |   0.00% |
| 3    | Nedontrol / Apple's Newest Emoji      |    1 |  16.67% |   0.00% |
| 3    | Furumo / Apple's Newest Emoji         |    1 |  16.67% |   0.00% |
| 3    | Silvally / Metapod                    |    1 |  16.67% |   0.00% |
| 3    | Silvally / Nedontrol                  |    1 |  16.67% |   0.00% |
| 3    | Silvally / Furumo                     |    1 |  16.67% |   0.00% |
| 3    | Nedontrol / Metapod                   |    1 |  16.67% |   0.00% |
| 3    | Furumo / Metapod                      |    1 |  16.67% |   0.00% |
| 3    | Furumo / Nedontrol                    |    1 |  16.67% |   0.00% |
| 3    | Lemon Fish / Kyogre                   |    1 |  16.67% |   0.00% |
| 3    | Kyogre / awesome possum               |    1 |  16.67% |   0.00% |
| 3    | Kyogre / Zacian-Crowned               |    1 |  16.67% |   0.00% |
| 3    | palpitoad is so cool / Kyogre         |    1 |  16.67% |   0.00% |
| 3    | Kyogre / Moltres                      |    1 |  16.67% |   0.00% |
| 3    | Lemon Fish / awesome possum           |    1 |  16.67% |   0.00% |
| 3    | Lemon Fish / Zacian-Crowned           |    1 |  16.67% |   0.00% |
| 3    | Lemon Fish / palpitoad is so cool     |    1 |  16.67% |   0.00% |
| 3    | Lemon Fish / Moltres                  |    1 |  16.67% |   0.00% |
| 3    | awesome possum / Zacian-Crowned       |    1 |  16.67% |   0.00% |
| 3    | palpitoad is so cool / awesome possum |    1 |  16.67% |   0.00% |
| 3    | awesome possum / Moltres              |    1 |  16.67% |   0.00% |
| 3    | palpitoad is so cool / Zacian-Crowned |    1 |  16.67% |   0.00% |
| 3    | Zacian-Crowned / Moltres              |    1 |  16.67% |   0.00% |
| 3    | palpitoad is so cool / Moltres        |    1 |  16.67% |   0.00% |
| 3    | Grimace / fat fuck                    |    1 |  16.67% |   0.00% |
| 3    | fat fuck / Hydralemon                 |    1 |  16.67% |   0.00% |
| 3    | fat fuck / Archeops                   |    1 |  16.67% |   0.00% |
| 3    | Metapod / fat fuck                    |    1 |  16.67% |   0.00% |
| 3    | fat fuck / Kurayami                   |    1 |  16.67% |   0.00% |
| 3    | Grimace / Hydralemon                  |    1 |  16.67% |   0.00% |
| 3    | Grimace / Archeops                    |    1 |  16.67% |   0.00% |
| 3    | Grimace / Kurayami                    |    1 |  16.67% |   0.00% |
| 3    | Hydralemon / Archeops                 |    1 |  16.67% |   0.00% |
| 3    | Metapod / Hydralemon                  |    1 |  16.67% |   0.00% |
| 3    | Kurayami / Hydralemon                 |    1 |  16.67% |   0.00% |
| 3    | Metapod / Archeops                    |    1 |  16.67% |   0.00% |
| 3    | Kurayami / Archeops                   |    1 |  16.67% |   0.00% |
| 3    | Metapod / Kurayami                    |    1 |  16.67% |   0.00% |

+ ---- + ------------------------------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 3                                            | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------------------------ + ---- + ------- + ------- +
| 1    | Iron Clown / Charjabug / Chinchou                      |    1 |  16.67% | 100.00% |
| 1    | Iron Clown / Charjabug / Iron Boulder                  |    1 |  16.67% | 100.00% |
| 1    | Iron Clown / Charjabug / Silcoon                       |    1 |  16.67% | 100.00% |
| 1    | Furumo / Iron Clown / Charjabug                        |    1 |  16.67% | 100.00% |
| 1    | Iron Boulder / Charjabug / Chinchou                    |    1 |  16.67% | 100.00% |
| 1    | Charjabug / Silcoon / Chinchou                         |    1 |  16.67% | 100.00% |
| 1    | Furumo / Charjabug / Chinchou                          |    1 |  16.67% | 100.00% |
| 1    | Charjabug / Silcoon / Iron Boulder                     |    1 |  16.67% | 100.00% |
| 1    | Furumo / Charjabug / Iron Boulder                      |    1 |  16.67% | 100.00% |
| 1    | Furumo / Charjabug / Silcoon                           |    1 |  16.67% | 100.00% |
