+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Metapod            |    4 |  66.67% |  50.00% |
| 2    | Chinchou           |    2 |  33.33% |  50.00% |
| 2    | Furumo             |    2 |  33.33% |  50.00% |
| 2    | Moltres            |    2 |  33.33% |  50.00% |
| 2    | Grimace            |    2 |  33.33% |  50.00% |
| 6    | Charjabug          |    1 |  16.67% | 100.00% |
| 6    | Iron Clown         |    1 |  16.67% | 100.00% |
| 6    | Iron Boulder       |    1 |  16.67% | 100.00% |
| 6    | Silcoon            |    1 |  16.67% | 100.00% |
| 6    | Glaceon            |    1 |  16.67% | 100.00% |
| 6    | Nihilego           |    1 |  16.67% | 100.00% |
| 6    | Pidown             |    1 |  16.67% | 100.00% |
| 6    | Celesteela         |    1 |  16.67% | 100.00% |
| 6    | Crabominable       |    1 |  16.67% | 100.00% |
| 6    | Zestii             |    1 |  16.67% | 100.00% |
| 6    | Kingler            |    1 |  16.67% | 100.00% |
| 6    | Lickilord          |    1 |  16.67% | 100.00% |
| 6    | Apple's Newest Emoji |    1 |  16.67% |   0.00% |
| 6    | Silvally           |    1 |  16.67% |   0.00% |
| 6    | Nedontrol          |    1 |  16.67% |   0.00% |
| 6    | Kyogre             |    1 |  16.67% |   0.00% |
| 6    | Lemon Fish         |    1 |  16.67% |   0.00% |
| 6    | awesome possum     |    1 |  16.67% |   0.00% |
| 6    | Zacian-Crowned     |    1 |  16.67% |   0.00% |
| 6    | palpitoad is so cool |    1 |  16.67% |   0.00% |
| 6    | fat fuck           |    1 |  16.67% |   0.00% |
| 6    | Hydralemon         |    1 |  16.67% |   0.00% |
| 6    | Archeops           |    1 |  16.67% |   0.00% |
| 6    | Kurayami           |    1 |  16.67% |   0.00% |
