+ ---- + ------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2               | Use  | Usage % |  Win %  |
+ ---- + ------------------------- + ---- + ------- + ------- +
| 1    | Scizor / Garchomp         |    3 |  50.00% |  33.33% |
| 2    | Latias / Garchomp         |    2 |  33.33% |  50.00% |
| 2    | Talonflame / Garchomp     |    2 |  33.33% |  50.00% |
| 2    | Kyurem-Black / Garchomp   |    2 |  33.33% |  50.00% |
| 2    | Talonflame / Latias       |    2 |  33.33% |  50.00% |
| 2    | Kyurem-Black / Latias     |    2 |  33.33% |  50.00% |
| 2    | Scizor / Latias           |    2 |  33.33% |  50.00% |
| 2    | Talonflame / Kyurem-Black |    2 |  33.33% |  50.00% |
| 2    | Scizor / Talonflame       |    2 |  33.33% |  50.00% |
| 2    | Scizor / Kyurem-Black     |    2 |  33.33% |  50.00% |
| 2    | Zapdos / Keldeo           |    2 |  33.33% |   0.00% |
| 12   | Garchomp / Sharpedo       |    1 |  16.67% | 100.00% |
| 12   | Latias / Sharpedo         |    1 |  16.67% | 100.00% |
| 12   | Talonflame / Sharpedo     |    1 |  16.67% | 100.00% |
| 12   | Kyurem-Black / Sharpedo   |    1 |  16.67% | 100.00% |
| 12   | Scizor / Sharpedo         |    1 |  16.67% | 100.00% |
| 12   | Gliscor / Weavile         |    1 |  16.67% | 100.00% |
| 12   | Slowbro / Weavile         |    1 |  16.67% | 100.00% |
| 12   | Ferrothorn / Weavile      |    1 |  16.67% | 100.00% |
| 12   | Chansey / Weavile         |    1 |  16.67% | 100.00% |
| 12   | Zapdos / Weavile          |    1 |  16.67% | 100.00% |
| 12   | Slowbro / Gliscor         |    1 |  16.67% | 100.00% |
| 12   | Ferrothorn / Gliscor      |    1 |  16.67% | 100.00% |
| 12   | Gliscor / Chansey         |    1 |  16.67% | 100.00% |
| 12   | Zapdos / Gliscor          |    1 |  16.67% | 100.00% |
| 12   | Slowbro / Ferrothorn      |    1 |  16.67% | 100.00% |
| 12   | Slowbro / Chansey         |    1 |  16.67% | 100.00% |
| 12   | Slowbro / Zapdos          |    1 |  16.67% | 100.00% |
| 12   | Ferrothorn / Chansey      |    1 |  16.67% | 100.00% |
| 12   | Zapdos / Ferrothorn       |    1 |  16.67% | 100.00% |
| 12   | Zapdos / Chansey          |    1 |  16.67% | 100.00% |
| 12   | Gyarados / Azelf          |    1 |  16.67% | 100.00% |
| 12   | Bisharp / Azelf           |    1 |  16.67% | 100.00% |
| 12   | Excadrill / Azelf         |    1 |  16.67% | 100.00% |
| 12   | Azelf / Dragonite         |    1 |  16.67% | 100.00% |
| 12   | Azelf / Manaphy           |    1 |  16.67% | 100.00% |
| 12   | Gyarados / Bisharp        |    1 |  16.67% | 100.00% |
| 12   | Gyarados / Excadrill      |    1 |  16.67% | 100.00% |
| 12   | Gyarados / Dragonite      |    1 |  16.67% | 100.00% |
| 12   | Gyarados / Manaphy        |    1 |  16.67% | 100.00% |
| 12   | Bisharp / Excadrill       |    1 |  16.67% | 100.00% |
| 12   | Bisharp / Dragonite       |    1 |  16.67% | 100.00% |
| 12   | Bisharp / Manaphy         |    1 |  16.67% | 100.00% |
| 12   | Excadrill / Dragonite     |    1 |  16.67% | 100.00% |
| 12   | Excadrill / Manaphy       |    1 |  16.67% | 100.00% |
| 12   | Dragonite / Manaphy       |    1 |  16.67% | 100.00% |
| 12   | Tyranitar / Alakazam      |    1 |  16.67% |   0.00% |
| 12   | Alakazam / Excadrill      |    1 |  16.67% |   0.00% |
| 12   | Alakazam / Keldeo         |    1 |  16.67% |   0.00% |
| 12   | Alakazam / Zapdos         |    1 |  16.67% |   0.00% |
| 12   | Alakazam / Tangrowth      |    1 |  16.67% |   0.00% |
| 12   | Tyranitar / Excadrill     |    1 |  16.67% |   0.00% |
| 12   | Tyranitar / Keldeo        |    1 |  16.67% |   0.00% |
| 12   | Tyranitar / Zapdos        |    1 |  16.67% |   0.00% |
| 12   | Tyranitar / Tangrowth     |    1 |  16.67% |   0.00% |
| 12   | Excadrill / Keldeo        |    1 |  16.67% |   0.00% |
| 12   | Zapdos / Excadrill        |    1 |  16.67% |   0.00% |
| 12   | Excadrill / Tangrowth     |    1 |  16.67% |   0.00% |
| 12   | Tangrowth / Keldeo        |    1 |  16.67% |   0.00% |
| 12   | Zapdos / Tangrowth        |    1 |  16.67% |   0.00% |
| 12   | Scizor / Keldeo           |    1 |  16.67% |   0.00% |
| 12   | Gardevoir / Keldeo        |    1 |  16.67% |   0.00% |
