+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Garchomp           |    3 |  50.00% |  33.33% |
| 1    | Scizor             |    3 |  50.00% |  33.33% |
| 1    | Zapdos             |    3 |  50.00% |  33.33% |
| 4    | Latias             |    2 |  33.33% |  50.00% |
| 4    | Talonflame         |    2 |  33.33% |  50.00% |
| 4    | Kyurem-Black       |    2 |  33.33% |  50.00% |
| 4    | Excadrill          |    2 |  33.33% |  50.00% |
| 4    | Gyarados           |    2 |  33.33% |  50.00% |
| 4    | Keldeo             |    2 |  33.33% |   0.00% |
| 10   | Sharpedo           |    1 |  16.67% | 100.00% |
| 10   | Weavile            |    1 |  16.67% | 100.00% |
| 10   | Gliscor            |    1 |  16.67% | 100.00% |
| 10   | Slowbro            |    1 |  16.67% | 100.00% |
| 10   | Ferrothorn         |    1 |  16.67% | 100.00% |
| 10   | Chansey            |    1 |  16.67% | 100.00% |
| 10   | Azelf              |    1 |  16.67% | 100.00% |
| 10   | Bisharp            |    1 |  16.67% | 100.00% |
| 10   | Dragonite          |    1 |  16.67% | 100.00% |
| 10   | Manaphy            |    1 |  16.67% | 100.00% |
| 10   | Alakazam           |    1 |  16.67% |   0.00% |
| 10   | Tyranitar          |    1 |  16.67% |   0.00% |
| 10   | Tangrowth          |    1 |  16.67% |   0.00% |
| 10   | Gardevoir          |    1 |  16.67% |   0.00% |
| 10   | Volcanion          |    1 |  16.67% |   0.00% |
