+ ---- + ------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                           | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------- + ---- + ------- + ------- +
| 1    | Eleffigy / Armaldo                    |    2 |  33.33% | 100.00% |
| 1    | Kabutops / Thundurus-Estival          |    2 |  33.33% |   0.00% |
| 3    | Thundurus-Estival / Servachne         |    1 |  16.67% | 100.00% |
| 3    | Nymphamane / Servachne                |    1 |  16.67% | 100.00% |
| 3    | Tyrantrum / Servachne                 |    1 |  16.67% | 100.00% |
| 3    | Pesbasil / Servachne                  |    1 |  16.67% | 100.00% |
| 3    | Servachne / Woolefant                 |    1 |  16.67% | 100.00% |
| 3    | Nymphamane / Thundurus-Estival        |    1 |  16.67% | 100.00% |
| 3    | Tyrantrum / Thundurus-Estival         |    1 |  16.67% | 100.00% |
| 3    | Pesbasil / Thundurus-Estival          |    1 |  16.67% | 100.00% |
| 3    | Thundurus-Estival / Woolefant         |    1 |  16.67% | 100.00% |
| 3    | Tyrantrum / Nymphamane                |    1 |  16.67% | 100.00% |
| 3    | Pesbasil / Nymphamane                 |    1 |  16.67% | 100.00% |
| 3    | Nymphamane / Woolefant                |    1 |  16.67% | 100.00% |
| 3    | Tyrantrum / Pesbasil                  |    1 |  16.67% | 100.00% |
| 3    | Tyrantrum / Woolefant                 |    1 |  16.67% | 100.00% |
| 3    | Pesbasil / Woolefant                  |    1 |  16.67% | 100.00% |
| 3    | Eleffigy / Tornadus-Hibernal          |    1 |  16.67% | 100.00% |
| 3    | Enamorus-Genbu / Eleffigy             |    1 |  16.67% | 100.00% |
| 3    | Eleffigy / Carracosta                 |    1 |  16.67% | 100.00% |
| 3    | Eleffigy / Nymphamane                 |    1 |  16.67% | 100.00% |
| 3    | Enamorus-Genbu / Tornadus-Hibernal    |    1 |  16.67% | 100.00% |
| 3    | Carracosta / Tornadus-Hibernal        |    1 |  16.67% | 100.00% |
| 3    | Nymphamane / Tornadus-Hibernal        |    1 |  16.67% | 100.00% |
| 3    | Armaldo / Tornadus-Hibernal           |    1 |  16.67% | 100.00% |
| 3    | Enamorus-Genbu / Carracosta           |    1 |  16.67% | 100.00% |
| 3    | Enamorus-Genbu / Nymphamane           |    1 |  16.67% | 100.00% |
| 3    | Enamorus-Genbu / Armaldo              |    1 |  16.67% | 100.00% |
| 3    | Nymphamane / Carracosta               |    1 |  16.67% | 100.00% |
| 3    | Armaldo / Carracosta                  |    1 |  16.67% | 100.00% |
| 3    | Nymphamane / Armaldo                  |    1 |  16.67% | 100.00% |
