+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Eleffigy           |    3 |  50.00% |  66.67% |
| 1    | Armaldo            |    3 |  50.00% |  66.67% |
| 1    | Thundurus-Estival  |    3 |  50.00% |  33.33% |
| 4    | Nymphamane         |    2 |  33.33% | 100.00% |
| 4    | Kabutops           |    2 |  33.33% |   0.00% |
| 6    | Servachne          |    1 |  16.67% | 100.00% |
| 6    | Tyrantrum          |    1 |  16.67% | 100.00% |
| 6    | Pesbasil           |    1 |  16.67% | 100.00% |
| 6    | Woolefant          |    1 |  16.67% | 100.00% |
| 6    | Tornadus-Hibernal  |    1 |  16.67% | 100.00% |
| 6    | Enamorus-Genbu     |    1 |  16.67% | 100.00% |
| 6    | Carracosta         |    1 |  16.67% | 100.00% |
| 6    | Conkeldurr-Conch   |    1 |  16.67% | 100.00% |
| 6    | Magnestone         |    1 |  16.67% | 100.00% |
| 6    | Aerodactyl         |    1 |  16.67% | 100.00% |
| 6    | Landorus-Hourglass |    1 |  16.67% | 100.00% |
| 6    | Sigilyph-Ancient   |    1 |  16.67% |   0.00% |
| 6    | Hemlophosaur       |    1 |  16.67% |   0.00% |
| 6    | Alticombat         |    1 |  16.67% |   0.00% |
| 6    | Venopleura         |    1 |  16.67% |   0.00% |
| 6    | Rampardos          |    1 |  16.67% |   0.00% |
| 6    | Brawlutra          |    1 |  16.67% |   0.00% |
| 6    | Swishivish         |    1 |  16.67% |   0.00% |
| 6    | Espathra-Nasir     |    1 |  16.67% |   0.00% |
| 6    | Chimeragon         |    1 |  16.67% |   0.00% |
| 6    | Stratusaur         |    1 |  16.67% |   0.00% |
| 6    | Letherium          |    1 |  16.67% |   0.00% |
| 6    | Drednaw-Abyss      |    1 |  16.67% |   0.00% |
