+ ---- + ------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2                    | Use  | Usage % |  Win %  |
+ ---- + ------------------------------ + ---- + ------- + ------- +
| 1    | Dragonite / Ting-Lu            |    2 |  33.33% |  50.00% |
| 2    | Spectrier / Staraptor          |    1 |  16.67% | 100.00% |
| 2    | Sandaconda / Staraptor         |    1 |  16.67% | 100.00% |
| 2    | Raging Bolt / Staraptor        |    1 |  16.67% | 100.00% |
| 2    | Venusaur / Staraptor           |    1 |  16.67% | 100.00% |
| 2    | Scizor / Staraptor             |    1 |  16.67% | 100.00% |
| 2    | Sandaconda / Spectrier         |    1 |  16.67% | 100.00% |
| 2    | Raging Bolt / Spectrier        |    1 |  16.67% | 100.00% |
| 2    | Venusaur / Spectrier           |    1 |  16.67% | 100.00% |
| 2    | Scizor / Spectrier             |    1 |  16.67% | 100.00% |
| 2    | Sandaconda / Raging Bolt       |    1 |  16.67% | 100.00% |
| 2    | Sandaconda / Venusaur          |    1 |  16.67% | 100.00% |
| 2    | Sandaconda / Scizor            |    1 |  16.67% | 100.00% |
| 2    | Raging Bolt / Venusaur         |    1 |  16.67% | 100.00% |
| 2    | Raging Bolt / Scizor           |    1 |  16.67% | 100.00% |
| 2    | Scizor / Venusaur              |    1 |  16.67% | 100.00% |
| 2    | Iron Moth / Ninjask            |    1 |  16.67% | 100.00% |
| 2    | Iron Moth / Alomomola          |    1 |  16.67% | 100.00% |
| 2    | Iron Moth / Hatterene          |    1 |  16.67% | 100.00% |
| 2    | Iron Moth / Great Tusk         |    1 |  16.67% | 100.00% |
| 2    | Iron Moth / Corviknight        |    1 |  16.67% | 100.00% |
| 2    | Ninjask / Alomomola            |    1 |  16.67% | 100.00% |
| 2    | Ninjask / Hatterene            |    1 |  16.67% | 100.00% |
| 2    | Ninjask / Great Tusk           |    1 |  16.67% | 100.00% |
| 2    | Ninjask / Corviknight          |    1 |  16.67% | 100.00% |
| 2    | Alomomola / Hatterene          |    1 |  16.67% | 100.00% |
| 2    | Great Tusk / Alomomola         |    1 |  16.67% | 100.00% |
| 2    | Corviknight / Alomomola        |    1 |  16.67% | 100.00% |
| 2    | Great Tusk / Hatterene         |    1 |  16.67% | 100.00% |
| 2    | Corviknight / Hatterene        |    1 |  16.67% | 100.00% |
| 2    | Corviknight / Great Tusk       |    1 |  16.67% | 100.00% |
| 2    | Duraludon / Ting-Lu            |    1 |  16.67% | 100.00% |
| 2    | Duraludon / Gholdengo          |    1 |  16.67% | 100.00% |
| 2    | Dragonite / Duraludon          |    1 |  16.67% | 100.00% |
| 2    | Duraludon / Ogerpon-Wellspring |    1 |  16.67% | 100.00% |
| 2    | Cinderace / Duraludon          |    1 |  16.67% | 100.00% |
| 2    | Ting-Lu / Gholdengo            |    1 |  16.67% | 100.00% |
| 2    | Ting-Lu / Ogerpon-Wellspring   |    1 |  16.67% | 100.00% |
| 2    | Cinderace / Ting-Lu            |    1 |  16.67% | 100.00% |
| 2    | Dragonite / Gholdengo          |    1 |  16.67% | 100.00% |
| 2    | Ogerpon-Wellspring / Gholdengo |    1 |  16.67% | 100.00% |
| 2    | Cinderace / Gholdengo          |    1 |  16.67% | 100.00% |
| 2    | Dragonite / Ogerpon-Wellspring |    1 |  16.67% | 100.00% |
| 2    | Cinderace / Dragonite          |    1 |  16.67% | 100.00% |
| 2    | Cinderace / Ogerpon-Wellspring |    1 |  16.67% | 100.00% |
| 2    | Darmanitan-Galar / Alcremie    |    1 |  16.67% |   0.00% |
| 2    | Corviknight / Alcremie         |    1 |  16.67% |   0.00% |
| 2    | Alcremie / Clodsire            |    1 |  16.67% |   0.00% |
| 2    | Alcremie / Rillaboom           |    1 |  16.67% |   0.00% |
| 2    | Kingambit / Alcremie           |    1 |  16.67% |   0.00% |
| 2    | Darmanitan-Galar / Corviknight |    1 |  16.67% |   0.00% |
| 2    | Darmanitan-Galar / Clodsire    |    1 |  16.67% |   0.00% |
| 2    | Darmanitan-Galar / Rillaboom   |    1 |  16.67% |   0.00% |
| 2    | Darmanitan-Galar / Kingambit   |    1 |  16.67% |   0.00% |
| 2    | Corviknight / Clodsire         |    1 |  16.67% |   0.00% |
| 2    | Corviknight / Rillaboom        |    1 |  16.67% |   0.00% |
| 2    | Corviknight / Kingambit        |    1 |  16.67% |   0.00% |
| 2    | Rillaboom / Clodsire           |    1 |  16.67% |   0.00% |
| 2    | Kingambit / Clodsire           |    1 |  16.67% |   0.00% |
| 2    | Kingambit / Rillaboom          |    1 |  16.67% |   0.00% |
| 2    | Urshifu / Iron Treads          |    1 |  16.67% |   0.00% |
| 2    | Urshifu / Slowking-Galar       |    1 |  16.67% |   0.00% |
| 2    | Urshifu / Togekiss             |    1 |  16.67% |   0.00% |
| 2    | Urshifu / Arctozolt            |    1 |  16.67% |   0.00% |
| 2    | Urshifu / Ogerpon              |    1 |  16.67% |   0.00% |
| 2    | Slowking-Galar / Iron Treads   |    1 |  16.67% |   0.00% |
| 2    | Togekiss / Iron Treads         |    1 |  16.67% |   0.00% |
| 2    | Arctozolt / Iron Treads        |    1 |  16.67% |   0.00% |
| 2    | Ogerpon / Iron Treads          |    1 |  16.67% |   0.00% |
| 2    | Togekiss / Slowking-Galar      |    1 |  16.67% |   0.00% |
| 2    | Slowking-Galar / Arctozolt     |    1 |  16.67% |   0.00% |
| 2    | Slowking-Galar / Ogerpon       |    1 |  16.67% |   0.00% |
| 2    | Togekiss / Arctozolt           |    1 |  16.67% |   0.00% |
| 2    | Togekiss / Ogerpon             |    1 |  16.67% |   0.00% |
| 2    | Arctozolt / Ogerpon            |    1 |  16.67% |   0.00% |
| 2    | Ferrothorn / Ting-Lu           |    1 |  16.67% |   0.00% |
| 2    | Skeledirge / Ferrothorn        |    1 |  16.67% |   0.00% |
| 2    | Blastoise / Ferrothorn         |    1 |  16.67% |   0.00% |
| 2    | Zamazenta-* / Ferrothorn       |    1 |  16.67% |   0.00% |
| 2    | Ferrothorn / Dragonite         |    1 |  16.67% |   0.00% |
| 2    | Skeledirge / Ting-Lu           |    1 |  16.67% |   0.00% |
| 2    | Blastoise / Ting-Lu            |    1 |  16.67% |   0.00% |
| 2    | Zamazenta-* / Ting-Lu          |    1 |  16.67% |   0.00% |
| 2    | Blastoise / Skeledirge         |    1 |  16.67% |   0.00% |
| 2    | Skeledirge / Zamazenta-*       |    1 |  16.67% |   0.00% |
| 2    | Skeledirge / Dragonite         |    1 |  16.67% |   0.00% |
| 2    | Blastoise / Zamazenta-*        |    1 |  16.67% |   0.00% |
| 2    | Blastoise / Dragonite          |    1 |  16.67% |   0.00% |
