+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Corviknight        |    2 |  33.33% |  50.00% |
| 1    | Ting-Lu            |    2 |  33.33% |  50.00% |
| 1    | Dragonite          |    2 |  33.33% |  50.00% |
| 4    | Staraptor          |    1 |  16.67% | 100.00% |
| 4    | Spectrier          |    1 |  16.67% | 100.00% |
| 4    | Sandaconda         |    1 |  16.67% | 100.00% |
| 4    | Raging Bolt        |    1 |  16.67% | 100.00% |
| 4    | Venusaur           |    1 |  16.67% | 100.00% |
| 4    | Scizor             |    1 |  16.67% | 100.00% |
| 4    | Iron Moth          |    1 |  16.67% | 100.00% |
| 4    | Ninjask            |    1 |  16.67% | 100.00% |
| 4    | Alomomola          |    1 |  16.67% | 100.00% |
| 4    | Hatterene          |    1 |  16.67% | 100.00% |
| 4    | Great Tusk         |    1 |  16.67% | 100.00% |
| 4    | Duraludon          |    1 |  16.67% | 100.00% |
| 4    | Gholdengo          |    1 |  16.67% | 100.00% |
| 4    | Ogerpon-Wellspring |    1 |  16.67% | 100.00% |
| 4    | Cinderace          |    1 |  16.67% | 100.00% |
| 4    | Alcremie           |    1 |  16.67% |   0.00% |
| 4    | Darmanitan-Galar   |    1 |  16.67% |   0.00% |
| 4    | Clodsire           |    1 |  16.67% |   0.00% |
| 4    | Rillaboom          |    1 |  16.67% |   0.00% |
| 4    | Kingambit          |    1 |  16.67% |   0.00% |
| 4    | Urshifu            |    1 |  16.67% |   0.00% |
| 4    | Iron Treads        |    1 |  16.67% |   0.00% |
| 4    | Slowking-Galar     |    1 |  16.67% |   0.00% |
| 4    | Togekiss           |    1 |  16.67% |   0.00% |
| 4    | Arctozolt          |    1 |  16.67% |   0.00% |
| 4    | Ogerpon            |    1 |  16.67% |   0.00% |
| 4    | Ferrothorn         |    1 |  16.67% |   0.00% |
| 4    | Skeledirge         |    1 |  16.67% |   0.00% |
| 4    | Blastoise          |    1 |  16.67% |   0.00% |
| 4    | Zamazenta-*        |    1 |  16.67% |   0.00% |
