+ ---- + --------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                       | Use  | Usage % |  Win %  |
+ ---- + --------------------------------- + ---- + ------- + ------- +
| 1    | Landorus-Therian / Tapu Fini      |   37 |  16.97% |  40.54% |
| 2    | Landorus-Therian / Tapu Lele      |   36 |  16.51% |  52.78% |
| 3    | Landorus-Therian / Ferrothorn     |   35 |  16.06% |  40.00% |
| 4    | Greninja-* / Landorus-Therian     |   33 |  15.14% |  51.52% |
| 5    | Kartana / Landorus-Therian        |   31 |  14.22% |  64.52% |
| 6    | Heatran / Landorus-Therian        |   30 |  13.76% |  43.33% |
| 7    | Landorus-Therian / Rotom-Wash     |   27 |  12.39% |  59.26% |
| 8    | Zapdos / Ferrothorn               |   25 |  11.47% |  44.00% |
| 9    | Kartana / Tapu Lele               |   24 |  11.01% |  62.50% |
| 10   | Lopunny / Ferrothorn              |   23 |  10.55% |  39.13% |
| 11   | Tapu Fini / Zapdos                |   21 |   9.63% |  47.62% |
| 11   | Tapu Fini / Ferrothorn            |   21 |   9.63% |  33.33% |
| 13   | Weavile / Landorus-Therian        |   20 |   9.17% |  45.00% |
| 14   | Landorus-Therian / Medicham       |   19 |   8.72% |  52.63% |
| 14   | Greninja-* / Ferrothorn           |   19 |   8.72% |  47.37% |
| 16   | Excadrill / Tyranitar             |   18 |   8.26% |  72.22% |
| 16   | Landorus-Therian / Melmetal       |   18 |   8.26% |  44.44% |
| 16   | Landorus-Therian / Diancie        |   18 |   8.26% |  38.89% |
| 16   | Toxapex / Gliscor                 |   18 |   8.26% |  38.89% |
| 16   | Landorus-Therian / Tapu Koko      |   18 |   8.26% |  38.89% |
| 21   | Tapu Fini / Garchomp              |   17 |   7.80% |  58.82% |
| 21   | Volcarona / Landorus-Therian      |   17 |   7.80% |  58.82% |
| 21   | Ferrothorn / Tapu Lele            |   17 |   7.80% |  52.94% |
| 21   | Heatran / Tapu Fini               |   17 |   7.80% |  35.29% |
| 25   | Lopunny / Tapu Fini               |   16 |   7.34% |  43.75% |
| 26   | Weavile / Tapu Fini               |   15 |   6.88% |  60.00% |
| 26   | Weavile / Zapdos                  |   15 |   6.88% |  53.33% |
| 26   | Weavile / Ferrothorn              |   15 |   6.88% |  53.33% |
| 26   | Lopunny / Zapdos                  |   15 |   6.88% |  46.67% |
| 26   | Lopunny / Tapu Lele               |   15 |   6.88% |  46.67% |
| 26   | Landorus-Therian / Victini        |   15 |   6.88% |  40.00% |
| 26   | Latias / Clefable                 |   15 |   6.88% |  40.00% |
| 26   | Chansey / Gliscor                 |   15 |   6.88% |  26.67% |
| 34   | Tapu Lele / Rotom-Wash            |   13 |   5.96% |  61.54% |
| 34   | Landorus-Therian / Lopunny        |   13 |   5.96% |  46.15% |
| 34   | Latias / Landorus-Therian         |   13 |   5.96% |  38.46% |
| 37   | Greninja-* / Tapu Lele            |   12 |   5.50% |  66.67% |
| 37   | Landorus-Therian / Mawile         |   12 |   5.50% |  66.67% |
| 37   | Landorus-Therian / Zapdos         |   12 |   5.50% |  50.00% |
| 37   | Kartana / Heatran                 |   12 |   5.50% |  41.67% |
| 37   | Ferrothorn / Rotom-Wash           |   12 |   5.50% |  41.67% |
| 37   | Landorus-Therian / Clefable       |   12 |   5.50% |  33.33% |
| 37   | Heatran / Ferrothorn              |   12 |   5.50% |  25.00% |
| 44   | Latias / Toxapex                  |   11 |   5.05% |  72.73% |
| 44   | Garchomp / Zapdos                 |   11 |   5.05% |  54.55% |
| 44   | Greninja-* / Medicham             |   11 |   5.05% |  54.55% |
| 44   | Volcarona / Ferrothorn            |   11 |   5.05% |  54.55% |
| 44   | Volcarona / Tapu Lele             |   11 |   5.05% |  54.55% |
| 44   | Heatran / Zapdos                  |   11 |   5.05% |  45.45% |
| 44   | Heatran / Latias                  |   11 |   5.05% |  36.36% |
| 44   | Ferrothorn / Diancie              |   11 |   5.05% |  36.36% |
| 52   | Kartana / Rotom-Wash              |   10 |   4.59% |  80.00% |
| 52   | Zapdos / Tapu Lele                |   10 |   4.59% |  70.00% |
| 52   | Volcarona / Rotom-Wash            |   10 |   4.59% |  70.00% |
| 52   | Diancie / Tapu Lele               |   10 |   4.59% |  60.00% |
| 52   | Excadrill / Tapu Lele             |   10 |   4.59% |  60.00% |
| 52   | Tyranitar / Zapdos                |   10 |   4.59% |  60.00% |
| 52   | Greninja-* / Tapu Koko            |   10 |   4.59% |  60.00% |
| 52   | Greninja-* / Rotom-Wash           |   10 |   4.59% |  60.00% |
| 52   | Volcarona / Diancie               |   10 |   4.59% |  60.00% |
| 52   | Reuniclus / Skarmory              |   10 |   4.59% |  50.00% |
| 52   | Kartana / Tapu Fini               |   10 |   4.59% |  50.00% |
