+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Landorus-Therian        |   25 |  11.47% |  40.00% |
| 2    | Clefable                |   12 |   5.50% |  66.67% |
| 2    | Greninja                |   12 |   5.50% |  58.33% |
| 2    | Tapu Fini               |   12 |   5.50% |  50.00% |
| 5    | Rotom-Wash              |   11 |   5.05% |  54.55% |
| 5    | Ferrothorn              |   11 |   5.05% |  36.36% |
| 5    | Diancie                 |   11 |   5.05% |  36.36% |
| 8    | Zapdos                  |    9 |   4.13% |  55.56% |
| 8    | Toxapex                 |    9 |   4.13% |  33.33% |
| 10   | Lopunny                 |    7 |   3.21% |  57.14% |
| 11   | Pelipper                |    6 |   2.75% |  50.00% |
| 11   | Tapu Lele               |    6 |   2.75% |  50.00% |
| 11   | Heatran                 |    6 |   2.75% |  33.33% |
| 14   | Garchomp                |    5 |   2.29% |  80.00% |
| 14   | Tapu Koko               |    5 |   2.29% |  60.00% |
| 16   | Kartana                 |    4 |   1.83% |  75.00% |
| 16   | Urshifu                 |    4 |   1.83% |  25.00% |
| 18   | Kyurem                  |    3 |   1.38% | 100.00% |
| 18   | Slowbro                 |    3 |   1.38% |  66.67% |
| 18   | Latias                  |    3 |   1.38% |  33.33% |
| 18   | Sableye                 |    3 |   1.38% |  33.33% |
| 18   | Tyranitar               |    3 |   1.38% |  33.33% |
| 18   | Victini                 |    3 |   1.38% |  33.33% |
| 24   | Medicham                |    2 |   0.92% | 100.00% |
| 24   | Araquanid               |    2 |   0.92% | 100.00% |
| 24   | Torkoal                 |    2 |   0.92% | 100.00% |
| 24   | Skarmory                |    2 |   0.92% |  50.00% |
| 24   | Grimmsnarl              |    2 |   0.92% |  50.00% |
| 24   | Serperior               |    2 |   0.92% |  50.00% |
| 24   | Gliscor                 |    2 |   0.92% |  50.00% |
| 24   | Melmetal                |    2 |   0.92% |  50.00% |
| 24   | Magnezone               |    2 |   0.92% |  50.00% |
| 24   | Blacephalon             |    2 |   0.92% |  50.00% |
| 24   | Ribombee                |    2 |   0.92% |   0.00% |
| 24   | Rillaboom               |    2 |   0.92% |   0.00% |
| 24   | Weavile                 |    2 |   0.92% |   0.00% |
| 37   | Excadrill               |    1 |   0.46% | 100.00% |
| 37   | Aegislash               |    1 |   0.46% | 100.00% |
| 37   | Hatterene               |    1 |   0.46% | 100.00% |
| 37   | Slowking                |    1 |   0.46% | 100.00% |
| 37   | Volcarona               |    1 |   0.46% | 100.00% |
| 37   | Manectric               |    1 |   0.46% | 100.00% |
| 37   | Celesteela              |    1 |   0.46% | 100.00% |
| 37   | Cresselia               |    1 |   0.46% | 100.00% |
| 37   | Glalie                  |    1 |   0.46% | 100.00% |
| 37   | Reuniclus               |    1 |   0.46% | 100.00% |
| 37   | Hippowdon               |    1 |   0.46% | 100.00% |
| 37   | Tangrowth               |    1 |   0.46% |   0.00% |
| 37   | Beedrill                |    1 |   0.46% |   0.00% |
| 37   | Charizard               |    1 |   0.46% |   0.00% |
| 37   | Mawile                  |    1 |   0.46% |   0.00% |
| 37   | Gastrodon               |    1 |   0.46% |   0.00% |
| 37   | Donphan                 |    1 |   0.46% |   0.00% |
| 37   | Corviknight             |    1 |   0.46% |   0.00% |
| 37   | Gyarados                |    1 |   0.46% |   0.00% |
