+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | [Landorus-Therian]      |  110 |  50.46% |  49.09% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | U-turn                  |   66 |  60.00% |  50.00% |
| 2    | Stealth Rock            |   40 |  36.36% |  55.00% |
| 3    | Earthquake              |   39 |  35.45% |  43.59% |
| 4    | Defog                   |   18 |  16.36% |  61.11% |
| 5    | Hidden Power            |   11 |  10.00% |  36.36% |
| 6    | Stone Edge              |   10 |   9.09% |  40.00% |
| 7    | Knock Off               |    8 |   7.27% |  25.00% |
| 8    | Explosion               |    5 |   4.55% |  80.00% |
| 8    | Swords Dance            |    5 |   4.55% |  40.00% |
| 8    | Toxic                   |    5 |   4.55% |  40.00% |
| 11   | Continental Crush       |    3 |   2.73% |  33.33% |
| 11   | Supersonic Skystrike    |    3 |   2.73% |  33.33% |
| 13   | Fly                     |    1 |   0.91% |   0.00% |
| 13   | Imprison                |    1 |   0.91% |   0.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Tapu Fini               |   37 |  33.64% |  40.54% |
| 2    | Tapu Lele               |   36 |  32.73% |  52.78% |
| 3    | Ferrothorn              |   35 |  31.82% |  40.00% |
| 4    | Greninja-*              |   33 |  30.00% |  51.52% |
| 5    | Kartana                 |   31 |  28.18% |  64.52% |
| 6    | Heatran                 |   30 |  27.27% |  43.33% |
| 7    | Rotom-Wash              |   27 |  24.55% |  59.26% |
| 8    | Weavile                 |   20 |  18.18% |  45.00% |
| 9    | Medicham                |   19 |  17.27% |  52.63% |
| 10   | Melmetal                |   18 |  16.36% |  44.44% |
| 10   | Diancie                 |   18 |  16.36% |  38.89% |
| 10   | Tapu Koko               |   18 |  16.36% |  38.89% |
| 13   | Volcarona               |   17 |  15.45% |  58.82% |
| 14   | Victini                 |   15 |  13.64% |  40.00% |
| 15   | Lopunny                 |   13 |  11.82% |  46.15% |
| 15   | Latias                  |   13 |  11.82% |  38.46% |
| 17   | Mawile                  |   12 |  10.91% |  66.67% |
| 17   | Zapdos                  |   12 |  10.91% |  50.00% |
| 17   | Clefable                |   12 |  10.91% |  33.33% |
| 20   | Toxapex                 |    8 |   7.27% |  50.00% |
| 20   | Charizard               |    8 |   7.27% |  25.00% |
| 20   | Dragonite               |    8 |   7.27% |  25.00% |
| 20   | Hawlucha                |    8 |   7.27% |  12.50% |
| 24   | Serperior               |    7 |   6.36% |  57.14% |
| 24   | Kyurem                  |    7 |   6.36% |  42.86% |
| 26   | Scizor                  |    6 |   5.45% |  50.00% |
| 27   | Urshifu                 |    5 |   4.55% |  60.00% |
| 27   | Manectric               |    5 |   4.55% |  40.00% |
| 29   | Magnezone               |    4 |   3.64% |  75.00% |
| 29   | Kommo-o                 |    4 |   3.64% |  50.00% |
| 31   | Tyranitar               |    3 |   2.73% | 100.00% |
| 31   | Hatterene               |    3 |   2.73% |  66.67% |
| 31   | Blacephalon             |    3 |   2.73% |  66.67% |
| 31   | Torkoal                 |    3 |   2.73% |  66.67% |
| 31   | Shiftry                 |    3 |   2.73% |  66.67% |
| 31   | Venusaur                |    3 |   2.73% |  66.67% |
| 31   | Blaziken                |    3 |   2.73% |  66.67% |
| 31   | Garchomp                |    3 |   2.73% |  66.67% |
| 31   | Tangrowth               |    3 |   2.73% |   0.00% |
| 40   | Excadrill               |    2 |   1.82% | 100.00% |
| 40   | Celesteela              |    2 |   1.82% | 100.00% |
| 40   | Aegislash               |    2 |   1.82% | 100.00% |
| 40   | Araquanid               |    2 |   1.82% | 100.00% |
| 40   | Xurkitree               |    2 |   1.82% | 100.00% |
