+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Landorus-Therian   |  110 |  50.46% |  49.09% |
| 2    | Ferrothorn         |   68 |  31.19% |  44.12% |
| 3    | Tapu Fini          |   55 |  25.23% |  47.27% |
| 4    | Tapu Lele          |   52 |  23.85% |  53.85% |
| 5    | Greninja-*         |   48 |  22.02% |  52.08% |
| 6    | Zapdos             |   47 |  21.56% |  53.19% |
| 7    | Kartana            |   43 |  19.72% |  58.14% |
| 8    | Heatran            |   41 |  18.81% |  43.90% |
| 9    | Toxapex            |   37 |  16.97% |  48.65% |
| 10   | Diancie            |   36 |  16.51% |  44.44% |
| 10   | Lopunny            |   36 |  16.51% |  44.44% |
| 12   | Weavile            |   35 |  16.06% |  45.71% |
| 13   | Rotom-Wash         |   32 |  14.68% |  62.50% |
| 13   | Volcarona          |   32 |  14.68% |  56.25% |
| 13   | Clefable           |   32 |  14.68% |  53.12% |
| 16   | Gliscor            |   31 |  14.22% |  35.48% |
| 17   | Latias             |   28 |  12.84% |  46.43% |
| 18   | Melmetal           |   27 |  12.39% |  51.85% |
| 19   | Garchomp           |   26 |  11.93% |  57.69% |
| 20   | Tapu Koko          |   24 |  11.01% |  50.00% |
| 21   | Tyranitar          |   20 |   9.17% |  70.00% |
| 21   | Excadrill          |   20 |   9.17% |  70.00% |
| 23   | Skarmory           |   19 |   8.72% |  63.16% |
| 23   | Kyurem             |   19 |   8.72% |  63.16% |
| 23   | Medicham           |   19 |   8.72% |  52.63% |
| 23   | Chansey            |   19 |   8.72% |  36.84% |
| 27   | Serperior          |   16 |   7.34% |  43.75% |
| 27   | Corviknight        |   16 |   7.34% |  37.50% |
| 29   | Mawile             |   15 |   6.88% |  73.33% |
| 29   | Victini            |   15 |   6.88% |  40.00% |
| 31   | Slowbro            |   14 |   6.42% |  28.57% |
| 32   | Scizor             |   13 |   5.96% |  46.15% |
| 32   | Charizard          |   13 |   5.96% |  30.77% |
| 34   | Reuniclus          |   12 |   5.50% |  41.67% |
| 34   | Dragonite          |   12 |   5.50% |  25.00% |
| 36   | Magnezone          |   11 |   5.05% |  54.55% |
| 37   | Cresselia          |   10 |   4.59% |  60.00% |
| 38   | Celesteela         |    9 |   4.13% |  66.67% |
| 38   | Urshifu            |    9 |   4.13% |  55.56% |
| 38   | Pelipper           |    9 |   4.13% |  44.44% |
| 38   | Swampert           |    9 |   4.13% |  44.44% |
| 38   | Manaphy            |    9 |   4.13% |  44.44% |
| 43   | Kommo-o            |    8 |   3.67% |  25.00% |
| 43   | Hawlucha           |    8 |   3.67% |  12.50% |
| 45   | Gastrodon          |    7 |   3.21% |  57.14% |
| 46   | Rillaboom          |    6 |   2.75% |  33.33% |
| 47   | Hatterene          |    5 |   2.29% |  80.00% |
| 47   | Blacephalon        |    5 |   2.29% |  60.00% |
| 47   | Manectric          |    5 |   2.29% |  40.00% |
| 50   | Ditto              |    4 |   1.83% |  75.00% |
| 50   | Venusaur           |    4 |   1.83% |  75.00% |
| 50   | Aegislash          |    4 |   1.83% |  50.00% |
| 50   | Suicune            |    4 |   1.83% |  50.00% |
| 50   | Slowking-Galar     |    4 |   1.83% |  25.00% |
| 50   | Tangrowth          |    4 |   1.83% |  25.00% |
| 50   | Blissey            |    4 |   1.83% |  25.00% |
| 50   | Gyarados           |    4 |   1.83% |  25.00% |
| 58   | Latios             |    3 |   1.38% | 100.00% |
| 58   | Mew                |    3 |   1.38% |  66.67% |
| 58   | Torkoal            |    3 |   1.38% |  66.67% |
| 58   | Shiftry            |    3 |   1.38% |  66.67% |
| 58   | Blaziken           |    3 |   1.38% |  66.67% |
| 58   | Hydreigon          |    3 |   1.38% |  33.33% |
| 58   | Sableye            |    3 |   1.38% |  33.33% |
| 58   | Bisharp            |    3 |   1.38% |  33.33% |
| 58   | Thundurus-Therian  |    3 |   1.38% |  33.33% |
