+ ---- + ------------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2                          | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------ + ---- + ------- + ------- +
| 1    | Greninja-* / Toxapex                 |    9 |  15.52% |  55.56% |
| 2    | Victini / Tapu Lele                  |    8 |  13.79% |  62.50% |
| 2    | Swampert / Pelipper                  |    8 |  13.79% |  62.50% |
| 2    | Greninja-* / Swampert                |    8 |  13.79% |  50.00% |
| 2    | Toxapex / Swampert                   |    8 |  13.79% |  50.00% |
| 6    | Toxapex / Pelipper                   |    7 |  12.07% |  57.14% |
| 7    | Greninja-* / Pelipper                |    6 |  10.34% |  66.67% |
| 7    | Excadrill / Heatran                  |    6 |  10.34% |  66.67% |
| 9    | Mew / Tapu Lele                      |    5 |   8.62% |  80.00% |
| 9    | Aegislash / Excadrill                |    5 |   8.62% |  80.00% |
| 9    | Aegislash / Heatran                  |    5 |   8.62% |  80.00% |
| 9    | Latios / Tapu Lele                   |    5 |   8.62% |  60.00% |
| 9    | Alakazam / Victini                   |    5 |   8.62% |  60.00% |
| 9    | Alakazam / Tapu Lele                 |    5 |   8.62% |  60.00% |
| 9    | Jirachi / Tapu Lele                  |    5 |   8.62% |  40.00% |
| 9    | Slowbro / Tapu Lele                  |    5 |   8.62% |  40.00% |
| 9    | Victini / Jirachi                    |    5 |   8.62% |  40.00% |
| 9    | Latias / Tapu Lele                   |    5 |   8.62% |  40.00% |
| 19   | Aegislash / Ferrothorn               |    4 |   6.90% | 100.00% |
| 19   | Excadrill / Ferrothorn               |    4 |   6.90% | 100.00% |
| 19   | Heatran / Ferrothorn                 |    4 |   6.90% | 100.00% |
| 19   | Magnezone / Rotom-Wash               |    4 |   6.90% |  75.00% |
| 19   | Tapu Koko / Magnezone                |    4 |   6.90% |  75.00% |
| 19   | Zapdos / Magnezone                   |    4 |   6.90% |  75.00% |
| 19   | Zeraora / Magnezone                  |    4 |   6.90% |  75.00% |
| 19   | Tapu Koko / Rotom-Wash               |    4 |   6.90% |  75.00% |
| 19   | Zapdos / Rotom-Wash                  |    4 |   6.90% |  75.00% |
| 19   | Zeraora / Rotom-Wash                 |    4 |   6.90% |  75.00% |
| 19   | Tapu Koko / Zapdos                   |    4 |   6.90% |  75.00% |
| 19   | Zeraora / Tapu Koko                  |    4 |   6.90% |  75.00% |
| 19   | Zeraora / Zapdos                     |    4 |   6.90% |  75.00% |
| 19   | Hippowdon / Landorus                 |    4 |   6.90% |  75.00% |
| 19   | Excadrill / Hippowdon                |    4 |   6.90% |  75.00% |
| 19   | Hippowdon / Garchomp                 |    4 |   6.90% |  75.00% |
| 19   | Excadrill / Landorus                 |    4 |   6.90% |  75.00% |
| 19   | Garchomp / Landorus                  |    4 |   6.90% |  75.00% |
| 19   | Excadrill / Garchomp                 |    4 |   6.90% |  75.00% |
| 19   | Aegislash / Scizor                   |    4 |   6.90% |  75.00% |
| 19   | Excadrill / Scizor                   |    4 |   6.90% |  75.00% |
| 19   | Heatran / Scizor                     |    4 |   6.90% |  75.00% |
| 19   | Latios / Slowbro                     |    4 |   6.90% |  50.00% |
| 19   | Pelipper / Keldeo                    |    4 |   6.90% |  50.00% |
| 19   | Swampert / Keldeo                    |    4 |   6.90% |  50.00% |
| 19   | Urshifu / Greninja-*                 |    4 |   6.90% |  50.00% |
| 19   | Urshifu / Swampert                   |    4 |   6.90% |  50.00% |
| 19   | Latias / Latios                      |    4 |   6.90% |  50.00% |
| 19   | Greninja-* / Slowking                |    4 |   6.90% |  25.00% |
| 19   | Toxapex / Slowking                   |    4 |   6.90% |  25.00% |
| 19   | Mantine / Gliscor                    |    4 |   6.90% |  25.00% |
| 19   | Mantine / Celesteela                 |    4 |   6.90% |  25.00% |
| 19   | Tornadus-Therian / Mantine           |    4 |   6.90% |  25.00% |
| 19   | Celesteela / Gliscor                 |    4 |   6.90% |  25.00% |
| 19   | Tapu Fini / Swampert                 |    4 |   6.90% |  25.00% |
| 19   | Tapu Bulu / Diancie                  |    4 |   6.90% |   0.00% |
| 19   | Diancie / Tapu Lele                  |    4 |   6.90% |   0.00% |
| 19   | Tapu Bulu / Tapu Lele                |    4 |   6.90% |   0.00% |
| 57   | Meloetta / Deoxys-Speed              |    3 |   5.17% | 100.00% |
| 57   | Victini / Deoxys-Speed               |    3 |   5.17% | 100.00% |
| 57   | Alakazam / Deoxys-Speed              |    3 |   5.17% | 100.00% |
| 57   | Mew / Deoxys-Speed                   |    3 |   5.17% | 100.00% |
| 57   | Tapu Lele / Deoxys-Speed             |    3 |   5.17% | 100.00% |
| 57   | Meloetta / Victini                   |    3 |   5.17% | 100.00% |
| 57   | Meloetta / Alakazam                  |    3 |   5.17% | 100.00% |
| 57   | Meloetta / Mew                       |    3 |   5.17% | 100.00% |
| 57   | Meloetta / Tapu Lele                 |    3 |   5.17% | 100.00% |
| 57   | Victini / Mew                        |    3 |   5.17% | 100.00% |
| 57   | Alakazam / Mew                       |    3 |   5.17% | 100.00% |
| 57   | Excadrill / Skarmory                 |    3 |   5.17% | 100.00% |
| 57   | Heatran / Skarmory                   |    3 |   5.17% | 100.00% |
| 57   | Aegislash / Skarmory                 |    3 |   5.17% | 100.00% |
| 57   | Scizor / Skarmory                    |    3 |   5.17% | 100.00% |
| 57   | Skarmory / Ferrothorn                |    3 |   5.17% | 100.00% |
| 57   | Scizor / Ferrothorn                  |    3 |   5.17% | 100.00% |
| 57   | Hippowdon / Gastrodon                |    3 |   5.17% | 100.00% |
| 57   | Excadrill / Gastrodon                |    3 |   5.17% | 100.00% |
| 57   | Garchomp / Gastrodon                 |    3 |   5.17% | 100.00% |
| 57   | Landorus / Gastrodon                 |    3 |   5.17% | 100.00% |
| 57   | Raichu-Alola / Magnezone             |    3 |   5.17% |  66.67% |
| 57   | Raichu-Alola / Rotom-Wash            |    3 |   5.17% |  66.67% |
| 57   | Raichu-Alola / Tapu Koko             |    3 |   5.17% |  66.67% |
| 57   | Raichu-Alola / Zapdos                |    3 |   5.17% |  66.67% |
| 57   | Zeraora / Raichu-Alola               |    3 |   5.17% |  66.67% |
| 57   | Latios / Jirachi                     |    3 |   5.17% |  66.67% |
| 57   | Latios / Victini                     |    3 |   5.17% |  66.67% |
| 57   | Barraskewda / Keldeo                 |    3 |   5.17% |  66.67% |
| 57   | Barraskewda / Pelipper               |    3 |   5.17% |  66.67% |
| 57   | Barraskewda / Swampert               |    3 |   5.17% |  66.67% |
| 57   | Urshifu / Pelipper                   |    3 |   5.17% |  66.67% |
| 57   | Urshifu / Toxapex                    |    3 |   5.17% |  66.67% |
| 57   | Hippowdon / Mamoswine                |    3 |   5.17% |  66.67% |
| 57   | Mamoswine / Landorus                 |    3 |   5.17% |  66.67% |
| 57   | Excadrill / Mamoswine                |    3 |   5.17% |  66.67% |
| 57   | Garchomp / Mamoswine                 |    3 |   5.17% |  66.67% |
| 57   | Greninja-* / Hydreigon               |    3 |   5.17% |  66.67% |
| 57   | Slowbro / Jirachi                    |    3 |   5.17% |  33.33% |
| 57   | Victini / Slowbro                    |    3 |   5.17% |  33.33% |
| 57   | Toxapex / Keldeo                     |    3 |   5.17% |  33.33% |
| 57   | Slowking / Swampert                  |    3 |   5.17% |  33.33% |
| 57   | Latias / Victini                     |    3 |   5.17% |  33.33% |
| 57   | Latias / Jirachi                     |    3 |   5.17% |  33.33% |
| 57   | Latias / Slowbro                     |    3 |   5.17% |  33.33% |
| 57   | Tornadus-Therian / Gliscor           |    3 |   5.17% |  33.33% |
| 57   | Tornadus-Therian / Celesteela        |    3 |   5.17% |  33.33% |
| 57   | Greninja-* / Tapu Fini               |    3 |   5.17% |  33.33% |
| 57   | Toxapex / Tapu Fini                  |    3 |   5.17% |  33.33% |
| 57   | Greninja-* / Gyarados                |    3 |   5.17% |  33.33% |
| 57   | Tyranitar / Hydreigon                |    3 |   5.17% |  33.33% |
| 57   | Weavile / Hydreigon                  |    3 |   5.17% |  33.33% |
| 57   | Weavile / Tyranitar                  |    3 |   5.17% |  33.33% |
| 57   | Toxapex / Gyarados                   |    3 |   5.17% |  33.33% |
| 57   | Klefki / Diancie                     |    3 |   5.17% |   0.00% |
| 57   | Klefki / Tapu Bulu                   |    3 |   5.17% |   0.00% |
| 57   | Klefki / Tapu Lele                   |    3 |   5.17% |   0.00% |
| 57   | Azumarill / Diancie                  |    3 |   5.17% |   0.00% |
| 57   | Tapu Koko / Diancie                  |    3 |   5.17% |   0.00% |
| 57   | Tapu Koko / Azumarill                |    3 |   5.17% |   0.00% |
| 57   | Azumarill / Tapu Bulu                |    3 |   5.17% |   0.00% |
| 57   | Azumarill / Tapu Lele                |    3 |   5.17% |   0.00% |
| 57   | Tapu Koko / Tapu Bulu                |    3 |   5.17% |   0.00% |
| 57   | Tapu Koko / Tapu Lele                |    3 |   5.17% |   0.00% |
| 57   | Charizard / Mantine                  |    3 |   5.17% |   0.00% |
| 122  | Manaphy / Pelipper                   |    2 |   3.45% | 100.00% |
| 122  | Manaphy / Swampert                   |    2 |   3.45% | 100.00% |
| 122  | Muk-Alola / Hydreigon                |    2 |   3.45% | 100.00% |
| 122  | Muk-Alola / Greninja-*               |    2 |   3.45% | 100.00% |
| 122  | Mamoswine / Gastrodon                |    2 |   3.45% | 100.00% |
| 122  | Greninja-* / Keldeo                  |    2 |   3.45% |  50.00% |
| 122  | Greninja-* / Barraskewda             |    2 |   3.45% |  50.00% |
| 122  | Toxapex / Barraskewda                |    2 |   3.45% |  50.00% |
| 122  | Muk-Alola / Nidoking                 |    2 |   3.45% |  50.00% |
| 122  | Toxapex / Nidoking                   |    2 |   3.45% |  50.00% |
| 122  | Slowking-Galar / Nidoking            |    2 |   3.45% |  50.00% |
| 122  | Venusaur / Nidoking                  |    2 |   3.45% |  50.00% |
| 122  | Muk-Alola / Toxapex                  |    2 |   3.45% |  50.00% |
| 122  | Muk-Alola / Slowking-Galar           |    2 |   3.45% |  50.00% |
| 122  | Muk-Alola / Venusaur                 |    2 |   3.45% |  50.00% |
| 122  | Toxapex / Slowking-Galar             |    2 |   3.45% |  50.00% |
| 122  | Toxapex / Venusaur                   |    2 |   3.45% |  50.00% |
| 122  | Venusaur / Slowking-Galar            |    2 |   3.45% |  50.00% |
| 122  | Slowking / Pelipper                  |    2 |   3.45% |  50.00% |
| 122  | Urshifu / Slowking                   |    2 |   3.45% |  50.00% |
| 122  | Excadrill / Jirachi                  |    2 |   3.45% |  50.00% |
| 122  | Corviknight / Jirachi                |    2 |   3.45% |  50.00% |
| 122  | Heatran / Jirachi                    |    2 |   3.45% |  50.00% |
| 122  | Excadrill / Corviknight              |    2 |   3.45% |  50.00% |
| 122  | Heatran / Corviknight                |    2 |   3.45% |  50.00% |
| 122  | Aerodactyl / Mantine                 |    2 |   3.45% |  50.00% |
| 122  | Thundurus-Therian / Mantine          |    2 |   3.45% |  50.00% |
| 122  | Aerodactyl / Gliscor                 |    2 |   3.45% |  50.00% |
| 122  | Thundurus-Therian / Gliscor          |    2 |   3.45% |  50.00% |
| 122  | Aerodactyl / Celesteela              |    2 |   3.45% |  50.00% |
| 122  | Thundurus-Therian / Celesteela       |    2 |   3.45% |  50.00% |
| 122  | Thundurus-Therian / Aerodactyl       |    2 |   3.45% |  50.00% |
| 122  | Tornadus-Therian / Aerodactyl        |    2 |   3.45% |  50.00% |
| 122  | Tornadus-Therian / Thundurus-Therian |    2 |   3.45% |  50.00% |
| 122  | Tapu Fini / Pelipper                 |    2 |   3.45% |  50.00% |
| 122  | Toxapex / Azumarill                  |    2 |   3.45% |  50.00% |
| 122  | Latias / Slowking-Galar              |    2 |   3.45% |  50.00% |
| 122  | Latias / Mew                         |    2 |   3.45% |  50.00% |
