+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Tapu Koko               |    5 |   8.62% |  60.00% |
| 2    | Excadrill               |    3 |   5.17% | 100.00% |
| 2    | Victini                 |    3 |   5.17% |  66.67% |
| 2    | Greninja                |    3 |   5.17% |  33.33% |
| 2    | Swampert                |    3 |   5.17% |   0.00% |
| 6    | Slowking-Galar          |    2 |   3.45% |  50.00% |
| 6    | Tapu Lele               |    2 |   3.45% |  50.00% |
| 6    | Thundurus-Therian       |    2 |   3.45% |  50.00% |
| 6    | Keldeo                  |    2 |   3.45% |  50.00% |
| 6    | Slowbro                 |    2 |   3.45% |  50.00% |
| 6    | Charizard               |    2 |   3.45% |   0.00% |
| 6    | Lanturn                 |    2 |   3.45% |   0.00% |
| 13   | Gardevoir               |    1 |   1.72% | 100.00% |
| 13   | Barraskewda             |    1 |   1.72% | 100.00% |
| 13   | Urshifu                 |    1 |   1.72% | 100.00% |
| 13   | Pelipper                |    1 |   1.72% | 100.00% |
| 13   | Lopunny                 |    1 |   1.72% | 100.00% |
| 13   | Tapu Fini               |    1 |   1.72% | 100.00% |
| 13   | Zarude                  |    1 |   1.72% | 100.00% |
| 13   | Heatran                 |    1 |   1.72% | 100.00% |
| 13   | Garchomp                |    1 |   1.72% | 100.00% |
| 13   | Araquanid               |    1 |   1.72% | 100.00% |
| 13   | Mamoswine               |    1 |   1.72% | 100.00% |
| 13   | Golisopod               |    1 |   1.72% | 100.00% |
| 13   | Deoxys-Speed            |    1 |   1.72% | 100.00% |
| 13   | Grimmsnarl              |    1 |   1.72% | 100.00% |
| 13   | Gastrodon               |    1 |   1.72% | 100.00% |
| 13   | Venusaur                |    1 |   1.72% |   0.00% |
| 13   | Seismitoad              |    1 |   1.72% |   0.00% |
| 13   | Klefki                  |    1 |   1.72% |   0.00% |
| 13   | Latias                  |    1 |   1.72% |   0.00% |
| 13   | Kyurem                  |    1 |   1.72% |   0.00% |
| 13   | Celesteela              |    1 |   1.72% |   0.00% |
| 13   | Jirachi                 |    1 |   1.72% |   0.00% |
| 13   | Landorus                |    1 |   1.72% |   0.00% |
| 13   | Melmetal                |    1 |   1.72% |   0.00% |
| 13   | Hydreigon               |    1 |   1.72% |   0.00% |
| 13   | Zapdos                  |    1 |   1.72% |   0.00% |
| 13   | Diancie                 |    1 |   1.72% |   0.00% |
