+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Tapu Lele          |   14 |  24.14% |  42.86% |
| 2    | Greninja-*         |   13 |  22.41% |  53.85% |
| 2    | Toxapex            |   13 |  22.41% |  46.15% |
| 4    | Excadrill          |   10 |  17.24% |  70.00% |
| 4    | Swampert           |   10 |  17.24% |  50.00% |
| 6    | Victini            |    8 |  13.79% |  62.50% |
| 6    | Pelipper           |    8 |  13.79% |  62.50% |
| 8    | Tapu Koko          |    7 |  12.07% |  42.86% |
| 8    | Jirachi            |    7 |  12.07% |  42.86% |
| 10   | Heatran            |    6 |  10.34% |  66.67% |
| 10   | Zapdos             |    6 |  10.34% |  50.00% |
| 10   | Latios             |    6 |  10.34% |  50.00% |
| 10   | Landorus           |    6 |  10.34% |  50.00% |
| 10   | Latias             |    6 |  10.34% |  33.33% |
| 10   | Mantine            |    6 |  10.34% |  16.67% |
| 10   | Celesteela         |    6 |  10.34% |  16.67% |
| 17   | Ferrothorn         |    5 |   8.62% |  80.00% |
| 17   | Mew                |    5 |   8.62% |  80.00% |
| 17   | Aegislash          |    5 |   8.62% |  80.00% |
| 17   | Scizor             |    5 |   8.62% |  80.00% |
| 17   | Keldeo             |    5 |   8.62% |  60.00% |
| 17   | Alakazam           |    5 |   8.62% |  60.00% |
| 17   | Garchomp           |    5 |   8.62% |  60.00% |
| 17   | Slowbro            |    5 |   8.62% |  40.00% |
| 17   | Gliscor            |    5 |   8.62% |  40.00% |
| 17   | Azumarill          |    5 |   8.62% |  20.00% |
| 27   | Gastrodon          |    4 |   6.90% | 100.00% |
| 27   | Magnezone          |    4 |   6.90% |  75.00% |
| 27   | Rotom-Wash         |    4 |   6.90% |  75.00% |
| 27   | Zeraora            |    4 |   6.90% |  75.00% |
| 27   | Muk-Alola          |    4 |   6.90% |  75.00% |
| 27   | Hippowdon          |    4 |   6.90% |  75.00% |
| 27   | Slowking-Galar     |    4 |   6.90% |  50.00% |
| 27   | Urshifu            |    4 |   6.90% |  50.00% |
| 27   | Hydreigon          |    4 |   6.90% |  50.00% |
| 27   | Slowking           |    4 |   6.90% |  25.00% |
| 27   | Tornadus-Therian   |    4 |   6.90% |  25.00% |
| 27   | Tapu Fini          |    4 |   6.90% |  25.00% |
| 27   | Gyarados           |    4 |   6.90% |  25.00% |
| 27   | Charizard          |    4 |   6.90% |   0.00% |
| 27   | Diancie            |    4 |   6.90% |   0.00% |
| 27   | Tapu Bulu          |    4 |   6.90% |   0.00% |
| 43   | Deoxys-Speed       |    3 |   5.17% | 100.00% |
| 43   | Meloetta           |    3 |   5.17% | 100.00% |
| 43   | Skarmory           |    3 |   5.17% | 100.00% |
| 43   | Raichu-Alola       |    3 |   5.17% |  66.67% |
| 43   | Barraskewda        |    3 |   5.17% |  66.67% |
| 43   | Mamoswine          |    3 |   5.17% |  66.67% |
| 43   | Venusaur           |    3 |   5.17% |  33.33% |
| 43   | Zarude             |    3 |   5.17% |  33.33% |
| 43   | Corviknight        |    3 |   5.17% |  33.33% |
| 43   | Tyranitar          |    3 |   5.17% |  33.33% |
| 43   | Weavile            |    3 |   5.17% |  33.33% |
| 43   | Klefki             |    3 |   5.17% |   0.00% |
| 55   | Manaphy            |    2 |   3.45% | 100.00% |
| 55   | Buzzwole           |    2 |   3.45% | 100.00% |
| 55   | Volcarona          |    2 |   3.45% |  50.00% |
| 55   | Celebi             |    2 |   3.45% |  50.00% |
| 55   | Nidoking           |    2 |   3.45% |  50.00% |
| 55   | Kommo-o            |    2 |   3.45% |  50.00% |
| 55   | Aerodactyl         |    2 |   3.45% |  50.00% |
| 55   | Thundurus-Therian  |    2 |   3.45% |  50.00% |
| 55   | Sableye            |    2 |   3.45% |  50.00% |
| 55   | Mandibuzz          |    2 |   3.45% |  50.00% |
| 55   | Empoleon           |    2 |   3.45% |  50.00% |
| 55   | Grimmsnarl         |    2 |   3.45% |  50.00% |
| 55   | Volcanion          |    2 |   3.45% |   0.00% |
| 55   | Melmetal           |    2 |   3.45% |   0.00% |
| 55   | Quagsire           |    2 |   3.45% |   0.00% |
| 55   | Lanturn            |    2 |   3.45% |   0.00% |
| 71   | Gardevoir          |    1 |   1.72% | 100.00% |
| 71   | Kingdra            |    1 |   1.72% | 100.00% |
| 71   | Porygon2           |    1 |   1.72% | 100.00% |
| 71   | Blissey            |    1 |   1.72% | 100.00% |
| 71   | Staraptor          |    1 |   1.72% | 100.00% |
| 71   | Lopunny            |    1 |   1.72% | 100.00% |
| 71   | Diggersby          |    1 |   1.72% | 100.00% |
| 71   | Porygon-Z          |    1 |   1.72% | 100.00% |
| 71   | Cobalion           |    1 |   1.72% | 100.00% |
| 71   | Gallade            |    1 |   1.72% | 100.00% |
| 71   | Terrakion          |    1 |   1.72% | 100.00% |
| 71   | Regieleki          |    1 |   1.72% | 100.00% |
| 71   | Crobat             |    1 |   1.72% | 100.00% |
| 71   | Araquanid          |    1 |   1.72% | 100.00% |
| 71   | Forretress         |    1 |   1.72% | 100.00% |
| 71   | Vikavolt           |    1 |   1.72% | 100.00% |
| 71   | Golisopod          |    1 |   1.72% | 100.00% |
| 71   | Cinderace          |    1 |   1.72% |   0.00% |
| 71   | Torkoal            |    1 |   1.72% |   0.00% |
| 71   | Blacephalon        |    1 |   1.72% |   0.00% |
| 71   | Rillaboom          |    1 |   1.72% |   0.00% |
| 71   | Whimsicott         |    1 |   1.72% |   0.00% |
| 71   | Weezing-Galar      |    1 |   1.72% |   0.00% |
| 71   | Seismitoad         |    1 |   1.72% |   0.00% |
| 71   | Dragalge           |    1 |   1.72% |   0.00% |
| 71   | Kyurem             |    1 |   1.72% |   0.00% |
| 71   | Tentacruel         |    1 |   1.72% |   0.00% |
| 71   | Slowbro-Galar      |    1 |   1.72% |   0.00% |
| 71   | Hatterene          |    1 |   1.72% |   0.00% |
