+ ---- + ------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                     | Use  | Usage % |  Win %  |
+ ---- + ------------------------------- + ---- + ------- + ------- +
| 1    | Tapu Fini / Salamence           |   11 |  18.97% |  54.55% |
| 1    | Tapu Fini / Incineroar          |   11 |  18.97% |  54.55% |
| 3    | Zeraora / Tapu Fini             |   10 |  17.24% |  60.00% |
| 3    | Salamence / Rillaboom           |   10 |  17.24% |  40.00% |
| 3    | Salamence / Marshadow           |   10 |  17.24% |  40.00% |
| 6    | Tapu Fini / Landorus            |    9 |  15.52% |  66.67% |
| 6    | Rillaboom / Landorus            |    9 |  15.52% |  44.44% |
| 6    | Salamence / Landorus            |    9 |  15.52% |  44.44% |
| 6    | Landorus / Incineroar           |    9 |  15.52% |  44.44% |
| 10   | Urshifu / Metagross             |    8 |  13.79% |  62.50% |
| 10   | Tornadus / Metagross            |    8 |  13.79% |  62.50% |
| 10   | Urshifu / Tornadus              |    8 |  13.79% |  62.50% |
| 10   | Salamence / Incineroar          |    8 |  13.79% |  50.00% |
| 10   | Tapu Fini / Rillaboom           |    8 |  13.79% |  50.00% |
| 10   | Zeraora / Salamence             |    8 |  13.79% |  50.00% |
| 10   | Zeraora / Rillaboom             |    8 |  13.79% |  50.00% |
| 10   | Rillaboom / Marshadow           |    8 |  13.79% |  37.50% |
| 10   | Genesect / Incineroar           |    8 |  13.79% |  37.50% |
| 19   | Zeraora / Landorus              |    7 |  12.07% |  57.14% |
| 19   | Tapu Fini / Genesect            |    7 |  12.07% |  57.14% |
| 19   | Rillaboom / Incineroar          |    7 |  12.07% |  42.86% |
| 19   | Charizard / Zygarde             |    7 |  12.07% |  42.86% |
| 23   | Genesect / Salamence            |    6 |  10.34% |  66.67% |
| 23   | Tornadus / Rillaboom            |    6 |  10.34% |  50.00% |
| 23   | Genesect / Landorus             |    6 |  10.34% |  50.00% |
| 23   | Tapu Fini / Marshadow           |    6 |  10.34% |  33.33% |
| 23   | Zeraora / Marshadow             |    6 |  10.34% |  16.67% |
| 28   | Zeraora / Kyurem-Black          |    5 |   8.62% |  80.00% |
| 28   | Zeraora / Genesect              |    5 |   8.62% |  60.00% |
| 28   | Marshadow / Incineroar          |    5 |   8.62% |  40.00% |
| 28   | Charizard / Rillaboom           |    5 |   8.62% |  40.00% |
| 28   | Urshifu / Rillaboom             |    5 |   8.62% |  40.00% |
| 28   | Landorus / Marshadow            |    5 |   8.62% |  20.00% |
| 34   | Zeraora / Tornadus              |    4 |   6.90% |  75.00% |
| 34   | Volcanion / Rillaboom           |    4 |   6.90% |  75.00% |
