+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Rillaboom          |   25 |  43.10% |  48.00% |
| 2    | Tapu Fini          |   20 |  34.48% |  50.00% |
| 3    | Incineroar         |   19 |  32.76% |  52.63% |
| 3    | Zeraora            |   19 |  32.76% |  47.37% |
| 5    | Salamence          |   18 |  31.03% |  44.44% |
| 6    | Landorus           |   17 |  29.31% |  47.06% |
| 7    | Tornadus           |   13 |  22.41% |  61.54% |
| 7    | Marshadow          |   13 |  22.41% |  38.46% |
| 9    | Metagross          |   12 |  20.69% |  58.33% |
| 9    | Urshifu            |   12 |  20.69% |  58.33% |
| 11   | Charizard          |   11 |  18.97% |  36.36% |
| 12   | Genesect           |   10 |  17.24% |  40.00% |
| 13   | Zygarde            |    8 |  13.79% |  37.50% |
| 14   | Amoonguss          |    7 |  12.07% |  71.43% |
| 15   | Kyurem-Black       |    6 |  10.34% |  66.67% |
| 15   | Volcanion          |    6 |  10.34% |  66.67% |
| 15   | Indeedee-F         |    6 |  10.34% |  66.67% |
| 15   | Naganadel          |    6 |  10.34% |  50.00% |
| 15   | Regieleki          |    6 |  10.34% |  16.67% |
| 20   | Stakataka          |    5 |   8.62% |  60.00% |
| 20   | Tapu Lele          |    5 |   8.62% |  60.00% |
| 20   | Heatran            |    5 |   8.62% |  40.00% |
| 20   | Landorus-Therian   |    5 |   8.62% |  40.00% |
| 20   | Celesteela         |    5 |   8.62% |  40.00% |
| 25   | Politoed           |    4 |   6.90% |  75.00% |
| 25   | Nihilego           |    4 |   6.90% |  75.00% |
| 25   | Diancie            |    4 |   6.90% |  50.00% |
| 25   | Zapdos             |    4 |   6.90% |  50.00% |
| 25   | Tsareena           |    4 |   6.90% |  50.00% |
| 25   | Tapu Koko          |    4 |   6.90% |  50.00% |
| 25   | Kommo-o            |    4 |   6.90% |  25.00% |
| 25   | Kangaskhan         |    4 |   6.90% |  25.00% |
| 33   | Gardevoir          |    3 |   5.17% | 100.00% |
| 33   | Kingdra            |    3 |   5.17% |  66.67% |
| 33   | Ludicolo           |    3 |   5.17% |  66.67% |
| 33   | Pelipper           |    3 |   5.17% |  66.67% |
| 33   | Cresselia          |    3 |   5.17% |  66.67% |
| 33   | Kartana            |    3 |   5.17% |  33.33% |
| 33   | Dragapult          |    3 |   5.17% |  33.33% |
| 33   | Porygon2           |    3 |   5.17% |  33.33% |
| 33   | Whimsicott         |    3 |   5.17% |  33.33% |
| 33   | Blastoise          |    3 |   5.17% |   0.00% |
| 33   | Jirachi            |    3 |   5.17% |   0.00% |
| 44   | Bronzong           |    2 |   3.45% | 100.00% |
| 44   | Lurantis           |    2 |   3.45% | 100.00% |
| 44   | Xurkitree          |    2 |   3.45% |  50.00% |
| 44   | Venusaur           |    2 |   3.45% |  50.00% |
| 44   | Spectrier          |    2 |   3.45% |   0.00% |
| 49   | Deoxys-Speed       |    1 |   1.72% | 100.00% |
| 49   | Scizor             |    1 |   1.72% | 100.00% |
| 49   | Aerodactyl         |    1 |   1.72% | 100.00% |
| 49   | Mawile             |    1 |   1.72% | 100.00% |
| 49   | Zapdos-Galar       |    1 |   1.72% | 100.00% |
| 49   | Ferrothorn         |    1 |   1.72% | 100.00% |
| 49   | Moltres-Galar      |    1 |   1.72% | 100.00% |
| 49   | Comfey             |    1 |   1.72% | 100.00% |
| 49   | Necrozma           |    1 |   1.72% | 100.00% |
| 49   | Aggron             |    1 |   1.72% |   0.00% |
| 49   | Mew                |    1 |   1.72% |   0.00% |
| 49   | Victini            |    1 |   1.72% |   0.00% |
| 49   | Weezing-Galar      |    1 |   1.72% |   0.00% |
| 49   | Pheromosa          |    1 |   1.72% |   0.00% |
