+ ---- + --------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                       | Use  | Usage % |  Win %  |
+ ---- + --------------------------------- + ---- + ------- + ------- +
| 1    | Kartana / Blastoise               |    8 |  14.29% |  50.00% |
| 2    | Nihilego / Tapu Lele              |    7 |  12.50% |  57.14% |
| 2    | Kartana / Tapu Lele               |    7 |  12.50% |  57.14% |
| 2    | Blastoise / Tapu Lele             |    7 |  12.50% |  57.14% |
| 2    | Zapdos / Tapu Lele                |    7 |  12.50% |  57.14% |
| 2    | Kartana / Nihilego                |    7 |  12.50% |  57.14% |
| 2    | Nihilego / Blastoise              |    7 |  12.50% |  57.14% |
| 2    | Nihilego / Zapdos                 |    7 |  12.50% |  57.14% |
| 2    | Kartana / Zapdos                  |    7 |  12.50% |  57.14% |
| 2    | Blastoise / Zapdos                |    7 |  12.50% |  57.14% |
| 11   | Kartana / Cinderace               |    6 |  10.71% |  83.33% |
| 11   | Krookodile / Tapu Lele            |    6 |  10.71% |  66.67% |
| 11   | Nihilego / Krookodile             |    6 |  10.71% |  66.67% |
| 11   | Kartana / Krookodile              |    6 |  10.71% |  66.67% |
| 11   | Krookodile / Blastoise            |    6 |  10.71% |  66.67% |
| 11   | Krookodile / Zapdos               |    6 |  10.71% |  66.67% |
| 11   | Greninja-* / Diancie              |    6 |  10.71% |  33.33% |
| 18   | Kartana / Gardevoir               |    5 |   8.93% | 100.00% |
| 18   | Cinderace / Gardevoir             |    5 |   8.93% | 100.00% |
| 18   | Kartana / Gliscor                 |    5 |   8.93% |  80.00% |
| 18   | Cinderace / Gliscor               |    5 |   8.93% |  80.00% |
| 18   | Lopunny / Kyurem                  |    5 |   8.93% |  40.00% |
| 18   | Klefki / Lopunny                  |    5 |   8.93% |  40.00% |
| 18   | Araquanid / Lopunny               |    5 |   8.93% |  40.00% |
| 18   | Klefki / Kyurem                   |    5 |   8.93% |  40.00% |
| 18   | Araquanid / Kyurem                |    5 |   8.93% |  40.00% |
| 18   | Klefki / Araquanid                |    5 |   8.93% |  40.00% |
| 28   | Dragonite / Tapu Koko             |    4 |   7.14% | 100.00% |
| 28   | Kartana / Corviknight             |    4 |   7.14% | 100.00% |
| 28   | Gardevoir / Corviknight           |    4 |   7.14% | 100.00% |
| 28   | Cinderace / Corviknight           |    4 |   7.14% | 100.00% |
| 28   | Gardevoir / Gliscor               |    4 |   7.14% | 100.00% |
| 28   | Gardevoir / Toxapex               |    4 |   7.14% | 100.00% |
| 28   | Cinderace / Toxapex               |    4 |   7.14% | 100.00% |
| 28   | Toxapex / Gliscor                 |    4 |   7.14% | 100.00% |
| 28   | Kartana / Toxapex                 |    4 |   7.14% | 100.00% |
| 28   | Uxie / Melmetal                   |    4 |   7.14% |  75.00% |
| 28   | Heatran / Tapu Fini               |    4 |   7.14% |  50.00% |
| 28   | Heatran / Gallade                 |    4 |   7.14% |  50.00% |
| 28   | Tapu Fini / Gallade               |    4 |   7.14% |  50.00% |
| 28   | Mew / Diancie                     |    4 |   7.14% |  50.00% |
| 28   | Rillaboom / Mew                   |    4 |   7.14% |  50.00% |
| 28   | Swampert / Mew                    |    4 |   7.14% |  50.00% |
| 28   | Greninja-* / Mew                  |    4 |   7.14% |  50.00% |
| 28   | Rillaboom / Diancie               |    4 |   7.14% |  50.00% |
| 28   | Swampert / Diancie                |    4 |   7.14% |  50.00% |
| 28   | Rillaboom / Swampert              |    4 |   7.14% |  50.00% |
| 28   | Greninja-* / Rillaboom            |    4 |   7.14% |  50.00% |
| 28   | Greninja-* / Swampert             |    4 |   7.14% |  50.00% |
| 28   | Scizor / Garchomp                 |    4 |   7.14% |  25.00% |
| 28   | Togekiss / Garchomp               |    4 |   7.14% |  25.00% |
| 28   | Togekiss / Scizor                 |    4 |   7.14% |  25.00% |
| 28   | Lopunny / Necrozma                |    4 |   7.14% |  25.00% |
| 28   | Necrozma / Kyurem                 |    4 |   7.14% |  25.00% |
| 28   | Klefki / Necrozma                 |    4 |   7.14% |  25.00% |
| 28   | Araquanid / Necrozma              |    4 |   7.14% |  25.00% |
