+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Blastoise               |    3 |   5.36% |  66.67% |
| 1    | Araquanid               |    3 |   5.36% |  33.33% |
| 1    | Primarina               |    3 |   5.36% |  33.33% |
| 4    | Tapu Lele               |    2 |   3.57% | 100.00% |
| 4    | Uxie                    |    2 |   3.57% | 100.00% |
| 4    | Swampert                |    2 |   3.57% | 100.00% |
| 4    | Gardevoir               |    2 |   3.57% | 100.00% |
| 4    | Cinderace               |    2 |   3.57% |  50.00% |
| 4    | Deoxys-Speed            |    2 |   3.57% |  50.00% |
| 4    | Garchomp                |    2 |   3.57% |  50.00% |
| 4    | Rillaboom               |    2 |   3.57% |  50.00% |
| 4    | Beedrill                |    2 |   3.57% |  50.00% |
| 4    | Ferrothorn              |    2 |   3.57% |  50.00% |
| 4    | Gliscor                 |    2 |   3.57% |  50.00% |
| 4    | Mesprit                 |    2 |   3.57% |   0.00% |
| 4    | Mew                     |    2 |   3.57% |   0.00% |
| 4    | Weavile                 |    2 |   3.57% |   0.00% |
| 18   | Porygon-Z               |    1 |   1.79% | 100.00% |
| 18   | Heatran                 |    1 |   1.79% | 100.00% |
| 18   | Dragonite               |    1 |   1.79% | 100.00% |
| 18   | Zapdos-Galar            |    1 |   1.79% | 100.00% |
| 18   | Celesteela              |    1 |   1.79% | 100.00% |
| 18   | Landorus-Therian        |    1 |   1.79% | 100.00% |
| 18   | Tapu Fini               |    1 |   1.79% | 100.00% |
| 18   | Kyurem                  |    1 |   1.79% | 100.00% |
| 18   | Toxapex                 |    1 |   1.79% | 100.00% |
| 18   | Scizor                  |    1 |   1.79% |   0.00% |
| 18   | Regirock                |    1 |   1.79% |   0.00% |
| 18   | Drampa                  |    1 |   1.79% |   0.00% |
| 18   | Celebi                  |    1 |   1.79% |   0.00% |
| 18   | Necrozma                |    1 |   1.79% |   0.00% |
| 18   | Nihilego                |    1 |   1.79% |   0.00% |
| 18   | Incineroar              |    1 |   1.79% |   0.00% |
| 18   | Rotom-Wash              |    1 |   1.79% |   0.00% |
| 18   | Nidoqueen               |    1 |   1.79% |   0.00% |
| 18   | Zapdos                  |    1 |   1.79% |   0.00% |
