+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Kartana            |   13 |  23.21% |  69.23% |
| 2    | Blastoise          |   11 |  19.64% |  45.45% |
| 3    | Garchomp           |   10 |  17.86% |  40.00% |
| 4    | Cinderace          |    9 |  16.07% |  66.67% |
| 4    | Gliscor            |    9 |  16.07% |  55.56% |
| 4    | Zapdos             |    9 |  16.07% |  44.44% |
| 4    | Lopunny            |    9 |  16.07% |  33.33% |
| 8    | Mew                |    8 |  14.29% |  37.50% |
| 9    | Tapu Lele          |    7 |  12.50% |  57.14% |
| 9    | Nihilego           |    7 |  12.50% |  57.14% |
| 9    | Swampert           |    7 |  12.50% |  57.14% |
| 9    | Celesteela         |    7 |  12.50% |  42.86% |
| 9    | Zeraora            |    7 |  12.50% |  42.86% |
| 9    | Weavile            |    7 |  12.50% |  28.57% |
| 15   | Rotom-Wash         |    6 |  10.71% |  66.67% |
| 15   | Landorus-Therian   |    6 |  10.71% |  66.67% |
| 15   | Krookodile         |    6 |  10.71% |  66.67% |
| 15   | Melmetal           |    6 |  10.71% |  66.67% |
| 15   | Diancie            |    6 |  10.71% |  33.33% |
| 15   | Greninja-*         |    6 |  10.71% |  33.33% |
| 15   | Scizor             |    6 |  10.71% |  16.67% |
| 22   | Corviknight        |    5 |   8.93% | 100.00% |
| 22   | Gardevoir          |    5 |   8.93% | 100.00% |
| 22   | Tapu Koko          |    5 |   8.93% |  80.00% |
| 22   | Kyurem             |    5 |   8.93% |  40.00% |
| 22   | Klefki             |    5 |   8.93% |  40.00% |
| 22   | Araquanid          |    5 |   8.93% |  40.00% |
| 28   | Dragonite          |    4 |   7.14% | 100.00% |
| 28   | Toxapex            |    4 |   7.14% | 100.00% |
| 28   | Uxie               |    4 |   7.14% |  75.00% |
| 28   | Seismitoad         |    4 |   7.14% |  50.00% |
| 28   | Heatran            |    4 |   7.14% |  50.00% |
| 28   | Tapu Fini          |    4 |   7.14% |  50.00% |
| 28   | Gallade            |    4 |   7.14% |  50.00% |
| 28   | Rillaboom          |    4 |   7.14% |  50.00% |
| 28   | Togekiss           |    4 |   7.14% |  25.00% |
| 28   | Necrozma           |    4 |   7.14% |  25.00% |
| 28   | Infernape          |    4 |   7.14% |  25.00% |
| 28   | Landorus           |    4 |   7.14% |  25.00% |
| 28   | Primarina          |    4 |   7.14% |  25.00% |
| 28   | Gengar             |    4 |   7.14% |  25.00% |
| 28   | Mesprit            |    4 |   7.14% |   0.00% |
| 43   | Sharpedo           |    3 |   5.36% | 100.00% |
| 43   | Porygon-Z          |    3 |   5.36% |  66.67% |
| 43   | Zapdos-Galar       |    3 |   5.36% |  66.67% |
| 43   | Aegislash          |    3 |   5.36% |  66.67% |
| 43   | Deoxys-Speed       |    3 |   5.36% |  66.67% |
| 43   | Vileplume          |    3 |   5.36% |  33.33% |
| 43   | Muk-Alola          |    3 |   5.36% |  33.33% |
| 43   | Eldegoss           |    3 |   5.36% |  33.33% |
| 43   | Beedrill           |    3 |   5.36% |  33.33% |
| 43   | Slowbro            |    3 |   5.36% |  33.33% |
| 43   | Crawdaunt          |    3 |   5.36% |  33.33% |
| 54   | Moltres-Galar      |    2 |   3.57% | 100.00% |
| 54   | Porygon2           |    2 |   3.57% | 100.00% |
| 54   | Tyrantrum          |    2 |   3.57% | 100.00% |
| 54   | Celebi             |    2 |   3.57% |  50.00% |
| 54   | Cobalion           |    2 |   3.57% |  50.00% |
| 54   | Tornadus-Therian   |    2 |   3.57% |  50.00% |
| 54   | Glalie             |    2 |   3.57% |  50.00% |
| 54   | Skuntank           |    2 |   3.57% |  50.00% |
| 54   | Ferrothorn         |    2 |   3.57% |  50.00% |
| 54   | Pelipper           |    2 |   3.57% |  50.00% |
| 54   | Kabutops           |    2 |   3.57% |  50.00% |
| 54   | Mandibuzz          |    2 |   3.57% |  50.00% |
| 54   | Thundurus          |    2 |   3.57% |  50.00% |
| 54   | Incineroar         |    2 |   3.57% |   0.00% |
| 54   | Skarmory           |    2 |   3.57% |   0.00% |
| 54   | Whimsicott         |    2 |   3.57% |   0.00% |
| 70   | Tyranitar          |    1 |   1.79% | 100.00% |
| 70   | Zygarde-10%        |    1 |   1.79% | 100.00% |
| 70   | Deoxys-Defense     |    1 |   1.79% | 100.00% |
| 70   | Mawile             |    1 |   1.79% | 100.00% |
| 70   | Mienshao           |    1 |   1.79% | 100.00% |
| 70   | Amoonguss          |    1 |   1.79% | 100.00% |
| 70   | Serperior          |    1 |   1.79% | 100.00% |
| 70   | Conkeldurr         |    1 |   1.79% | 100.00% |
| 70   | Aerodactyl         |    1 |   1.79% |   0.00% |
| 70   | Bronzong           |    1 |   1.79% |   0.00% |
| 70   | Victini            |    1 |   1.79% |   0.00% |
| 70   | Regirock           |    1 |   1.79% |   0.00% |
| 70   | Drampa             |    1 |   1.79% |   0.00% |
| 70   | Mudsdale           |    1 |   1.79% |   0.00% |
| 70   | Eelektross         |    1 |   1.79% |   0.00% |
| 70   | Keldeo             |    1 |   1.79% |   0.00% |
| 70   | Hoopa-Unbound      |    1 |   1.79% |   0.00% |
| 70   | Nidoqueen          |    1 |   1.79% |   0.00% |
| 70   | Froslass           |    1 |   1.79% |   0.00% |
