+ ---- + ----------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------------- + ---- + ------- + ------- +
| 1    | Crobat / Steelix              |   13 |  14.44% |  46.15% |
| 2    | Barbaracle / Houndoom         |   10 |  11.11% |  70.00% |
| 2    | Metagross / Houndoom          |   10 |  11.11% |  50.00% |
| 4    | Flygon / Toxtricity           |    9 |  10.00% |  55.56% |
| 4    | Zarude / Crobat               |    9 |  10.00% |  44.44% |
| 4    | Crobat / Houndoom             |    9 |  10.00% |  33.33% |
| 7    | Crobat / Milotic              |    8 |   8.89% |  75.00% |
| 7    | Houndoom / Toxtricity         |    8 |   8.89% |  62.50% |
| 9    | Crobat / Porygon2             |    7 |   7.78% |  85.71% |
| 9    | Mimikyu / Toxtricity          |    7 |   7.78% |  71.43% |
| 9    | Crobat / Chesnaught           |    7 |   7.78% |  71.43% |
| 9    | Flygon / Houndoom             |    7 |   7.78% |  57.14% |
| 9    | Barbaracle / Toxtricity       |    7 |   7.78% |  57.14% |
| 9    | Zygarde-10% / Crobat          |    7 |   7.78% |  42.86% |
| 9    | Flygon / Metagross            |    7 |   7.78% |  42.86% |
| 9    | Zarude / Steelix              |    7 |   7.78% |  42.86% |
| 9    | Crobat / Raikou               |    7 |   7.78% |  42.86% |
| 9    | Crobat / Cobalion             |    7 |   7.78% |  28.57% |
| 19   | Crobat / Mimikyu              |    6 |   6.67% |  83.33% |
| 19   | Nidoqueen / Crobat            |    6 |   6.67% |  66.67% |
| 19   | Crobat / Registeel            |    6 |   6.67% |  50.00% |
| 19   | Cobalion / Houndoom           |    6 |   6.67% |  50.00% |
| 19   | Flygon / Mimikyu              |    6 |   6.67% |  50.00% |
| 19   | Seismitoad / Crobat           |    6 |   6.67% |  50.00% |
| 19   | Steelix / Milotic             |    6 |   6.67% |  50.00% |
| 19   | Milotic / Houndoom            |    6 |   6.67% |  33.33% |
| 19   | Crobat / Metagross            |    6 |   6.67% |  33.33% |
| 19   | Cobalion / Volcanion          |    6 |   6.67% |  33.33% |
| 19   | Chesnaught / Raikou           |    6 |   6.67% |  33.33% |
| 19   | Gardevoir / Houndoom          |    6 |   6.67% |  33.33% |
| 31   | Linoone / Houndoom            |    5 |   5.56% |  80.00% |
| 31   | Crobat / Sceptile             |    5 |   5.56% |  80.00% |
| 31   | Aerodactyl / Houndoom         |    5 |   5.56% |  80.00% |
| 31   | Cobalion / Gligar             |    5 |   5.56% |  60.00% |
| 31   | Toxtricity / Froslass         |    5 |   5.56% |  60.00% |
| 31   | Gardevoir / Barbaracle        |    5 |   5.56% |  60.00% |
| 31   | Crobat / Starmie              |    5 |   5.56% |  40.00% |
| 31   | Dhelmise / Metagross          |    5 |   5.56% |  40.00% |
| 31   | Crobat / Zarude-Dada          |    5 |   5.56% |  40.00% |
| 31   | Crobat / Volcanion            |    5 |   5.56% |  40.00% |
| 31   | Togekiss / Flygon             |    5 |   5.56% |  40.00% |
| 31   | Noivern / Cobalion            |    5 |   5.56% |  40.00% |
| 31   | Flygon / Barbaracle           |    5 |   5.56% |  40.00% |
| 44   | Zygarde-10% / Milotic         |    4 |   4.44% |  75.00% |
| 44   | Milotic / Sylveon             |    4 |   4.44% |  75.00% |
| 44   | Sceptile / Volcanion          |    4 |   4.44% |  75.00% |
| 44   | Crobat / Golurk               |    4 |   4.44% |  75.00% |
| 44   | Linoone / Toxtricity          |    4 |   4.44% |  75.00% |
| 44   | Nidoqueen / Sceptile          |    4 |   4.44% |  75.00% |
| 44   | Slurpuff / Shuckle            |    4 |   4.44% |  75.00% |
| 44   | Houndoom / Shuckle            |    4 |   4.44% |  75.00% |
| 44   | Slurpuff / Houndoom           |    4 |   4.44% |  75.00% |
| 44   | Porygon2 / Seismitoad         |    4 |   4.44% |  75.00% |
| 44   | Seismitoad / Chesnaught       |    4 |   4.44% |  75.00% |
| 44   | Toxtricity / Azelf            |    4 |   4.44% |  75.00% |
| 44   | Linoone / Barbaracle          |    4 |   4.44% |  75.00% |
| 44   | Gardevoir / Toxtricity        |    4 |   4.44% |  75.00% |
| 44   | Aerodactyl / Barbaracle       |    4 |   4.44% |  75.00% |
| 44   | Zarude / Milotic              |    4 |   4.44% |  50.00% |
| 44   | Crobat / Sylveon              |    4 |   4.44% |  50.00% |
| 44   | Zarude / Noivern              |    4 |   4.44% |  50.00% |
| 44   | Gligar / Houndoom             |    4 |   4.44% |  50.00% |
| 44   | Dhelmise / Flygon             |    4 |   4.44% |  50.00% |
| 44   | Steelix / Raikou              |    4 |   4.44% |  50.00% |
| 44   | Flygon / Froslass             |    4 |   4.44% |  50.00% |
