+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Crobat                  |    6 |   6.67% |  66.67% |
| 1    | Nidoqueen               |    6 |   6.67% |  50.00% |
| 3    | Shuckle                 |    5 |   5.56% |  80.00% |
| 3    | Zarude                  |    5 |   5.56% |  60.00% |
| 3    | Froslass                |    5 |   5.56% |  60.00% |
| 3    | Metagross               |    5 |   5.56% |  20.00% |
| 7    | Cobalion                |    4 |   4.44% |  75.00% |
| 7    | Azelf                   |    4 |   4.44% |  75.00% |
| 7    | Aerodactyl              |    4 |   4.44% |  75.00% |
| 7    | Steelix                 |    4 |   4.44% |  50.00% |
| 11   | Seismitoad              |    3 |   3.33% |  66.67% |
| 11   | Registeel               |    3 |   3.33% |  33.33% |
| 11   | Milotic                 |    3 |   3.33% |   0.00% |
| 11   | Volcanion               |    3 |   3.33% |   0.00% |
| 11   | Starmie                 |    3 |   3.33% |   0.00% |
| 16   | Cresselia               |    2 |   2.22% |  50.00% |
| 16   | Gardevoir               |    2 |   2.22% |  50.00% |
| 16   | Golurk                  |    2 |   2.22% |  50.00% |
| 16   | Vaporeon                |    2 |   2.22% |  50.00% |
| 16   | Kabutops                |    2 |   2.22% |  50.00% |
| 21   | Rhyperior               |    1 |   1.11% | 100.00% |
| 21   | Dhelmise                |    1 |   1.11% | 100.00% |
| 21   | Dragalge                |    1 |   1.11% | 100.00% |
| 21   | Ninetales-Alola         |    1 |   1.11% | 100.00% |
| 21   | Zarude-Dada             |    1 |   1.11% | 100.00% |
| 21   | Blastoise               |    1 |   1.11% | 100.00% |
| 21   | Noivern                 |    1 |   1.11% | 100.00% |
| 21   | Chesnaught              |    1 |   1.11% | 100.00% |
| 21   | Gastrodon               |    1 |   1.11% |   0.00% |
| 21   | Gligar                  |    1 |   1.11% |   0.00% |
| 21   | Obstagoon               |    1 |   1.11% |   0.00% |
| 21   | Barraskewda             |    1 |   1.11% |   0.00% |
| 21   | Flygon                  |    1 |   1.11% |   0.00% |
| 21   | Raikou                  |    1 |   1.11% |   0.00% |
| 21   | Rotom-Mow               |    1 |   1.11% |   0.00% |
| 21   | Medicham                |    1 |   1.11% |   0.00% |
| 21   | Muk-Alola               |    1 |   1.11% |   0.00% |
