+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Crobat             |   38 |  42.22% |  50.00% |
| 2    | Houndoom           |   30 |  33.33% |  50.00% |
| 3    | Cobalion           |   23 |  25.56% |  39.13% |
| 4    | Steelix            |   19 |  21.11% |  47.37% |
| 5    | Milotic            |   18 |  20.00% |  55.56% |
| 5    | Flygon             |   18 |  20.00% |  55.56% |
| 7    | Toxtricity         |   17 |  18.89% |  64.71% |
| 8    | Mimikyu            |   16 |  17.78% |  75.00% |
| 8    | Metagross          |   16 |  17.78% |  37.50% |
| 10   | Zarude             |   15 |  16.67% |  46.67% |
| 11   | Raikou             |   13 |  14.44% |  23.08% |
| 12   | Barbaracle         |   12 |  13.33% |  66.67% |
| 12   | Gardevoir          |   12 |  13.33% |  41.67% |
| 12   | Volcanion          |   12 |  13.33% |  33.33% |
| 15   | Chesnaught         |   11 |  12.22% |  54.55% |
| 15   | Zygarde-10%        |   11 |  12.22% |  45.45% |
| 15   | Noivern            |   11 |  12.22% |  45.45% |
| 18   | Porygon2           |   10 |  11.11% |  80.00% |
| 19   | Sylveon            |    9 |  10.00% |  55.56% |
| 19   | Registeel          |    9 |  10.00% |  44.44% |
| 19   | Nidoqueen          |    9 |  10.00% |  44.44% |
| 19   | Zarude-Dada        |    9 |  10.00% |  22.22% |
| 23   | Aerodactyl         |    8 |   8.89% |  75.00% |
| 23   | Sceptile           |    8 |   8.89% |  75.00% |
| 23   | Togekiss           |    8 |   8.89% |  25.00% |
| 26   | Slurpuff           |    7 |   7.78% |  85.71% |
| 26   | Starmie            |    7 |   7.78% |  42.86% |
| 26   | Gligar             |    7 |   7.78% |  42.86% |
| 26   | Seismitoad         |    7 |   7.78% |  42.86% |
| 30   | Golurk             |    6 |   6.67% |  66.67% |
| 30   | Froslass           |    6 |   6.67% |  66.67% |
| 30   | Medicham           |    6 |   6.67% |  33.33% |
| 33   | Diancie            |    5 |   5.56% |  80.00% |
| 33   | Linoone            |    5 |   5.56% |  80.00% |
| 33   | Shuckle            |    5 |   5.56% |  80.00% |
| 33   | Azelf              |    5 |   5.56% |  60.00% |
| 33   | Dhelmise           |    5 |   5.56% |  40.00% |
| 33   | Umbreon            |    5 |   5.56% |  40.00% |
| 33   | Salazzle           |    5 |   5.56% |  20.00% |
