+ ---- + ------------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2                          | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------ + ---- + ------- + ------- +
| 1    | Arceus-* / Groudon                   |   47 |  78.33% |  46.81% |
| 2    | Arceus-Ground / Groudon              |   28 |  46.67% |  53.57% |
| 2    | Arceus-* / Necrozma-Dusk-Mane        |   28 |  46.67% |  42.86% |
| 4    | Necrozma-Dusk-Mane / Groudon         |   26 |  43.33% |  38.46% |
| 5    | Arceus-* / Ho-Oh                     |   24 |  40.00% |  58.33% |
| 5    | Arceus-* / Yveltal                   |   24 |  40.00% |  45.83% |
| 5    | Groudon / Yveltal                    |   24 |  40.00% |  41.67% |
| 8    | Groudon / Xerneas-*                  |   21 |  35.00% |  61.90% |
| 8    | Groudon / Ho-Oh                      |   21 |  35.00% |  52.38% |
| 10   | Arceus-* / Eternatus                 |   20 |  33.33% |  60.00% |
| 11   | Arceus-* / Xerneas-*                 |   19 |  31.67% |  57.89% |
| 11   | Groudon / Eternatus                  |   19 |  31.67% |  52.63% |
| 13   | Arceus-Ground / Yveltal              |   15 |  25.00% |  46.67% |
| 13   | Necrozma-Dusk-Mane / Yveltal         |   15 |  25.00% |  26.67% |
| 15   | Arceus-Ground / Ho-Oh                |   14 |  23.33% |  71.43% |
| 15   | Arceus-* / Marshadow                 |   14 |  23.33% |  50.00% |
| 17   | Groudon / Marshadow                  |   13 |  21.67% |  46.15% |
| 17   | Necrozma-Dusk-Mane / Arceus-Ground   |   13 |  21.67% |  30.77% |
| 19   | Arceus-Ground / Xerneas-*            |   12 |  20.00% |  58.33% |
| 19   | Necrozma-Dusk-Mane / Eternatus       |   12 |  20.00% |  41.67% |
| 19   | Groudon / Zygarde                    |   12 |  20.00% |  25.00% |
| 19   | Arceus-* / Zygarde                   |   12 |  20.00% |  25.00% |
| 23   | Necrozma-Dusk-Mane / Xerneas-*       |   11 |  18.33% |  54.55% |
| 23   | Yveltal / Eternatus                  |   11 |  18.33% |  45.45% |
| 25   | Arceus-Ground / Eternatus            |   10 |  16.67% |  50.00% |
| 25   | Groudon / Salamence                  |   10 |  16.67% |  40.00% |
| 25   | Arceus-* / Salamence                 |   10 |  16.67% |  40.00% |
| 28   | Groudon / Magearna                   |    9 |  15.00% |  55.56% |
| 28   | Arceus-* / Magearna                  |    9 |  15.00% |  55.56% |
| 28   | Necrozma-Dusk-Mane / Ho-Oh           |    9 |  15.00% |  55.56% |
| 28   | Zygarde / Ho-Oh                      |    9 |  15.00% |  33.33% |
| 28   | Arceus-Water / Ho-Oh                 |    9 |  15.00% |  33.33% |
| 33   | Xerneas-* / Eternatus                |    8 |  13.33% |  62.50% |
| 33   | Arceus-Ground / Marshadow            |    8 |  13.33% |  62.50% |
| 33   | Arceus-* / Kyogre                    |    8 |  13.33% |  37.50% |
| 33   | Arceus-Water / Groudon               |    8 |  13.33% |  25.00% |
| 33   | Kyogre / Groudon                     |    8 |  13.33% |  12.50% |
| 38   | Arceus-Ground / Magearna             |    7 |  11.67% |  71.43% |
| 38   | Xerneas-* / Ho-Oh                    |    7 |  11.67% |  57.14% |
| 38   | Yveltal / Ho-Oh                      |    7 |  11.67% |  57.14% |
| 38   | Arceus-* / Ferrothorn                |    7 |  11.67% |  57.14% |
| 38   | Kyogre / Yveltal                     |    7 |  11.67% |  42.86% |
| 38   | Necrozma-Dusk-Mane / Salamence       |    7 |  11.67% |  42.86% |
| 38   | Marshadow / Ho-Oh                    |    7 |  11.67% |  28.57% |
| 45   | Magearna / Ho-Oh                     |    6 |  10.00% |  66.67% |
| 45   | Yveltal / Magearna                   |    6 |  10.00% |  66.67% |
| 45   | Eternatus / Ho-Oh                    |    6 |  10.00% |  66.67% |
| 45   | Kyogre / Eternatus                   |    6 |  10.00% |  50.00% |
| 45   | Yveltal / Xerneas-*                  |    6 |  10.00% |  50.00% |
| 45   | Yveltal / Marshadow                  |    6 |  10.00% |  50.00% |
| 45   | Arceus-Water / Necrozma-Dusk-Mane    |    6 |  10.00% |  50.00% |
| 45   | Groudon / Ferrothorn                 |    6 |  10.00% |  50.00% |
| 45   | Arceus-Ground / Zygarde              |    6 |  10.00% |  33.33% |
| 45   | Kyogre / Necrozma-Dusk-Mane          |    6 |  10.00% |  16.67% |
| 45   | Arceus-Fairy / Groudon               |    6 |  10.00% |  16.67% |
| 56   | Xerneas-* / Deoxys-Speed             |    5 |   8.33% |  80.00% |
| 56   | Eternatus / Marshadow                |    5 |   8.33% |  80.00% |
| 56   | Salamence / Xerneas-*                |    5 |   8.33% |  60.00% |
| 56   | Lunala / Arceus-*                    |    5 |   8.33% |  40.00% |
| 56   | Xerneas-* / Zygarde                  |    5 |   8.33% |  40.00% |
| 56   | Arceus-Ground / Salamence            |    5 |   8.33% |  40.00% |
