+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Arceus-Ground           |   12 |  20.00% |  58.33% |
| 2    | Groudon                 |    8 |  13.33% |  50.00% |
| 3    | Yveltal                 |    5 |   8.33% |  40.00% |
| 4    | Sableye                 |    4 |   6.67% |  75.00% |
| 4    | Zygarde                 |    4 |   6.67% |   0.00% |
| 6    | Deoxys-Speed            |    3 |   5.00% | 100.00% |
| 6    | Excadrill               |    3 |   5.00% |  66.67% |
| 6    | Arceus-Water            |    3 |   5.00% |   0.00% |
| 9    | Shuckle                 |    2 |   3.33% |  50.00% |
| 9    | Giratina-Origin         |    2 |   3.33% |  50.00% |
| 9    | Smeargle                |    2 |   3.33% |  50.00% |
| 9    | Kyogre                  |    2 |   3.33% |   0.00% |
| 9    | Eternatus               |    2 |   3.33% |   0.00% |
| 9    | Arceus-Fairy            |    2 |   3.33% |   0.00% |
| 15   | Toxapex                 |    1 |   1.67% | 100.00% |
| 15   | Donphan                 |    1 |   1.67% | 100.00% |
| 15   | Ditto                   |    1 |   1.67% | 100.00% |
| 15   | Ho-Oh                   |    1 |   1.67% | 100.00% |
| 15   | Palkia                  |    1 |   1.67% | 100.00% |
| 15   | Necrozma-Dusk-Mane      |    1 |   1.67% | 100.00% |
