+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| -    | Arceus-*           |   54 |  90.00% |  50.00% |
| 1    | Groudon            |   51 |  85.00% |  47.06% |
| 2    | Arceus-Ground      |   31 |  51.67% |  51.61% |
| 2    | Necrozma-Dusk-Mane |   31 |  51.67% |  45.16% |
| 4    | Yveltal            |   27 |  45.00% |  44.44% |
| 5    | Ho-Oh              |   24 |  40.00% |  58.33% |
| 6    | Xerneas-*          |   23 |  38.33% |  60.87% |
| 7    | Eternatus          |   22 |  36.67% |  59.09% |
| 8    | Marshadow          |   14 |  23.33% |  50.00% |
| 9    | Zygarde            |   13 |  21.67% |  30.77% |
| 10   | Salamence          |   10 |  16.67% |  40.00% |
| 10   | Kyogre             |   10 |  16.67% |  30.00% |
| 12   | Magearna           |    9 |  15.00% |  55.56% |
| 12   | Arceus-Water       |    9 |  15.00% |  33.33% |
| 14   | Ferrothorn         |    7 |  11.67% |  57.14% |
| 14   | Arceus-Fairy       |    7 |  11.67% |  28.57% |
| 16   | Lunala             |    6 |  10.00% |  50.00% |
| 17   | Ditto              |    5 |   8.33% |  80.00% |
| 17   | Deoxys-Speed       |    5 |   8.33% |  80.00% |
| 17   | Mewtwo             |    5 |   8.33% |  60.00% |
| 20   | Arceus             |    4 |   6.67% |  75.00% |
| 20   | Sableye            |    4 |   6.67% |  75.00% |
| 20   | Giratina-Origin    |    4 |   6.67% |  50.00% |
| 23   | Excadrill          |    3 |   5.00% |  66.67% |
| 23   | Toxapex            |    3 |   5.00% |  33.33% |
| 25   | Lugia              |    2 |   3.33% | 100.00% |
| 25   | Shuckle            |    2 |   3.33% |  50.00% |
| 25   | Chansey            |    2 |   3.33% |  50.00% |
| 25   | Giratina           |    2 |   3.33% |  50.00% |
| 25   | Dialga             |    2 |   3.33% |  50.00% |
| 25   | Smeargle           |    2 |   3.33% |  50.00% |
| 25   | Skarmory           |    2 |   3.33% |   0.00% |
| 25   | Blissey            |    2 |   3.33% |   0.00% |
| 25   | Tyranitar          |    2 |   3.33% |   0.00% |
| 34   | Magnezone          |    1 |   1.67% | 100.00% |
| 34   | Donphan            |    1 |   1.67% | 100.00% |
| 34   | Arceus-Poison      |    1 |   1.67% | 100.00% |
| 34   | Tapu Lele          |    1 |   1.67% | 100.00% |
| 34   | Arceus-Flying      |    1 |   1.67% | 100.00% |
| 34   | Calyrex-Ice        |    1 |   1.67% | 100.00% |
| 34   | Palkia             |    1 |   1.67% | 100.00% |
| 34   | Celesteela         |    1 |   1.67% | 100.00% |
| 34   | Greninja-*         |    1 |   1.67% |   0.00% |
| 34   | Lucario            |    1 |   1.67% |   0.00% |
| 34   | Blaziken           |    1 |   1.67% |   0.00% |
| 34   | Diancie            |    1 |   1.67% |   0.00% |
| 34   | Weavile            |    1 |   1.67% |   0.00% |
| 34   | Rayquaza           |    1 |   1.67% |   0.00% |
