+ ---- + ---------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                  | Use  | Usage % |  Win %  |
+ ---- + ---------------------------- + ---- + ------- + ------- +
| 1    | Zeraora / Salamence          |   16 |  16.00% |  56.25% |
| 2    | Aegislash / Salamence        |   14 |  14.00% |  78.57% |
| 2    | Salamence / Swampert         |   14 |  14.00% |  57.14% |
| 4    | Salamence / Celesteela       |   12 |  12.00% |  66.67% |
| 4    | Nihilego / Salamence         |   12 |  12.00% |  58.33% |
| 6    | Aegislash / Swampert         |   10 |  10.00% |  90.00% |
| 6    | Aegislash / Zeraora          |   10 |  10.00% |  80.00% |
| 6    | Zeraora / Swampert           |   10 |  10.00% |  60.00% |
| 6    | Urshifu / Salamence          |   10 |  10.00% |  60.00% |
| 6    | Amoonguss / Zeraora          |   10 |  10.00% |  30.00% |
| 11   | Sharpedo / Celesteela        |    9 |   9.00% |  66.67% |
| 11   | Mienshao / Salamence         |    9 |   9.00% |  33.33% |
| 13   | Urshifu / Swampert           |    8 |   8.00% |  50.00% |
| 13   | Salamence / Bisharp          |    8 |   8.00% |  50.00% |
| 13   | Zeraora / Rotom-Wash         |    8 |   8.00% |  50.00% |
| 13   | Celesteela / Azelf           |    8 |   8.00% |  37.50% |
| 13   | Scizor / Salamence           |    8 |   8.00% |  37.50% |
| 18   | Manectric / Weezing-Galar    |    7 |   7.00% | 100.00% |
| 18   | Nihilego / Celesteela        |    7 |   7.00% |  85.71% |
| 18   | Sharpedo / Salamence         |    7 |   7.00% |  85.71% |
| 18   | Manectric / Swampert         |    7 |   7.00% |  71.43% |
| 18   | Celesteela / Altaria         |    7 |   7.00% |  57.14% |
| 18   | Hippowdon / Slowking         |    7 |   7.00% |  57.14% |
| 18   | Salamence / Azelf            |    7 |   7.00% |  57.14% |
| 18   | Zeraora / Primarina          |    7 |   7.00% |  42.86% |
| 18   | Salamence / Primarina        |    7 |   7.00% |  42.86% |
| 18   | Necrozma / Celesteela        |    7 |   7.00% |  42.86% |
| 18   | Scizor / Azelf               |    7 |   7.00% |  28.57% |
| 18   | Celesteela / Rotom-Wash      |    7 |   7.00% |  28.57% |
| 18   | Amoonguss / Celesteela       |    7 |   7.00% |  28.57% |
| 18   | Zeraora / Moltres            |    7 |   7.00% |  28.57% |
| 32   | Urshifu / Aegislash          |    6 |   6.00% |  83.33% |
| 32   | Urshifu / Manectric          |    6 |   6.00% |  83.33% |
| 32   | Aegislash / Manectric        |    6 |   6.00% |  83.33% |
| 32   | Aegislash / Rotom-Wash       |    6 |   6.00% |  83.33% |
| 32   | Salamence / Rotom-Wash       |    6 |   6.00% |  83.33% |
| 32   | Salamence / Tapu Bulu        |    6 |   6.00% |  83.33% |
| 32   | Buzzwole / Zeraora           |    6 |   6.00% |  66.67% |
| 32   | Manectric / Salamence        |    6 |   6.00% |  66.67% |
| 32   | Salamence / Nidoking         |    6 |   6.00% |  66.67% |
| 32   | Roserade / Zeraora           |    6 |   6.00% |  50.00% |
| 32   | Nihilego / Bisharp           |    6 |   6.00% |  50.00% |
| 32   | Amoonguss / Moltres          |    6 |   6.00% |  50.00% |
| 32   | Scizor / Rotom-Wash          |    6 |   6.00% |  50.00% |
| 32   | Hippowdon / Rotom-Wash       |    6 |   6.00% |  50.00% |
| 32   | Amoonguss / Rotom-Wash       |    6 |   6.00% |  33.33% |
| 32   | Dragonite / Bisharp          |    6 |   6.00% |  33.33% |
| 32   | Moltres / Swampert           |    6 |   6.00% |  33.33% |
| 32   | Scizor / Moltres             |    6 |   6.00% |  16.67% |
| 32   | Scizor / Altaria             |    6 |   6.00% |  16.67% |
| 32   | Zeraora / Celesteela         |    6 |   6.00% |  16.67% |
| 32   | Zeraora / Scizor             |    6 |   6.00% |   0.00% |
| 32   | Scizor / Swampert            |    6 |   6.00% |   0.00% |
| 54   | Weezing-Galar / Swampert     |    5 |   5.00% | 100.00% |
| 54   | Nihilego / Sharpedo          |    5 |   5.00% |  80.00% |
