+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Rotom-Wash              |    7 |   7.00% |  71.43% |
| 1    | Azelf                   |    7 |   7.00% |  28.57% |
| 3    | Salamence               |    6 |   6.00% |  66.67% |
| 3    | Zeraora                 |    6 |   6.00% |  50.00% |
| 3    | Mienshao                |    6 |   6.00% |  16.67% |
| 6    | Swampert                |    5 |   5.00% |  80.00% |
| 7    | Urshifu                 |    4 |   4.00% |  50.00% |
| 8    | Tapu Bulu               |    3 |   3.00% |  66.67% |
| 8    | Primarina               |    3 |   3.00% |  33.33% |
| 8    | Ribombee                |    3 |   3.00% |  33.33% |
| 11   | Deoxys-Defense          |    2 |   2.00% | 100.00% |
| 11   | Manectric               |    2 |   2.00% | 100.00% |
| 11   | Nidoqueen               |    2 |   2.00% | 100.00% |
| 11   | Bisharp                 |    2 |   2.00% | 100.00% |
| 11   | Froslass                |    2 |   2.00% | 100.00% |
| 11   | Aggron                  |    2 |   2.00% |  50.00% |
| 11   | Slowking                |    2 |   2.00% |  50.00% |
| 11   | Scizor                  |    2 |   2.00% |  50.00% |
| 11   | Amoonguss               |    2 |   2.00% |  50.00% |
| 11   | Nidoking                |    2 |   2.00% |  50.00% |
| 11   | Pidgeot                 |    2 |   2.00% |  50.00% |
| 11   | Mamoswine               |    2 |   2.00% |  50.00% |
| 11   | Aegislash               |    2 |   2.00% |  50.00% |
| 11   | Nihilego                |    2 |   2.00% |  50.00% |
| 11   | Chandelure              |    2 |   2.00% |  50.00% |
| 11   | Hippowdon               |    2 |   2.00% |   0.00% |
| 11   | Slowbro-Galar           |    2 |   2.00% |   0.00% |
| 28   | Bronzong                |    1 |   1.00% | 100.00% |
| 28   | Beedrill                |    1 |   1.00% | 100.00% |
| 28   | Weezing-Galar           |    1 |   1.00% | 100.00% |
| 28   | Zarude                  |    1 |   1.00% | 100.00% |
| 28   | Aerodactyl              |    1 |   1.00% | 100.00% |
| 28   | Moltres                 |    1 |   1.00% |   0.00% |
| 28   | Alomomola               |    1 |   1.00% |   0.00% |
| 28   | Roserade                |    1 |   1.00% |   0.00% |
| 28   | Necrozma                |    1 |   1.00% |   0.00% |
| 28   | Absol                   |    1 |   1.00% |   0.00% |
| 28   | Tangrowth               |    1 |   1.00% |   0.00% |
| 28   | Volcanion               |    1 |   1.00% |   0.00% |
| 28   | Krookodile              |    1 |   1.00% |   0.00% |
| 28   | Sceptile                |    1 |   1.00% |   0.00% |
| 28   | Vanilluxe               |    1 |   1.00% |   0.00% |
| 28   | Rhyperior               |    1 |   1.00% |   0.00% |
