+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Salamence          |   45 |  45.00% |  60.00% |
| 2    | Zeraora            |   32 |  32.00% |  43.75% |
| 3    | Celesteela         |   28 |  28.00% |  57.14% |
| 4    | Swampert           |   23 |  23.00% |  56.52% |
| 4    | Scizor             |   23 |  23.00% |  34.78% |
| 6    | Aegislash          |   22 |  22.00% |  77.27% |
| 6    | Rotom-Wash         |   22 |  22.00% |  54.55% |
| 8    | Bisharp            |   20 |  20.00% |  50.00% |
| 8    | Nihilego           |   20 |  20.00% |  50.00% |
| 10   | Amoonguss          |   17 |  17.00% |  35.29% |
| 11   | Hippowdon          |   16 |  16.00% |  50.00% |
| 11   | Dragonite          |   16 |  16.00% |  43.75% |
| 11   | Mienshao           |   16 |  16.00% |  37.50% |
| 14   | Manectric          |   15 |  15.00% |  66.67% |
| 14   | Urshifu            |   15 |  15.00% |  53.33% |
| 14   | Slowking           |   15 |  15.00% |  53.33% |
| 17   | Altaria            |   14 |  14.00% |  35.71% |
| 17   | Moltres            |   14 |  14.00% |  28.57% |
| 19   | Azelf              |   13 |  13.00% |  38.46% |
| 19   | Primarina          |   13 |  13.00% |  30.77% |
| 21   | Sharpedo           |   10 |  10.00% |  70.00% |
| 21   | Mamoswine          |   10 |  10.00% |  40.00% |
| 23   | Nidoking           |    9 |   9.00% |  66.67% |
| 23   | Zarude             |    9 |   9.00% |  66.67% |
| 25   | Tapu Bulu          |    8 |   8.00% |  75.00% |
| 25   | Roserade           |    8 |   8.00% |  37.50% |
| 25   | Slowbro-Galar      |    8 |   8.00% |  37.50% |
| 28   | Weezing-Galar      |    7 |   7.00% | 100.00% |
| 28   | Buzzwole           |    7 |   7.00% |  57.14% |
| 28   | Krookodile         |    7 |   7.00% |  57.14% |
| 28   | Necrozma           |    7 |   7.00% |  42.86% |
| 28   | Skarmory           |    7 |   7.00% |  28.57% |
| 28   | Rhyperior          |    7 |   7.00% |  28.57% |
| 34   | Cobalion           |    6 |   6.00% |  50.00% |
| 35   | Pidgeot            |    5 |   5.00% |  60.00% |
| 35   | Nidoqueen          |    5 |   5.00% |  60.00% |
| 35   | Ribombee           |    5 |   5.00% |  20.00% |
| 38   | Hatterene          |    4 |   4.00% | 100.00% |
| 38   | Mandibuzz          |    4 |   4.00% |  75.00% |
| 38   | Chandelure         |    4 |   4.00% |  50.00% |
| 38   | Keldeo             |    4 |   4.00% |  25.00% |
| 42   | Terrakion          |    3 |   3.00% |  66.67% |
| 42   | Volcanion          |    3 |   3.00% |  66.67% |
| 42   | Aggron             |    3 |   3.00% |  33.33% |
| 42   | Alomomola          |    3 |   3.00% |  33.33% |
| 42   | Gligar             |    3 |   3.00% |  33.33% |
| 42   | Quagsire           |    3 |   3.00% |  33.33% |
| 42   | Diggersby          |    3 |   3.00% |  33.33% |
| 42   | Tangrowth          |    3 |   3.00% |   0.00% |
| 50   | Deoxys-Defense     |    2 |   2.00% | 100.00% |
| 50   | Beedrill           |    2 |   2.00% | 100.00% |
| 50   | Seismitoad         |    2 |   2.00% | 100.00% |
| 50   | Froslass           |    2 |   2.00% | 100.00% |
| 50   | Polteageist        |    2 |   2.00% | 100.00% |
| 50   | Bronzong           |    2 |   2.00% |  50.00% |
| 50   | Umbreon            |    2 |   2.00% |  50.00% |
| 50   | Silvally           |    2 |   2.00% |  50.00% |
| 50   | Houndoom           |    2 |   2.00% |  50.00% |
| 50   | Steelix            |    2 |   2.00% |   0.00% |
| 50   | Vanilluxe          |    2 |   2.00% |   0.00% |
| 61   | Dracozolt          |    1 |   1.00% | 100.00% |
| 61   | Aerodactyl         |    1 |   1.00% | 100.00% |
| 61   | Empoleon           |    1 |   1.00% |   0.00% |
| 61   | Sylveon            |    1 |   1.00% |   0.00% |
| 61   | Mimikyu            |    1 |   1.00% |   0.00% |
| 61   | Jellicent          |    1 |   1.00% |   0.00% |
| 61   | Mantine            |    1 |   1.00% |   0.00% |
| 61   | Magneton           |    1 |   1.00% |   0.00% |
| 61   | Absol              |    1 |   1.00% |   0.00% |
| 61   | Xatu               |    1 |   1.00% |   0.00% |
| 61   | Ninetales-Alola    |    1 |   1.00% |   0.00% |
| 61   | Arctozolt          |    1 |   1.00% |   0.00% |
| 61   | Sceptile           |    1 |   1.00% |   0.00% |
| 61   | Zarude-Dada        |    1 |   1.00% |   0.00% |
