+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Rillaboom          |    5 |  62.50% |  60.00% |
| 1    | Tapu Fini          |    5 |  62.50% |  40.00% |
| 1    | Landorus           |    5 |  62.50% |  20.00% |
| 4    | Mew                |    3 |  37.50% | 100.00% |
| 4    | Genesect           |    3 |  37.50% |  66.67% |
| 4    | Incineroar         |    3 |  37.50% |  66.67% |
| 4    | Urshifu            |    3 |  37.50% |  33.33% |
| 4    | Heatran            |    3 |  37.50% |  33.33% |
| 9    | Tyranitar          |    2 |  25.00% | 100.00% |
| 9    | Kyurem-Black       |    2 |  25.00% |  50.00% |
| 9    | Volcanion          |    2 |  25.00% |  50.00% |
| 9    | Whimsicott         |    2 |  25.00% |   0.00% |
| 13   | Dragapult          |    1 |  12.50% | 100.00% |
| 13   | Stakataka          |    1 |  12.50% | 100.00% |
| 13   | Porygon2           |    1 |  12.50% | 100.00% |
| 13   | Zapdos-Galar       |    1 |  12.50% | 100.00% |
| 13   | Dracozolt          |    1 |  12.50% | 100.00% |
| 13   | Zygarde            |    1 |  12.50% |   0.00% |
| 13   | Tapu Lele          |    1 |  12.50% |   0.00% |
| 13   | Tornadus           |    1 |  12.50% |   0.00% |
| 13   | Diancie            |    1 |  12.50% |   0.00% |
| 13   | Tsareena           |    1 |  12.50% |   0.00% |
