+ ---- + ---------------------- + ---- + ------- + ------- +
| Rank | Combos of 2            | Use  | Usage % |  Win %  |
+ ---- + ---------------------- + ---- + ------- + ------- +
| 1    | Mienfoo / Vullaby      |    6 |  75.00% |  50.00% |
| 2    | Trapinch / Vullaby     |    4 |  50.00% |  50.00% |
| 2    | Vullaby / Abra         |    4 |  50.00% |  50.00% |
| 2    | Pawniard / Vullaby     |    4 |  50.00% |  25.00% |
| 5    | Trapinch / Mienfoo     |    3 |  37.50% |  66.67% |
| 5    | Mienfoo / Foongus      |    3 |  37.50% |  66.67% |
| 5    | Trapinch / Foongus     |    3 |  37.50% |  66.67% |
| 5    | Vullaby / Foongus      |    3 |  37.50% |  66.67% |
| 5    | Vullaby / Omanyte      |    3 |  37.50% |  66.67% |
| 5    | Mienfoo / Pawniard     |    3 |  37.50% |  33.33% |
| 5    | Trapinch / Pawniard    |    3 |  37.50% |  33.33% |
| 12   | Pawniard / Foongus     |    2 |  25.00% |  50.00% |
| 12   | Abra / Grookey         |    2 |  25.00% |  50.00% |
| 12   | Abra / Omanyte         |    2 |  25.00% |  50.00% |
| 12   | Mienfoo / Abra         |    2 |  25.00% |  50.00% |
| 12   | Vullaby / Grookey      |    2 |  25.00% |  50.00% |
| 12   | Omanyte / Grookey      |    2 |  25.00% |  50.00% |
| 12   | Mienfoo / Omanyte      |    2 |  25.00% |  50.00% |
| 12   | Pawniard / Mareanie    |    2 |  25.00% |   0.00% |
| 12   | Mareanie / Vullaby     |    2 |  25.00% |   0.00% |
| 21   | Mienfoo / Staryu       |    1 |  12.50% | 100.00% |
| 21   | Trapinch / Staryu      |    1 |  12.50% | 100.00% |
| 21   | Pawniard / Staryu      |    1 |  12.50% | 100.00% |
| 21   | Staryu / Foongus       |    1 |  12.50% | 100.00% |
| 21   | Vullaby / Staryu       |    1 |  12.50% | 100.00% |
| 21   | Vullaby / Porygon      |    1 |  12.50% | 100.00% |
| 21   | Omanyte / Porygon      |    1 |  12.50% | 100.00% |
| 21   | Foongus / Porygon      |    1 |  12.50% | 100.00% |
| 21   | Trapinch / Porygon     |    1 |  12.50% | 100.00% |
| 21   | Mienfoo / Porygon      |    1 |  12.50% | 100.00% |
| 21   | Foongus / Omanyte      |    1 |  12.50% | 100.00% |
| 21   | Trapinch / Omanyte     |    1 |  12.50% | 100.00% |
| 21   | Mudbray / Vullaby      |    1 |  12.50% | 100.00% |
| 21   | Vullaby / Ferroseed    |    1 |  12.50% | 100.00% |
| 21   | Spritzee / Vullaby     |    1 |  12.50% | 100.00% |
| 21   | Mudbray / Mienfoo      |    1 |  12.50% | 100.00% |
| 21   | Mienfoo / Ferroseed    |    1 |  12.50% | 100.00% |
| 21   | Spritzee / Mienfoo     |    1 |  12.50% | 100.00% |
| 21   | Mudbray / Ferroseed    |    1 |  12.50% | 100.00% |
| 21   | Mudbray / Spritzee     |    1 |  12.50% | 100.00% |
| 21   | Mudbray / Abra         |    1 |  12.50% | 100.00% |
| 21   | Spritzee / Ferroseed   |    1 |  12.50% | 100.00% |
| 21   | Ferroseed / Abra       |    1 |  12.50% | 100.00% |
| 21   | Spritzee / Abra        |    1 |  12.50% | 100.00% |
| 21   | Dwebble / Vullaby      |    1 |  12.50% | 100.00% |
| 21   | Dwebble / Abra         |    1 |  12.50% | 100.00% |
| 21   | Ponyta-Galar / Dwebble |    1 |  12.50% | 100.00% |
| 21   | Dwebble / Grookey      |    1 |  12.50% | 100.00% |
| 21   | Dwebble / Omanyte      |    1 |  12.50% | 100.00% |
| 21   | Ponyta-Galar / Vullaby |    1 |  12.50% | 100.00% |
| 21   | Ponyta-Galar / Abra    |    1 |  12.50% | 100.00% |
| 21   | Ponyta-Galar / Grookey |    1 |  12.50% | 100.00% |
| 21   | Ponyta-Galar / Omanyte |    1 |  12.50% | 100.00% |
| 21   | Koffing / Abra         |    1 |  12.50% |   0.00% |
| 21   | Koffing / Vullaby      |    1 |  12.50% |   0.00% |
| 21   | Koffing / Grookey      |    1 |  12.50% |   0.00% |
| 21   | Mienfoo / Grookey      |    1 |  12.50% |   0.00% |
| 21   | Koffing / Omanyte      |    1 |  12.50% |   0.00% |
| 21   | Mienfoo / Koffing      |    1 |  12.50% |   0.00% |
| 21   | Timburr / Pawniard     |    1 |  12.50% |   0.00% |
| 21   | Pawniard / Abra        |    1 |  12.50% |   0.00% |
| 21   | Trapinch / Timburr     |    1 |  12.50% |   0.00% |
| 21   | Timburr / Mareanie     |    1 |  12.50% |   0.00% |
| 21   | Timburr / Abra         |    1 |  12.50% |   0.00% |
| 21   | Timburr / Vullaby      |    1 |  12.50% |   0.00% |
| 21   | Trapinch / Mareanie    |    1 |  12.50% |   0.00% |
| 21   | Trapinch / Abra        |    1 |  12.50% |   0.00% |
| 21   | Mareanie / Abra        |    1 |  12.50% |   0.00% |
| 21   | Magnemite / Foongus    |    1 |  12.50% |   0.00% |
| 21   | Vullaby / Magnemite    |    1 |  12.50% |   0.00% |
| 21   | Mienfoo / Magnemite    |    1 |  12.50% |   0.00% |
| 21   | Pawniard / Magnemite   |    1 |  12.50% |   0.00% |
| 21   | Trapinch / Magnemite   |    1 |  12.50% |   0.00% |
| 21   | Mienfoo / Mareanie     |    1 |  12.50% |   0.00% |
| 21   | Mienfoo / Diglett      |    1 |  12.50% |   0.00% |
| 21   | Mienfoo / Ponyta       |    1 |  12.50% |   0.00% |
| 21   | Diglett / Vullaby      |    1 |  12.50% |   0.00% |
| 21   | Vullaby / Ponyta       |    1 |  12.50% |   0.00% |
| 21   | Diglett / Mareanie     |    1 |  12.50% |   0.00% |
| 21   | Mareanie / Ponyta      |    1 |  12.50% |   0.00% |
| 21   | Diglett / Pawniard     |    1 |  12.50% |   0.00% |
| 21   | Diglett / Ponyta       |    1 |  12.50% |   0.00% |
| 21   | Pawniard / Ponyta      |    1 |  12.50% |   0.00% |

+ ---- + -------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                      | Use  | Usage % |  Win %  |
+ ---- + -------------------------------- + ---- + ------- + ------- +
| 1    | Trapinch / Mienfoo / Foongus     |    3 |  37.50% |  66.67% |
| 1    | Trapinch / Mienfoo / Vullaby     |    3 |  37.50% |  66.67% |
| 1    | Mienfoo / Vullaby / Foongus      |    3 |  37.50% |  66.67% |
| 1    | Trapinch / Vullaby / Foongus     |    3 |  37.50% |  66.67% |
| 1    | Mienfoo / Pawniard / Vullaby     |    3 |  37.50% |  33.33% |
| 1    | Trapinch / Pawniard / Vullaby    |    3 |  37.50% |  33.33% |
| 7    | Trapinch / Mienfoo / Pawniard    |    2 |  25.00% |  50.00% |
| 7    | Mienfoo / Pawniard / Foongus     |    2 |  25.00% |  50.00% |
| 7    | Trapinch / Pawniard / Foongus    |    2 |  25.00% |  50.00% |
