+ ---- + ------------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2                          | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------ + ---- + ------- + ------- +
| 1    | Klefki / Clefable                    |    3 |  37.50% |  33.33% |
| 1    | Tapu Bulu / Klefki                   |    3 |  37.50% |  33.33% |
| 1    | Klefki / Tapu Koko                   |    3 |  37.50% |  33.33% |
| 1    | Tapu Bulu / Clefable                 |    3 |  37.50% |  33.33% |
| 1    | Clefable / Tapu Koko                 |    3 |  37.50% |  33.33% |
| 1    | Tapu Bulu / Tapu Koko                |    3 |  37.50% |  33.33% |
| 7    | Tapu Fini / Tapu Bulu                |    2 |  25.00% |   0.00% |
| 7    | Tapu Fini / Klefki                   |    2 |  25.00% |   0.00% |
| 7    | Tapu Fini / Tapu Lele                |    2 |  25.00% |   0.00% |
| 7    | Tapu Fini / Clefable                 |    2 |  25.00% |   0.00% |
| 7    | Tapu Fini / Tapu Koko                |    2 |  25.00% |   0.00% |
| 7    | Tapu Bulu / Tapu Lele                |    2 |  25.00% |   0.00% |
| 7    | Klefki / Tapu Lele                   |    2 |  25.00% |   0.00% |
| 7    | Clefable / Tapu Lele                 |    2 |  25.00% |   0.00% |
| 7    | Tapu Lele / Tapu Koko                |    2 |  25.00% |   0.00% |
| 16   | Klefki / Azumarill                   |    1 |  12.50% | 100.00% |
| 16   | Klefki / Mimikyu                     |    1 |  12.50% | 100.00% |
| 16   | Clefable / Azumarill                 |    1 |  12.50% | 100.00% |
| 16   | Clefable / Mimikyu                   |    1 |  12.50% | 100.00% |
| 16   | Tapu Bulu / Azumarill                |    1 |  12.50% | 100.00% |
| 16   | Azumarill / Mimikyu                  |    1 |  12.50% | 100.00% |
| 16   | Azumarill / Tapu Koko                |    1 |  12.50% | 100.00% |
| 16   | Tapu Bulu / Mimikyu                  |    1 |  12.50% | 100.00% |
| 16   | Tapu Koko / Mimikyu                  |    1 |  12.50% | 100.00% |
| 16   | Thundurus-Therian / Celesteela       |    1 |  12.50% | 100.00% |
| 16   | Landorus-Therian / Thundurus-Therian |    1 |  12.50% | 100.00% |
| 16   | Skarmory / Thundurus-Therian         |    1 |  12.50% | 100.00% |
| 16   | Dragonite / Thundurus-Therian        |    1 |  12.50% | 100.00% |
| 16   | Thundurus-Therian / Tornadus-Therian |    1 |  12.50% | 100.00% |
| 16   | Landorus-Therian / Celesteela        |    1 |  12.50% | 100.00% |
| 16   | Skarmory / Celesteela                |    1 |  12.50% | 100.00% |
| 16   | Dragonite / Celesteela               |    1 |  12.50% | 100.00% |
| 16   | Tornadus-Therian / Celesteela        |    1 |  12.50% | 100.00% |
| 16   | Landorus-Therian / Skarmory          |    1 |  12.50% | 100.00% |
| 16   | Landorus-Therian / Dragonite         |    1 |  12.50% | 100.00% |
| 16   | Landorus-Therian / Tornadus-Therian  |    1 |  12.50% | 100.00% |
| 16   | Skarmory / Dragonite                 |    1 |  12.50% | 100.00% |
| 16   | Skarmory / Tornadus-Therian          |    1 |  12.50% | 100.00% |
| 16   | Dragonite / Tornadus-Therian         |    1 |  12.50% | 100.00% |
| 16   | Hydreigon / Garchomp                 |    1 |  12.50% | 100.00% |
| 16   | Kyurem / Garchomp                    |    1 |  12.50% | 100.00% |
| 16   | Dragalge / Garchomp                  |    1 |  12.50% | 100.00% |
| 16   | Garchomp / Dragapult                 |    1 |  12.50% | 100.00% |
| 16   | Garchomp / Latias                    |    1 |  12.50% | 100.00% |
| 16   | Kyurem / Hydreigon                   |    1 |  12.50% | 100.00% |
| 16   | Dragalge / Hydreigon                 |    1 |  12.50% | 100.00% |
| 16   | Hydreigon / Dragapult                |    1 |  12.50% | 100.00% |
| 16   | Hydreigon / Latias                   |    1 |  12.50% | 100.00% |
| 16   | Kyurem / Dragalge                    |    1 |  12.50% | 100.00% |
| 16   | Kyurem / Dragapult                   |    1 |  12.50% | 100.00% |
| 16   | Kyurem / Latias                      |    1 |  12.50% | 100.00% |
| 16   | Dragalge / Dragapult                 |    1 |  12.50% | 100.00% |
| 16   | Dragalge / Latias                    |    1 |  12.50% | 100.00% |
| 16   | Latias / Dragapult                   |    1 |  12.50% | 100.00% |
