+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Combos of 2             | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Kingdra / Salazzle      |    3 |  37.50% |  66.67% |
| 1    | Decidueye / Salazzle    |    3 |  37.50% |  66.67% |
| 1    | Decidueye / Silvally    |    3 |  37.50% |  66.67% |
| 1    | Kingdra / Decidueye     |    3 |  37.50% |  66.67% |
| 5    | Silvally / Tyrantrum    |    2 |  25.00% | 100.00% |
| 5    | Decidueye / Tyrantrum   |    2 |  25.00% | 100.00% |
| 5    | Salazzle / Aerodactyl   |    2 |  25.00% |  50.00% |
| 5    | Silvally / Aerodactyl   |    2 |  25.00% |  50.00% |
| 5    | Kingdra / Aerodactyl    |    2 |  25.00% |  50.00% |
| 5    | Decidueye / Aerodactyl  |    2 |  25.00% |  50.00% |
| 5    | Salazzle / Silvally     |    2 |  25.00% |  50.00% |
| 5    | Kingdra / Silvally      |    2 |  25.00% |  50.00% |
| 5    | Rotom-Mow / Mudsdale    |    2 |  25.00% |  50.00% |
| 5    | Talonflame / Stakataka  |    2 |  25.00% |   0.00% |
| 15   | Aerodactyl / Tyrantrum  |    1 |  12.50% | 100.00% |
| 15   | Salazzle / Tyrantrum    |    1 |  12.50% | 100.00% |
| 15   | Kingdra / Tyrantrum     |    1 |  12.50% | 100.00% |
| 15   | Gallade / Salazzle      |    1 |  12.50% | 100.00% |
| 15   | Gallade / Mudsdale      |    1 |  12.50% | 100.00% |
| 15   | Gallade / Rotom-Mow     |    1 |  12.50% | 100.00% |
| 15   | Gallade / Vaporeon      |    1 |  12.50% | 100.00% |
| 15   | Gallade / Escavalier    |    1 |  12.50% | 100.00% |
| 15   | Salazzle / Mudsdale     |    1 |  12.50% | 100.00% |
| 15   | Salazzle / Rotom-Mow    |    1 |  12.50% | 100.00% |
| 15   | Vaporeon / Salazzle     |    1 |  12.50% | 100.00% |
| 15   | Salazzle / Escavalier   |    1 |  12.50% | 100.00% |
| 15   | Vaporeon / Mudsdale     |    1 |  12.50% | 100.00% |
| 15   | Mudsdale / Escavalier   |    1 |  12.50% | 100.00% |
| 15   | Vaporeon / Rotom-Mow    |    1 |  12.50% | 100.00% |
| 15   | Rotom-Mow / Escavalier  |    1 |  12.50% | 100.00% |
| 15   | Vaporeon / Escavalier   |    1 |  12.50% | 100.00% |
| 15   | Kingdra / Aurorus       |    1 |  12.50% | 100.00% |
| 15   | Salazzle / Aurorus      |    1 |  12.50% | 100.00% |
| 15   | Decidueye / Aurorus     |    1 |  12.50% | 100.00% |
| 15   | Aurorus / Starmie       |    1 |  12.50% | 100.00% |
| 15   | Aurorus / Stakataka     |    1 |  12.50% | 100.00% |
| 15   | Kingdra / Starmie       |    1 |  12.50% | 100.00% |
| 15   | Kingdra / Stakataka     |    1 |  12.50% | 100.00% |
| 15   | Salazzle / Starmie      |    1 |  12.50% | 100.00% |
| 15   | Salazzle / Stakataka    |    1 |  12.50% | 100.00% |
| 15   | Decidueye / Starmie     |    1 |  12.50% | 100.00% |
| 15   | Decidueye / Stakataka   |    1 |  12.50% | 100.00% |
| 15   | Stakataka / Starmie     |    1 |  12.50% | 100.00% |
