+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Salazzle           |    4 |  50.00% |  75.00% |
| 1    | Decidueye          |    4 |  50.00% |  75.00% |
| 1    | Silvally           |    4 |  50.00% |  50.00% |
| 4    | Kingdra            |    3 |  37.50% |  66.67% |
| 4    | Stakataka          |    3 |  37.50% |  33.33% |
| 4    | Talonflame         |    3 |  37.50% |   0.00% |
| 7    | Tyrantrum          |    2 |  25.00% | 100.00% |
| 7    | Aerodactyl         |    2 |  25.00% |  50.00% |
| 7    | Vaporeon           |    2 |  25.00% |  50.00% |
| 7    | Mudsdale           |    2 |  25.00% |  50.00% |
| 7    | Rotom-Mow          |    2 |  25.00% |  50.00% |
| 7    | Starmie            |    2 |  25.00% |  50.00% |
| 7    | Drapion            |    2 |  25.00% |  50.00% |
| 7    | Xatu               |    2 |  25.00% |   0.00% |
| 15   | Gallade            |    1 |  12.50% | 100.00% |
| 15   | Escavalier         |    1 |  12.50% | 100.00% |
| 15   | Aurorus            |    1 |  12.50% | 100.00% |
| 15   | Froslass           |    1 |  12.50% | 100.00% |
| 15   | Braviary           |    1 |  12.50% | 100.00% |
| 15   | Snorlax            |    1 |  12.50% |   0.00% |
| 15   | Vileplume          |    1 |  12.50% |   0.00% |
| 15   | Sylveon            |    1 |  12.50% |   0.00% |
| 15   | Copperajah         |    1 |  12.50% |   0.00% |
| 15   | Gastrodon          |    1 |  12.50% |   0.00% |
| 15   | Dhelmise           |    1 |  12.50% |   0.00% |
