+ ---- + ----------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                         | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------- + ---- + ------- + ------- +
| 1    | Clefable / Tornadus-Therian         |    8 |  26.67% |  50.00% |
| 2    | Heatran / Tornadus-Therian          |    6 |  20.00% |  50.00% |
| 2    | Landorus-Therian / Heatran          |    6 |  20.00% |  16.67% |
| 4    | Landorus-Therian / Dragapult        |    5 |  16.67% |  80.00% |
| 4    | Tyranitar / Excadrill               |    5 |  16.67% |  60.00% |
| 4    | Slowking / Tornadus-Therian         |    5 |  16.67% |  60.00% |
| 4    | Clefable / Heatran                  |    5 |  16.67% |  40.00% |
| 4    | Clefable / Gastrodon                |    5 |  16.67% |  40.00% |
| 4    | Landorus-Therian / Tornadus-Therian |    5 |  16.67% |  40.00% |
| 4    | Melmetal / Tornadus-Therian         |    5 |  16.67% |  40.00% |
| 4    | Garchomp / Tornadus-Therian         |    5 |  16.67% |  40.00% |
| 12   | Slowking-Galar / Urshifu            |    4 |  13.33% |  75.00% |
| 12   | Tyranitar / Tornadus-Therian        |    4 |  13.33% |  50.00% |
| 12   | Excadrill / Tornadus-Therian        |    4 |  13.33% |  50.00% |
| 12   | Buzzwole / Slowking                 |    4 |  13.33% |  50.00% |
| 12   | Kartana / Landorus-Therian          |    4 |  13.33% |  50.00% |
| 12   | Garchomp / Weavile                  |    4 |  13.33% |  50.00% |
| 12   | Melmetal / Landorus-Therian         |    4 |  13.33% |  50.00% |
| 12   | Ferrothorn / Tornadus-Therian       |    4 |  13.33% |  25.00% |
| 12   | Tapu Koko / Heatran                 |    4 |  13.33% |  25.00% |
| 12   | Skarmory / Heatran                  |    4 |  13.33% |  25.00% |
| 12   | Gastrodon / Heatran                 |    4 |  13.33% |  25.00% |
| 12   | Clefable / Skarmory                 |    4 |  13.33% |  25.00% |
| 12   | Gastrodon / Skarmory                |    4 |  13.33% |  25.00% |
| 12   | Slowbro / Tornadus-Therian          |    4 |  13.33% |   0.00% |
| 12   | Landorus-Therian / Slowbro          |    4 |  13.33% |   0.00% |
| 12   | Landorus-Therian / Weavile          |    4 |  13.33% |   0.00% |
| 28   | Ferrothorn / Urshifu                |    3 |  10.00% | 100.00% |
| 28   | Zapdos / Ferrothorn                 |    3 |  10.00% | 100.00% |
| 28   | Tyranitar / Ferrothorn              |    3 |  10.00% |  66.67% |
| 28   | Excadrill / Ferrothorn              |    3 |  10.00% |  66.67% |
| 28   | Buzzwole / Tyranitar                |    3 |  10.00% |  66.67% |
| 28   | Tyranitar / Slowking                |    3 |  10.00% |  66.67% |
| 28   | Buzzwole / Excadrill                |    3 |  10.00% |  66.67% |
| 28   | Excadrill / Slowking                |    3 |  10.00% |  66.67% |
| 28   | Buzzwole / Tornadus-Therian         |    3 |  10.00% |  66.67% |
| 28   | Landorus-Therian / Toxapex          |    3 |  10.00% |  66.67% |
| 28   | Landorus-Therian / Slowking-Galar   |    3 |  10.00% |  66.67% |
| 28   | Landorus-Therian / Urshifu          |    3 |  10.00% |  66.67% |
| 28   | Corviknight / Toxapex               |    3 |  10.00% |  66.67% |
| 28   | Clefable / Toxapex                  |    3 |  10.00% |  66.67% |
| 28   | Dragapult / Tornadus-Therian        |    3 |  10.00% |  66.67% |
| 28   | Landorus-Therian / Ferrothorn       |    3 |  10.00% |  66.67% |
| 28   | Clefable / Garchomp                 |    3 |  10.00% |  66.67% |
| 28   | Weavile / Urshifu                   |    3 |  10.00% |  66.67% |
| 28   | Nidoking / Tornadus-Therian         |    3 |  10.00% |  33.33% |
| 28   | Nidoking / Tyranitar                |    3 |  10.00% |  33.33% |
| 28   | Nidoking / Excadrill                |    3 |  10.00% |  33.33% |
| 28   | Clefable / Tapu Koko                |    3 |  10.00% |  33.33% |
| 28   | Skarmory / Tornadus-Therian         |    3 |  10.00% |  33.33% |
| 28   | Gastrodon / Tornadus-Therian        |    3 |  10.00% |  33.33% |
| 28   | Skarmory / Tapu Koko                |    3 |  10.00% |  33.33% |
| 28   | Gastrodon / Tapu Koko               |    3 |  10.00% |  33.33% |
| 28   | Kartana / Heatran                   |    3 |  10.00% |  33.33% |
| 28   | Melmetal / Garchomp                 |    3 |  10.00% |  33.33% |
| 28   | Toxapex / Slowking                  |    3 |  10.00% |  33.33% |
| 28   | Heatran / Dragapult                 |    3 |  10.00% |  33.33% |
| 28   | Weavile / Ferrothorn                |    3 |  10.00% |  33.33% |
| 28   | Slowbro / Heatran                   |    3 |  10.00% |   0.00% |
| 28   | Weavile / Tornadus-Therian          |    3 |  10.00% |   0.00% |
| 28   | Buzzwole / Heatran                  |    3 |  10.00% |   0.00% |
| 28   | Buzzwole / Landorus-Therian         |    3 |  10.00% |   0.00% |
| 28   | Weavile / Heatran                   |    3 |  10.00% |   0.00% |
| 64   | Zapdos / Urshifu                    |    2 |   6.67% | 100.00% |
| 64   | Tapu Lele / Urshifu                 |    2 |   6.67% | 100.00% |
| 64   | Toxapex / Dragapult                 |    2 |   6.67% | 100.00% |
| 64   | Melmetal / Clefable                 |    2 |   6.67% | 100.00% |
| 64   | Slowking-Galar / Ferrothorn         |    2 |   6.67% | 100.00% |
| 64   | Clefable / Dragonite                |    2 |   6.67% | 100.00% |
| 64   | Melmetal / Dragonite                |    2 |   6.67% | 100.00% |
| 64   | Garchomp / Urshifu                  |    2 |   6.67% | 100.00% |
| 64   | Tapu Koko / Tornadus-Therian        |    2 |   6.67% |  50.00% |
| 64   | Nidoking / Buzzwole                 |    2 |   6.67% |  50.00% |
| 64   | Nidoking / Slowking                 |    2 |   6.67% |  50.00% |
| 64   | Mandibuzz / Tapu Koko               |    2 |   6.67% |  50.00% |
| 64   | Mandibuzz / Landorus-Therian        |    2 |   6.67% |  50.00% |
| 64   | Landorus-Therian / Tapu Koko        |    2 |   6.67% |  50.00% |
| 64   | Toxapex / Tornadus-Therian          |    2 |   6.67% |  50.00% |
| 64   | Corviknight / Clefable              |    2 |   6.67% |  50.00% |
| 64   | Corviknight / Slowking              |    2 |   6.67% |  50.00% |
| 64   | Clefable / Slowking                 |    2 |   6.67% |  50.00% |
| 64   | Clefable / Dragapult                |    2 |   6.67% |  50.00% |
| 64   | Tapu Koko / Slowking-Galar          |    2 |   6.67% |  50.00% |
| 64   | Heatran / Slowking                  |    2 |   6.67% |  50.00% |
| 64   | Landorus-Therian / Slowking         |    2 |   6.67% |  50.00% |
| 64   | Magnezone / Tornadus-Therian        |    2 |   6.67% |  50.00% |
| 64   | Melmetal / Magnezone                |    2 |   6.67% |  50.00% |
| 64   | Kartana / Dragapult                 |    2 |   6.67% |  50.00% |
| 64   | Rillaboom / Tornadus-Therian        |    2 |   6.67% |  50.00% |
| 64   | Rillaboom / Garchomp                |    2 |   6.67% |  50.00% |
| 64   | Weavile / Slowking-Galar            |    2 |   6.67% |  50.00% |
| 64   | Garchomp / Ferrothorn               |    2 |   6.67% |  50.00% |
| 64   | Landorus-Therian / Tapu Lele        |    2 |   6.67% |  50.00% |
| 64   | Melmetal / Tapu Lele                |    2 |   6.67% |  50.00% |
| 64   | Slowbro / Ferrothorn                |    2 |   6.67% |   0.00% |
| 64   | Kartana / Slowbro                   |    2 |   6.67% |   0.00% |
| 64   | Slowbro / Weavile                   |    2 |   6.67% |   0.00% |
| 64   | Melmetal / Slowbro                  |    2 |   6.67% |   0.00% |
| 64   | Slowbro / Garchomp                  |    2 |   6.67% |   0.00% |
| 64   | Heatran / Slowking-Galar            |    2 |   6.67% |   0.00% |
| 64   | Buzzwole / Weavile                  |    2 |   6.67% |   0.00% |
| 102  | Tyranitar / Urshifu                 |    1 |   3.33% | 100.00% |
