+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Tornadus-Therian        |    8 |  26.67% |  37.50% |
| 2    | Toxapex                 |    2 |   6.67% | 100.00% |
| 2    | Dragapult               |    2 |   6.67% | 100.00% |
| 2    | Urshifu                 |    2 |   6.67% |  50.00% |
| 2    | Tapu Koko               |    2 |   6.67% |  50.00% |
| 2    | Melmetal                |    2 |   6.67% |  50.00% |
| 2    | Slowbro                 |    2 |   6.67% |   0.00% |
| 8    | Tyranitar               |    1 |   3.33% | 100.00% |
| 8    | Magnezone               |    1 |   3.33% | 100.00% |
| 8    | Zapdos                  |    1 |   3.33% | 100.00% |
| 8    | Rotom-Wash              |    1 |   3.33% | 100.00% |
| 8    | Mew                     |    1 |   3.33% | 100.00% |
| 8    | Nidoking                |    1 |   3.33% |   0.00% |
| 8    | Garchomp                |    1 |   3.33% |   0.00% |
| 8    | Hippowdon               |    1 |   3.33% |   0.00% |
| 8    | Clefable                |    1 |   3.33% |   0.00% |
| 8    | Slowking                |    1 |   3.33% |   0.00% |
