+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Reuniclus          |    4 |  50.00% |  50.00% |
| 2    | Registeel          |    3 |  37.50% |  33.33% |
| 2    | Togekiss           |    3 |  37.50% |  33.33% |
| 2    | Flygon             |    3 |  37.50% |   0.00% |
| 5    | Crobat             |    2 |  25.00% | 100.00% |
| 5    | Doublade           |    2 |  25.00% | 100.00% |
| 5    | Nidoqueen          |    2 |  25.00% | 100.00% |
| 5    | Raikou             |    2 |  25.00% |  50.00% |
| 5    | Arctovish          |    2 |  25.00% |  50.00% |
| 5    | Golisopod          |    2 |  25.00% |  50.00% |
| 11   | Rhyperior          |    1 |  12.50% | 100.00% |
| 11   | Lucario            |    1 |  12.50% | 100.00% |
| 11   | Aerodactyl         |    1 |  12.50% | 100.00% |
| 11   | Suicune            |    1 |  12.50% | 100.00% |
| 11   | Guzzlord           |    1 |  12.50% | 100.00% |
| 11   | Xurkitree          |    1 |  12.50% | 100.00% |
| 11   | Gardevoir          |    1 |  12.50% | 100.00% |
| 11   | Metagross          |    1 |  12.50% | 100.00% |
| 11   | Aurorus            |    1 |  12.50% | 100.00% |
| 11   | Xatu               |    1 |  12.50% | 100.00% |
| 11   | Ditto              |    1 |  12.50% | 100.00% |
| 11   | Vileplume          |    1 |  12.50% |   0.00% |
| 11   | Umbreon            |    1 |  12.50% |   0.00% |
| 11   | Abomasnow          |    1 |  12.50% |   0.00% |
| 11   | Bronzong           |    1 |  12.50% |   0.00% |
| 11   | Sharpedo           |    1 |  12.50% |   0.00% |
| 11   | Toxtricity         |    1 |  12.50% |   0.00% |
| 11   | Politoed           |    1 |  12.50% |   0.00% |
| 11   | Eldegoss           |    1 |  12.50% |   0.00% |
| 11   | Tornadus           |    1 |  12.50% |   0.00% |
| 11   | Kingdra            |    1 |  12.50% |   0.00% |
| 11   | Seismitoad         |    1 |  12.50% |   0.00% |
| 11   | Mimikyu            |    1 |  12.50% |   0.00% |
