+ ---- + ----------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                         | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------- + ---- + ------- + ------- +
| 1    | Eternatus / Necrozma-Dusk-Mane      |    6 |  75.00% |  33.33% |
| 1    | Eternatus / Yveltal                 |    6 |  75.00% |  33.33% |
| 1    | Yveltal / Necrozma-Dusk-Mane        |    6 |  75.00% |  33.33% |
| 4    | Groudon / Yveltal                   |    3 |  37.50% |  66.67% |
| 4    | Xerneas-* / Yveltal                 |    3 |  37.50% |  66.67% |
| 4    | Ho-Oh / Yveltal                     |    3 |  37.50% |  66.67% |
| 4    | Ho-Oh / Necrozma-Dusk-Mane          |    3 |  37.50% |  66.67% |
| 4    | Ho-Oh / Eternatus                   |    3 |  37.50% |  66.67% |
| 4    | Calyrex-Shadow / Yveltal            |    3 |  37.50% |  33.33% |
| 4    | Kyogre / Marshadow                  |    3 |  37.50% |  33.33% |
| 4    | Marshadow / Necrozma-Dusk-Mane      |    3 |  37.50% |  33.33% |
| 4    | Marshadow / Yveltal                 |    3 |  37.50% |  33.33% |
| 4    | Marshadow / Eternatus               |    3 |  37.50% |  33.33% |
| 4    | Kyogre / Necrozma-Dusk-Mane         |    3 |  37.50% |  33.33% |
| 4    | Kyogre / Yveltal                    |    3 |  37.50% |  33.33% |
| 4    | Kyogre / Eternatus                  |    3 |  37.50% |  33.33% |
| 17   | Groudon / Xerneas-*                 |    2 |  25.00% | 100.00% |
| 17   | Groudon / Calyrex-Shadow            |    2 |  25.00% |  50.00% |
| 17   | Calyrex-Shadow / Xerneas-*          |    2 |  25.00% |  50.00% |
| 17   | Eternatus / Xerneas-*               |    2 |  25.00% |  50.00% |
| 17   | Xerneas-* / Necrozma-Dusk-Mane      |    2 |  25.00% |  50.00% |
| 17   | Ho-Oh / Marshadow                   |    2 |  25.00% |  50.00% |
| 17   | Kyogre / Ho-Oh                      |    2 |  25.00% |  50.00% |
| 17   | Groudon / Necrozma-Dusk-Mane        |    2 |  25.00% |  50.00% |
| 17   | Groudon / Eternatus                 |    2 |  25.00% |  50.00% |
| 17   | Calyrex-Shadow / Eternatus          |    2 |  25.00% |   0.00% |
| 17   | Calyrex-Shadow / Necrozma-Dusk-Mane |    2 |  25.00% |   0.00% |
| 28   | Ribombee / Yveltal                  |    1 |  12.50% | 100.00% |
| 28   | Zekrom / Yveltal                    |    1 |  12.50% | 100.00% |
| 28   | Ribombee / Calyrex-Shadow           |    1 |  12.50% | 100.00% |
| 28   | Zekrom / Calyrex-Shadow             |    1 |  12.50% | 100.00% |
| 28   | Ribombee / Groudon                  |    1 |  12.50% | 100.00% |
| 28   | Zekrom / Ribombee                   |    1 |  12.50% | 100.00% |
| 28   | Ribombee / Xerneas-*                |    1 |  12.50% | 100.00% |
| 28   | Zekrom / Groudon                    |    1 |  12.50% | 100.00% |
| 28   | Zekrom / Xerneas-*                  |    1 |  12.50% | 100.00% |
| 28   | Xatu / Toxapex                      |    1 |  12.50% | 100.00% |
| 28   | Xatu / Blissey                      |    1 |  12.50% | 100.00% |
| 28   | Xatu / Zygarde                      |    1 |  12.50% | 100.00% |
| 28   | Xatu / Tyranitar                    |    1 |  12.50% | 100.00% |
| 28   | Xatu / Yveltal                      |    1 |  12.50% | 100.00% |
| 28   | Blissey / Toxapex                   |    1 |  12.50% | 100.00% |
| 28   | Zygarde / Toxapex                   |    1 |  12.50% | 100.00% |
| 28   | Tyranitar / Toxapex                 |    1 |  12.50% | 100.00% |
| 28   | Toxapex / Yveltal                   |    1 |  12.50% | 100.00% |
| 28   | Blissey / Zygarde                   |    1 |  12.50% | 100.00% |
| 28   | Tyranitar / Blissey                 |    1 |  12.50% | 100.00% |
| 28   | Blissey / Yveltal                   |    1 |  12.50% | 100.00% |
| 28   | Tyranitar / Zygarde                 |    1 |  12.50% | 100.00% |
| 28   | Zygarde / Yveltal                   |    1 |  12.50% | 100.00% |
| 28   | Tyranitar / Yveltal                 |    1 |  12.50% | 100.00% |
| 28   | Groudon / Ho-Oh                     |    1 |  12.50% | 100.00% |
| 28   | Ho-Oh / Xerneas-*                   |    1 |  12.50% | 100.00% |
| 28   | Slurpuff / Calyrex-Shadow           |    1 |  12.50% |   0.00% |
| 28   | Slurpuff / Xerneas-*                |    1 |  12.50% |   0.00% |
| 28   | Slurpuff / Eternatus                |    1 |  12.50% |   0.00% |
| 28   | Slurpuff / Necrozma-Dusk-Mane       |    1 |  12.50% |   0.00% |
| 28   | Slurpuff / Yveltal                  |    1 |  12.50% |   0.00% |
| 28   | Pheromosa / Marshadow               |    1 |  12.50% |   0.00% |
| 28   | Pheromosa / Kyogre                  |    1 |  12.50% |   0.00% |
| 28   | Pheromosa / Necrozma-Dusk-Mane      |    1 |  12.50% |   0.00% |
| 28   | Pheromosa / Yveltal                 |    1 |  12.50% |   0.00% |
| 28   | Pheromosa / Eternatus               |    1 |  12.50% |   0.00% |
| 28   | Yveltal / Ferrothorn                |    1 |  12.50% |   0.00% |
| 28   | Ferrothorn / Necrozma-Dusk-Mane     |    1 |  12.50% |   0.00% |
| 28   | Eternatus / Ferrothorn              |    1 |  12.50% |   0.00% |
| 28   | Groudon / Ferrothorn                |    1 |  12.50% |   0.00% |
| 28   | Calyrex-Shadow / Ferrothorn         |    1 |  12.50% |   0.00% |

+ ---- + ------------------------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 3                                      | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------------------ + ---- + ------- + ------- +
| 1    | Eternatus / Yveltal / Necrozma-Dusk-Mane         |    6 |  75.00% |  33.33% |
| 2    | Ho-Oh / Yveltal / Necrozma-Dusk-Mane             |    3 |  37.50% |  66.67% |
| 2    | Ho-Oh / Eternatus / Yveltal                      |    3 |  37.50% |  66.67% |
| 2    | Ho-Oh / Eternatus / Necrozma-Dusk-Mane           |    3 |  37.50% |  66.67% |
| 2    | Kyogre / Marshadow / Necrozma-Dusk-Mane          |    3 |  37.50% |  33.33% |
| 2    | Kyogre / Marshadow / Yveltal                     |    3 |  37.50% |  33.33% |
| 2    | Kyogre / Marshadow / Eternatus                   |    3 |  37.50% |  33.33% |
| 2    | Marshadow / Yveltal / Necrozma-Dusk-Mane         |    3 |  37.50% |  33.33% |
| 2    | Eternatus / Marshadow / Necrozma-Dusk-Mane       |    3 |  37.50% |  33.33% |
| 2    | Marshadow / Yveltal / Eternatus                  |    3 |  37.50% |  33.33% |
| 2    | Kyogre / Yveltal / Necrozma-Dusk-Mane            |    3 |  37.50% |  33.33% |
| 2    | Kyogre / Eternatus / Necrozma-Dusk-Mane          |    3 |  37.50% |  33.33% |
| 2    | Kyogre / Eternatus / Yveltal                     |    3 |  37.50% |  33.33% |
| 14   | Groudon / Xerneas-* / Yveltal                    |    2 |  25.00% | 100.00% |
| 14   | Groudon / Calyrex-Shadow / Yveltal               |    2 |  25.00% |  50.00% |
| 14   | Xerneas-* / Calyrex-Shadow / Yveltal             |    2 |  25.00% |  50.00% |
| 14   | Eternatus / Xerneas-* / Necrozma-Dusk-Mane       |    2 |  25.00% |  50.00% |
| 14   | Yveltal / Eternatus / Xerneas-*                  |    2 |  25.00% |  50.00% |
| 14   | Yveltal / Xerneas-* / Necrozma-Dusk-Mane         |    2 |  25.00% |  50.00% |
| 14   | Ho-Oh / Marshadow / Yveltal                      |    2 |  25.00% |  50.00% |
| 14   | Kyogre / Ho-Oh / Yveltal                         |    2 |  25.00% |  50.00% |
| 14   | Ho-Oh / Marshadow / Necrozma-Dusk-Mane           |    2 |  25.00% |  50.00% |
| 14   | Ho-Oh / Marshadow / Eternatus                    |    2 |  25.00% |  50.00% |
| 14   | Kyogre / Ho-Oh / Marshadow                       |    2 |  25.00% |  50.00% |
| 14   | Kyogre / Ho-Oh / Necrozma-Dusk-Mane              |    2 |  25.00% |  50.00% |
| 14   | Kyogre / Ho-Oh / Eternatus                       |    2 |  25.00% |  50.00% |
| 14   | Groudon / Yveltal / Necrozma-Dusk-Mane           |    2 |  25.00% |  50.00% |
| 14   | Groudon / Eternatus / Yveltal                    |    2 |  25.00% |  50.00% |
| 14   | Groudon / Eternatus / Necrozma-Dusk-Mane         |    2 |  25.00% |  50.00% |
| 14   | Necrozma-Dusk-Mane / Calyrex-Shadow / Eternatus  |    2 |  25.00% |   0.00% |
| 14   | Calyrex-Shadow / Yveltal / Eternatus             |    2 |  25.00% |   0.00% |
| 14   | Calyrex-Shadow / Yveltal / Necrozma-Dusk-Mane    |    2 |  25.00% |   0.00% |
| 33   | Ribombee / Calyrex-Shadow / Yveltal              |    1 |  12.50% | 100.00% |
| 33   | Zekrom / Calyrex-Shadow / Yveltal                |    1 |  12.50% | 100.00% |
| 33   | Ribombee / Groudon / Yveltal                     |    1 |  12.50% | 100.00% |
| 33   | Zekrom / Ribombee / Yveltal                      |    1 |  12.50% | 100.00% |
| 33   | Ribombee / Xerneas-* / Yveltal                   |    1 |  12.50% | 100.00% |
| 33   | Zekrom / Groudon / Yveltal                       |    1 |  12.50% | 100.00% |
| 33   | Zekrom / Xerneas-* / Yveltal                     |    1 |  12.50% | 100.00% |
| 33   | Ribombee / Groudon / Calyrex-Shadow              |    1 |  12.50% | 100.00% |
| 33   | Zekrom / Ribombee / Calyrex-Shadow               |    1 |  12.50% | 100.00% |
| 33   | Ribombee / Calyrex-Shadow / Xerneas-*            |    1 |  12.50% | 100.00% |
| 33   | Zekrom / Groudon / Calyrex-Shadow                |    1 |  12.50% | 100.00% |
| 33   | Groudon / Calyrex-Shadow / Xerneas-*             |    1 |  12.50% | 100.00% |
| 33   | Zekrom / Calyrex-Shadow / Xerneas-*              |    1 |  12.50% | 100.00% |
| 33   | Zekrom / Ribombee / Groudon                      |    1 |  12.50% | 100.00% |
| 33   | Ribombee / Groudon / Xerneas-*                   |    1 |  12.50% | 100.00% |
| 33   | Zekrom / Ribombee / Xerneas-*                    |    1 |  12.50% | 100.00% |
| 33   | Zekrom / Groudon / Xerneas-*                     |    1 |  12.50% | 100.00% |
| 33   | Xatu / Blissey / Toxapex                         |    1 |  12.50% | 100.00% |
| 33   | Zygarde / Xatu / Toxapex                         |    1 |  12.50% | 100.00% |
| 33   | Xatu / Tyranitar / Toxapex                       |    1 |  12.50% | 100.00% |
| 33   | Xatu / Toxapex / Yveltal                         |    1 |  12.50% | 100.00% |
| 33   | Xatu / Blissey / Zygarde                         |    1 |  12.50% | 100.00% |
| 33   | Xatu / Tyranitar / Blissey                       |    1 |  12.50% | 100.00% |
| 33   | Xatu / Blissey / Yveltal                         |    1 |  12.50% | 100.00% |
| 33   | Xatu / Tyranitar / Zygarde                       |    1 |  12.50% | 100.00% |
| 33   | Xatu / Zygarde / Yveltal                         |    1 |  12.50% | 100.00% |
| 33   | Xatu / Tyranitar / Yveltal                       |    1 |  12.50% | 100.00% |
| 33   | Zygarde / Blissey / Toxapex                      |    1 |  12.50% | 100.00% |
| 33   | Tyranitar / Blissey / Toxapex                    |    1 |  12.50% | 100.00% |
| 33   | Blissey / Toxapex / Yveltal                      |    1 |  12.50% | 100.00% |
| 33   | Zygarde / Tyranitar / Toxapex                    |    1 |  12.50% | 100.00% |
| 33   | Zygarde / Toxapex / Yveltal                      |    1 |  12.50% | 100.00% |
| 33   | Tyranitar / Toxapex / Yveltal                    |    1 |  12.50% | 100.00% |
| 33   | Tyranitar / Blissey / Zygarde                    |    1 |  12.50% | 100.00% |
| 33   | Blissey / Zygarde / Yveltal                      |    1 |  12.50% | 100.00% |
| 33   | Tyranitar / Blissey / Yveltal                    |    1 |  12.50% | 100.00% |
| 33   | Tyranitar / Zygarde / Yveltal                    |    1 |  12.50% | 100.00% |
| 33   | Groudon / Ho-Oh / Yveltal                        |    1 |  12.50% | 100.00% |
| 33   | Ho-Oh / Xerneas-* / Yveltal                      |    1 |  12.50% | 100.00% |
| 33   | Groudon / Ho-Oh / Necrozma-Dusk-Mane             |    1 |  12.50% | 100.00% |
| 33   | Ho-Oh / Xerneas-* / Necrozma-Dusk-Mane           |    1 |  12.50% | 100.00% |
| 33   | Groudon / Ho-Oh / Eternatus                      |    1 |  12.50% | 100.00% |
| 33   | Ho-Oh / Eternatus / Xerneas-*                    |    1 |  12.50% | 100.00% |
| 33   | Groudon / Ho-Oh / Xerneas-*                      |    1 |  12.50% | 100.00% |
| 33   | Groudon / Xerneas-* / Necrozma-Dusk-Mane         |    1 |  12.50% | 100.00% |
| 33   | Groudon / Eternatus / Xerneas-*                  |    1 |  12.50% | 100.00% |
| 33   | Slurpuff / Calyrex-Shadow / Xerneas-*            |    1 |  12.50% |   0.00% |
| 33   | Calyrex-Shadow / Xerneas-* / Eternatus           |    1 |  12.50% |   0.00% |
| 33   | Calyrex-Shadow / Xerneas-* / Necrozma-Dusk-Mane  |    1 |  12.50% |   0.00% |
| 33   | Slurpuff / Calyrex-Shadow / Eternatus            |    1 |  12.50% |   0.00% |
| 33   | Slurpuff / Calyrex-Shadow / Necrozma-Dusk-Mane   |    1 |  12.50% |   0.00% |
| 33   | Slurpuff / Calyrex-Shadow / Yveltal              |    1 |  12.50% |   0.00% |
| 33   | Slurpuff / Eternatus / Xerneas-*                 |    1 |  12.50% |   0.00% |
| 33   | Slurpuff / Xerneas-* / Necrozma-Dusk-Mane        |    1 |  12.50% |   0.00% |
| 33   | Yveltal / Slurpuff / Xerneas-*                   |    1 |  12.50% |   0.00% |
| 33   | Slurpuff / Eternatus / Necrozma-Dusk-Mane        |    1 |  12.50% |   0.00% |
| 33   | Slurpuff / Eternatus / Yveltal                   |    1 |  12.50% |   0.00% |
| 33   | Slurpuff / Yveltal / Necrozma-Dusk-Mane          |    1 |  12.50% |   0.00% |
| 33   | Pheromosa / Kyogre / Marshadow                   |    1 |  12.50% |   0.00% |
| 33   | Pheromosa / Marshadow / Necrozma-Dusk-Mane       |    1 |  12.50% |   0.00% |
| 33   | Pheromosa / Marshadow / Yveltal                  |    1 |  12.50% |   0.00% |
