+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Yveltal            |    8 | 100.00% |  50.00% |
| 2    | Eternatus          |    6 |  75.00% |  33.33% |
| 2    | Necrozma-Dusk-Mane |    6 |  75.00% |  33.33% |
| 4    | Groudon            |    3 |  37.50% |  66.67% |
| 4    | Xerneas-*          |    3 |  37.50% |  66.67% |
| 4    | Ho-Oh              |    3 |  37.50% |  66.67% |
| 4    | Calyrex-Shadow     |    3 |  37.50% |  33.33% |
| 4    | Marshadow          |    3 |  37.50% |  33.33% |
| 4    | Kyogre             |    3 |  37.50% |  33.33% |
| 10   | Ribombee           |    1 |  12.50% | 100.00% |
| 10   | Zekrom             |    1 |  12.50% | 100.00% |
| 10   | Xatu               |    1 |  12.50% | 100.00% |
| 10   | Toxapex            |    1 |  12.50% | 100.00% |
| 10   | Blissey            |    1 |  12.50% | 100.00% |
| 10   | Zygarde            |    1 |  12.50% | 100.00% |
| 10   | Tyranitar          |    1 |  12.50% | 100.00% |
| 10   | Slurpuff           |    1 |  12.50% |   0.00% |
| 10   | Pheromosa          |    1 |  12.50% |   0.00% |
| 10   | Ferrothorn         |    1 |  12.50% |   0.00% |
