+ ---- + ------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2               | Use  | Usage % |  Win %  |
+ ---- + ------------------------- + ---- + ------- + ------- +
| 1    | Tapu Fini / Landorus      |    4 |  50.00% |  25.00% |
| 2    | Genesect / Tapu Fini      |    3 |  37.50% |  66.67% |
| 2    | Incineroar / Rillaboom    |    3 |  37.50% |  66.67% |
| 2    | Tapu Fini / Rillaboom     |    3 |  37.50% |  33.33% |
| 2    | Landorus / Heatran        |    3 |  37.50% |  33.33% |
| 6    | Genesect / Mew            |    2 |  25.00% | 100.00% |
| 6    | Tapu Fini / Mew           |    2 |  25.00% | 100.00% |
| 6    | Tyranitar / Rillaboom     |    2 |  25.00% | 100.00% |
| 6    | Tyranitar / Mew           |    2 |  25.00% | 100.00% |
| 6    | Tyranitar / Incineroar    |    2 |  25.00% | 100.00% |
| 6    | Rillaboom / Mew           |    2 |  25.00% | 100.00% |
| 6    | Incineroar / Mew          |    2 |  25.00% | 100.00% |
| 6    | Genesect / Rillaboom      |    2 |  25.00% |  50.00% |
| 6    | Tapu Fini / Incineroar    |    2 |  25.00% |  50.00% |
| 6    | Rillaboom / Urshifu       |    2 |  25.00% |  50.00% |
| 6    | Incineroar / Urshifu      |    2 |  25.00% |  50.00% |
| 6    | Tapu Fini / Kyurem-Black  |    2 |  25.00% |  50.00% |
| 6    | Landorus / Kyurem-Black   |    2 |  25.00% |  50.00% |
| 6    | Heatran / Kyurem-Black    |    2 |  25.00% |  50.00% |
| 6    | Tapu Fini / Heatran       |    2 |  25.00% |  50.00% |
| 6    | Genesect / Landorus       |    2 |  25.00% |  50.00% |
| 6    | Rillaboom / Volcanion     |    2 |  25.00% |  50.00% |
| 6    | Landorus / Whimsicott     |    2 |  25.00% |   0.00% |
| 6    | Whimsicott / Heatran      |    2 |  25.00% |   0.00% |
| 6    | Landorus / Urshifu        |    2 |  25.00% |   0.00% |
| 6    | Rillaboom / Landorus      |    2 |  25.00% |   0.00% |
| 27   | Genesect / Tyranitar      |    1 |  12.50% | 100.00% |
| 27   | Genesect / Incineroar     |    1 |  12.50% | 100.00% |
| 27   | Tapu Fini / Tyranitar     |    1 |  12.50% | 100.00% |
| 27   | Mew / Kyurem-Black        |    1 |  12.50% | 100.00% |
| 27   | Genesect / Kyurem-Black   |    1 |  12.50% | 100.00% |
| 27   | Mew / Landorus            |    1 |  12.50% | 100.00% |
| 27   | Mew / Heatran             |    1 |  12.50% | 100.00% |
| 27   | Genesect / Heatran        |    1 |  12.50% | 100.00% |
| 27   | Dragapult / Stakataka     |    1 |  12.50% | 100.00% |
| 27   | Volcanion / Dragapult     |    1 |  12.50% | 100.00% |
| 27   | Rillaboom / Dragapult     |    1 |  12.50% | 100.00% |
| 27   | Porygon2 / Dragapult      |    1 |  12.50% | 100.00% |
| 27   | Zapdos-Galar / Dragapult  |    1 |  12.50% | 100.00% |
| 27   | Volcanion / Stakataka     |    1 |  12.50% | 100.00% |
| 27   | Rillaboom / Stakataka     |    1 |  12.50% | 100.00% |
| 27   | Porygon2 / Stakataka      |    1 |  12.50% | 100.00% |
| 27   | Zapdos-Galar / Stakataka  |    1 |  12.50% | 100.00% |
| 27   | Porygon2 / Volcanion      |    1 |  12.50% | 100.00% |
| 27   | Zapdos-Galar / Volcanion  |    1 |  12.50% | 100.00% |
| 27   | Rillaboom / Porygon2      |    1 |  12.50% | 100.00% |
| 27   | Zapdos-Galar / Rillaboom  |    1 |  12.50% | 100.00% |
| 27   | Zapdos-Galar / Porygon2   |    1 |  12.50% | 100.00% |
| 27   | Mew / Dracozolt           |    1 |  12.50% | 100.00% |
