+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Vullaby            |    8 | 100.00% |  50.00% |
| 2    | Mienfoo            |    6 |  75.00% |  50.00% |
| 3    | Trapinch           |    4 |  50.00% |  50.00% |
| 3    | Abra               |    4 |  50.00% |  50.00% |
| 3    | Pawniard           |    4 |  50.00% |  25.00% |
| 6    | Foongus            |    3 |  37.50% |  66.67% |
| 6    | Omanyte            |    3 |  37.50% |  66.67% |
| 8    | Grookey            |    2 |  25.00% |  50.00% |
| 8    | Mareanie           |    2 |  25.00% |   0.00% |
| 10   | Staryu             |    1 |  12.50% | 100.00% |
| 10   | Porygon            |    1 |  12.50% | 100.00% |
| 10   | Mudbray            |    1 |  12.50% | 100.00% |
| 10   | Ferroseed          |    1 |  12.50% | 100.00% |
| 10   | Spritzee           |    1 |  12.50% | 100.00% |
| 10   | Dwebble            |    1 |  12.50% | 100.00% |
| 10   | Ponyta-Galar       |    1 |  12.50% | 100.00% |
| 10   | Koffing            |    1 |  12.50% |   0.00% |
| 10   | Timburr            |    1 |  12.50% |   0.00% |
| 10   | Magnemite          |    1 |  12.50% |   0.00% |
| 10   | Diglett            |    1 |  12.50% |   0.00% |
| 10   | Ponyta             |    1 |  12.50% |   0.00% |
