+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Klefki             |    3 |  37.50% |  33.33% |
| 1    | Clefable           |    3 |  37.50% |  33.33% |
| 1    | Tapu Bulu          |    3 |  37.50% |  33.33% |
| 1    | Tapu Koko          |    3 |  37.50% |  33.33% |
| 1    | Tapu Fini          |    3 |  37.50% |   0.00% |
| 6    | Celesteela         |    2 |  25.00% | 100.00% |
| 6    | Hydreigon          |    2 |  25.00% |  50.00% |
| 6    | Tapu Lele          |    2 |  25.00% |   0.00% |
| 9    | Azumarill          |    1 |  12.50% | 100.00% |
| 9    | Mimikyu            |    1 |  12.50% | 100.00% |
| 9    | Thundurus-Therian  |    1 |  12.50% | 100.00% |
| 9    | Landorus-Therian   |    1 |  12.50% | 100.00% |
| 9    | Skarmory           |    1 |  12.50% | 100.00% |
| 9    | Dragonite          |    1 |  12.50% | 100.00% |
| 9    | Tornadus-Therian   |    1 |  12.50% | 100.00% |
| 9    | Garchomp           |    1 |  12.50% | 100.00% |
| 9    | Kyurem             |    1 |  12.50% | 100.00% |
| 9    | Dragalge           |    1 |  12.50% | 100.00% |
| 9    | Dragapult          |    1 |  12.50% | 100.00% |
| 9    | Latias             |    1 |  12.50% | 100.00% |
| 9    | Aegislash          |    1 |  12.50% | 100.00% |
| 9    | Heatran            |    1 |  12.50% | 100.00% |
| 9    | Ferrothorn         |    1 |  12.50% | 100.00% |
| 9    | Excadrill          |    1 |  12.50% | 100.00% |
| 9    | Melmetal           |    1 |  12.50% | 100.00% |
| 9    | Weavile            |    1 |  12.50% |   0.00% |
| 9    | Mandibuzz          |    1 |  12.50% |   0.00% |
| 9    | Crawdaunt          |    1 |  12.50% |   0.00% |
| 9    | Tyranitar          |    1 |  12.50% |   0.00% |
| 9    | Moltres-Galar      |    1 |  12.50% |   0.00% |
| 9    | Urshifu            |    1 |  12.50% |   0.00% |
| 9    | Slowking           |    1 |  12.50% |   0.00% |
| 9    | Swampert           |    1 |  12.50% |   0.00% |
| 9    | Toxapex            |    1 |  12.50% |   0.00% |
| 9    | Golisopod          |    1 |  12.50% |   0.00% |
