+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Tornadus-Therian   |   17 |  56.67% |  41.18% |
| 2    | Landorus-Therian   |   13 |  43.33% |  46.15% |
| 3    | Heatran            |   11 |  36.67% |  27.27% |
| 4    | Clefable           |   10 |  33.33% |  50.00% |
| 5    | Ferrothorn         |    8 |  26.67% |  62.50% |
| 6    | Slowking           |    7 |  23.33% |  57.14% |
| 6    | Garchomp           |    7 |  23.33% |  57.14% |
| 6    | Weavile            |    7 |  23.33% |  28.57% |
| 9    | Urshifu            |    6 |  20.00% |  83.33% |
| 9    | Dragapult          |    6 |  20.00% |  66.67% |
| 9    | Melmetal           |    6 |  20.00% |  50.00% |
| 9    | Buzzwole           |    6 |  20.00% |  33.33% |
| 9    | Slowbro            |    6 |  20.00% |   0.00% |
| 14   | Tyranitar          |    5 |  16.67% |  60.00% |
| 14   | Excadrill          |    5 |  16.67% |  60.00% |
| 14   | Toxapex            |    5 |  16.67% |  60.00% |
| 14   | Slowking-Galar     |    5 |  16.67% |  60.00% |
| 14   | Tapu Koko          |    5 |  16.67% |  40.00% |
| 14   | Gastrodon          |    5 |  16.67% |  40.00% |
| 20   | Tapu Lele          |    4 |  13.33% |  75.00% |
| 20   | Kartana            |    4 |  13.33% |  50.00% |
| 20   | Skarmory           |    4 |  13.33% |  25.00% |
| 23   | Zapdos             |    3 |  10.00% | 100.00% |
| 23   | Dragonite          |    3 |  10.00% | 100.00% |
| 23   | Corviknight        |    3 |  10.00% |  66.67% |
| 23   | Nidoking           |    3 |  10.00% |  33.33% |
| 27   | Mandibuzz          |    2 |   6.67% |  50.00% |
| 27   | Magnezone          |    2 |   6.67% |  50.00% |
| 27   | Rillaboom          |    2 |   6.67% |  50.00% |
| 27   | Rotom-Wash         |    2 |   6.67% |  50.00% |
| 31   | Crawdaunt          |    1 |   3.33% | 100.00% |
| 31   | Blacephalon        |    1 |   3.33% | 100.00% |
| 31   | Suicune            |    1 |   3.33% | 100.00% |
| 31   | Mew                |    1 |   3.33% | 100.00% |
| 31   | Celesteela         |    1 |   3.33% | 100.00% |
| 31   | Hippowdon          |    1 |   3.33% |   0.00% |
| 31   | Tapu Fini          |    1 |   3.33% |   0.00% |
| 31   | Blaziken           |    1 |   3.33% |   0.00% |
